Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
ΑΟ ΑΙΓΑΛΕΩ,ΧΟΥΧΟΥΜΗΣ ΝΙΚΟΛΑΟΣ,5,ΧΟΥΧΟΥΜΗΣ ΝΙΚΟΛΑΟΣ,10,26.4,264.4,122.0,12.2,34.0,113.0,30.1,17.0,72.0,23.6,37.0,48.0,77.1,2.0,38.0,40.0,29.0,5.0,0.0,17.0,23.0,143.2,29.4,6.4,1.5,2.1,77,199.0,19.9,10.4,8,8.0,3,3,92.6,4.3,1,-5.68,-4.46,-1.22,2.9,2.8,30.0,15.0,50,4.0,2.0,50,72.0,17.0,23.6,13.0,6.0,0.0,0.0,0.0,17.0,16.0,22.0,18.0
ΑΟ ΑΙΓΑΛΕΩ,ΖΑΡΑΙΔΩΝΗΣ ΑΡΙΣΤΟΤΕΛΗΣ,10/77,ΖΑΡΑΙΔΩΝΗΣ ΑΡΙΣΤΟΤΕΛΗΣ,10,27.9,278.9,103.0,10.3,39.0,85.0,45.9,11.0,36.0,30.6,14.0,22.0,63.6,14.0,34.0,48.0,19.0,6.0,4.0,27.0,16.0,103.4,20.2,5.4,1.0,2.5,48,151.0,15.1,7.9,11,3.7,6,3,75.1,8.3,3,-5.22,-4.6,-0.62,3.7,3.1,38.0,25.0,65.8,9.0,3.0,33.3,36.0,11.0,30.6,11.0,3.0,0.0,0.0,0.0,27.0,12.0,29.0,19.0
ΝΕΑΝΙΚΗ ΕΣΤΙΑ ΜΕΓΑΡΙΔΟΣ,ΚΑΛΙΑΝΙΩΤΗΣ ΓΕΩΡΓΙΟΣ,14,ΚΑΛΙΑΝΙΩΤΗΣ ΓΕΩΡΓΙΟΣ,10,14.7,146.8,99.0,9.9,33.0,68.0,48.5,4.0,6.0,66.7,29.0,37.0,78.4,15.0,22.0,37.0,7.0,4.0,3.0,12.0,25.0,78.0,27.3,5.0,0.4,1.9,16,115.0,11.5,5.9,24,4.8,8,12,90.4,13.3,5,0.93,-1.97,2.9,4.4,2.8,46.0,27.0,58.7,4.0,2.0,50,6.0,4.0,66.7,13.0,1.0,0.0,0.0,0.0,12.0,21.0,25.0,23.0
ΓΣ ΝΙΚΗ ΒΟΛΟΥ,ΚΑΡΑΓΕΩΡΓΙΟΥ ΑΝΤΩΝΙΟΣ,19,ΚΑΡΑΓΕΩΡΓΙΟΥ ΑΝΤΩΝΙΟΣ,10,17.3,173.1,45.0,4.5,13.0,49.0,26.5,4.0,21.0,19,15.0,25.0,60,10.0,25.0,35.0,6.0,1.0,6.0,8.0,20.0,55.7,16.7,2.3,0.3,1.8,13,58.0,5.8,3.0,1,1.0,0,1,113.6,0.4,1,-8.74,-8.83,0.09,4.7,4.9,11.0,5.0,45.5,14.0,3.0,21.4,19.0,4.0,21.1,4.0,0.0,0.0,0.0,0.0,8.0,6.0,5.0,10.0
ΑΟ ΔΑΦΝΗΣ,ΕΞΑΡΧΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,99,ΕΞΑΡΧΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,10,9.2,91.6,28.0,2.8,9.0,22.0,40.9,3.0,12.0,25,7.0,8.0,87.5,3.0,7.0,10.0,3.0,0.0,2.0,1.0,9.0,22.6,13.2,1.5,0.2,0.5,9,37.0,3.7,2.0,3,3.0,1,0,150.0,1.0,1,-3.26,-4.2,0.95,3.5,4.0,7.0,4.0,57.1,3.0,2.0,66.7,12.0,3.0,25,1.0,1.0,0.0,0.0,0.0,1.0,14.0,7.0,7.0
ΠΑΝΕΡΥΘΡΑΙΚΟΣ ΑΣ,ΤΣΑΦΑΡΑΣ ΘΕΟΔΩΡΟΣ-ΚΩΝΣΤΑΝΤΙΝΟΣ-ΑΠΟΛΛΩΝ,24/40,ΤΣΑΦΑΡΑΣ ΘΕΟΔΩΡΟΣ-ΚΩΝΣΤΑΝΤΙΝΟΣ-ΑΠΟΛΛΩΝ,10,8.6,85.8,24.0,2.4,10.0,24.0,41.7,1.0,8.0,12.5,3.0,3.0,100,4.0,11.0,15.0,11.0,1.0,0.0,7.0,15.0,27.2,16.8,1.3,0.6,0.8,25,49.0,4.9,2.6,0,0,0,0,0,0.0,0,-5.94,-7.74,1.79,3.1,3.6,6.0,4.0,66.7,10.0,5.0,50,8.0,1.0,12.5,2.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,2.0
ΛΑΥΡΙΟ BODERM,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ ΑΝΔΡΕΑΣ,4,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ ΑΝΔΡΕΑΣ,10,4.9,48.7,21.0,2.1,7.0,14.0,50,0.0,3.0,0,7.0,9.0,77.8,3.0,3.0,6.0,4.0,3.0,0.0,5.0,6.0,19.2,20.9,1.1,0.2,0.3,7,28.0,2.8,1.4,2,2.0,1,0,100.0,1.0,1,-1.54,-4.84,3.3,2.6,3.6,7.0,6.0,85.7,4.0,1.0,25,3.0,0.0,0,4.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,0.0
ΑΟ ΔΑΦΝΗΣ,ΚΟΥΤΣΟΥΜΑΡΗΣ ΧΡΗΣΤΟΣ,77,ΚΟΥΤΣΟΥΜΑΡΗΣ ΧΡΗΣΤΟΣ,10,0.2,2.4,2.0,0.2,0.0,0.0,0,0.0,0.0,0,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,18.8,0.1,0.0,0.0,0,2.0,0.2,0.1,0,0,0,0,0,0.0,0,6.87,0.52,6.35,3.0,3.7,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ΓΣ ΝΙΚΗ ΒΟΛΟΥ,ΓΙΑΝΝΟΥΤΣΟΣ ΛΕΩΝΙΔΑΣ,9,ΓΙΑΝΝΟΥΤΣΟΣ ΛΕΩΝΙΔΑΣ,10,4.4,44.3,0.0,0.0,0.0,9.0,0,0.0,6.0,0,0.0,0.0,0,2.0,5.0,7.0,1.0,2.0,0.0,3.0,6.0,9.6,11.2,0.0,0.1,0.4,4,4.0,0.4,0.2,0,0,0,0,0,0.0,0,-16.67,-16.01,-0.66,3.2,4.8,3.0,1.0,33.3,1.0,0.0,0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ΚΟΡΟΙΒΟΣ ΑΣ ΑΜΑΛΙΑΔΑΣ,SMITH KENDALL CLAY,1,SMITH KENDALL CLAY,9,32.6,293.2,196.0,21.8,58.0,141.0,41.1,28.0,81.0,34.6,52.0,66.0,78.8,9.0,34.0,43.0,73.0,6.0,1.0,52.0,28.0,204.5,37.4,10.4,3.9,2.3,197,393.0,43.7,20.9,34,5.7,22,10,64.4,30.4,6,4.39,2.68,1.71,1.6,1.0,23.0,15.0,65.2,36.0,17.0,47.2,83.0,29.0,34.9,12.0,16.0,0.0,0.0,0.0,54.0,40.0,41.0,36.0
