Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
ΨΥΧΙΚΟΥ ΑΕ,"ΠΑΠΑΓΙΑΝΝΗΣ ΜΗΝΑΣ-ΡΑΦΑΗΛ, ΘΕΟΔΩΡΟΥ ΗΛΙΑΣ, ΚΟΥΚΑΣ ΓΕΩΡΓΙΟΣ, HENDERSON JORDAN-TYLER, ΑΝΤΩΝΑΚΗΣ ΑΝΑΣΤΑΣΙΟΣ","ΨΥΧΙΚΟΥ ΑΕ|2,27,3,5,7",1,1.9,112.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,3,0,0,0,0,7,1.0,0.0,140.0,-140.0,0.0,-7
ΝΕΑΝΙΚΗ ΕΣΤΙΑ ΜΕΓΑΡΙΔΟΣ,"ΣΩΤΗΡΙΟΥ ΑΡΙΣΤΟΤΕΛΗΣ, ΠΟΖΟΓΛΟΥ ΝΙΚΟΛΑΣ, ΚΟΛΟΦΩΤΗΣ ΓΕΩΡΓΙΟΣ, ΔΕΝΔΡΙΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ, ΓΚΡΕΚΑΣ ΑΘΑΝΑΣΙΟΣ","ΝΕΑΝΙΚΗ ΕΣΤΙΑ ΜΕΓΑΡΙΔΟΣ|10,11,16,6,8",3,1.9,114.0,9,1,4,25.0,0,1,0.0,7,9,77.8,0,0,0,2,0,0,2,0,4,10.0,90.4,103.1,-12.7,4.74,5
ΨΥΧΙΚΟΥ ΑΕ,"ΖΟΡΜΠΑΣ ΘΩΜΑΣ, ΠΑΠΑΓΙΑΝΝΗΣ ΜΗΝΑΣ-ΡΑΦΑΗΛ, ΘΕΟΔΩΡΟΥ ΗΛΙΑΣ, ΚΟΥΚΑΣ ΓΕΩΡΓΙΟΣ, ΔΗΜΟΥ ΝΙΚΟΛΑΟΣ","ΨΥΧΙΚΟΥ ΑΕ|18,2,27,3,6",1,1.9,116.0,0,0,2,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,2,0,4,4.0,0.0,103.1,-103.1,0.0,-4
VIKOS ΦALCONS,"ΚΑΜΠΕΡΙΔΗΣ ΜΙΧΑΗΛ, JONES JR RUSSEL STEVEN, ΓΕΩΡΓΙΟΥ ΔΗΜΗΤΡΙΟΣ, ΜΑΣΤΡΟΓΙΑΝΝΟΠΟΥΛΟΣ ΣΑΡΑΝΤΗΣ, ΔΙΑΜΑΝΤΑΚΟΣ ΓΕΩΡΓΙΟΣ","VIKOS ΦALCONS|12,2,4,56,9",1,1.9,115.0,4,2,4,50.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,100.0,34.7,65.3,2.09,3
ΠΡΩΤΕΥΣ ΑΕΟ ΒΟΥΛΑΣ,"ΜΠΕΛΗ ΟΡΕΣΤΗΣ, PETTEWAY TERRAN-JOSEPH-JAMES, ΒΟΥΛΓΑΡΟΠΟΥΛΟΣ ΕΥΣΤΡΑΤΙΟΣ, ΜΙΛΕΝΤΙΓΙΕΒΙΤΣ-ΑΛΙΦΙΕΡΗΣ ΙΑΚΩΒΟΣ, ΚΟΗΣ ΠΑΝΑΓΙΩΤΗΣ","ΠΡΩΤΕΥΣ ΑΕΟ ΒΟΥΛΑΣ|14,2,20,3,7",1,1.9,116.0,1,0,2,0.0,0,0,0,1,1,100.0,0,0,0,0,0,0,2,0,5,4.4,22.5,102.5,-79.9,0.52,-4
ΓΣ ΣΟΦΑΔΩΝ,"ΕΥΣΤΑΘΙΑΔΗΣ ΙΩΑΝΝΗΣ-ΠΑΝΑΓΙΩΤΗΣ, ΣΠΡΙΝΤΖΙΟΣ ΜΙΧΑΗΛ, ΧΑΤΖΗΣ ΔΗΜΗΤΡΙΟΣ, ΠΑΣΑΓΙΑΝΝΗΣ ΕΜΜΑΝΟΥΗΛ, ΧΑΝΤΖΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ","ΓΣ ΣΟΦΑΔΩΝ|11,19,4,6,7",1,1.9,111.0,5,2,2,100.0,1,1,100.0,0,0,0,0,0,0,1,0,0,1,0,2,3.0,166.7,100.0,66.7,2.7,3
ΠΑΝΕΡΥΘΡΑΙΚΟΣ ΑΣ,"ST HILAIRE DEREK CEDOR, ΔΟΜΠΡΟΓΙΑΝΝΗΣ ΑΘΑΝΑΣΙΟΣ, ΤΣΑΦΑΡΑΣ ΘΕΟΔΩΡΟΣ-ΚΩΝΣΤΑΝΤΙΝΟΣ-ΑΠΟΛΛΩΝ, ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΣ ΙΑΣΟΝΑΣ, ΚΑΜΑΡΑΣ ΝΙΚΟΛΑΟΣ","ΠΑΝΕΡΥΘΡΑΙΚΟΣ ΑΣ|10,12,24,4,7",2,1.9,117.0,2,1,4,25.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,2,4.0,50.0,151.5,-101.5,1.03,0
ΨΥΧΙΚΟΥ ΑΕ,"WELLS SHAHADA, ΔΗΜΑΚΟΣ ΙΩΑΝΝΗΣ, ΘΕΟΔΩΡΟΥ ΗΛΙΑΣ, ΜΠΟΥΡΝΕΛΕΣ ΓΕΩΡΓΙΟΣ, ΑΝΤΩΝΑΚΗΣ ΑΝΑΣΤΑΣΙΟΣ","ΨΥΧΙΚΟΥ ΑΕ|13,22,27,4,7",1,1.9,112.0,5,2,4,50.0,1,3,33.3,0,0,0,0,0,0,2,0,0,0,0,2,4.0,125.0,66.7,58.3,2.68,3
ΨΥΧΙΚΟΥ ΑΕ,"ΓΚΟΛΑΝΤΑΣ ΧΡΙΣΤΟΦΟΡΟΣ, ΘΕΟΔΩΡΟΥ ΗΛΙΑΣ, ΚΟΥΚΑΣ ΓΕΩΡΓΙΟΣ, ΜΠΟΥΡΝΕΛΕΣ ΓΕΩΡΓΙΟΣ, ΑΝΤΩΝΑΚΗΣ ΑΝΑΣΤΑΣΙΟΣ","ΨΥΧΙΚΟΥ ΑΕ|1,27,3,4,7",1,1.9,111.0,2,0,3,0.0,0,3,0.0,2,2,100.0,0,0,0,0,0,0,0,0,4,3.9,51.5,200.0,-148.5,1.08,-2
ΚΟΡΟΙΒΟΣ ΑΣ ΑΜΑΛΙΑΔΑΣ,"SMITH KENDALL CLAY, ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΣ ΧΑΡΙΛΑΟΣ, ΛΕΜΠΕΣΗΣ ΠΙΤΕΡ-ΤΖΕΙΜΣ, DAVIS DEVIN-LAMONTE, ΠΙΛΑΒΙΟΣ ΑΛΦΡΕΔΟΣ","ΚΟΡΟΙΒΟΣ ΑΣ ΑΜΑΛΙΑΔΑΣ|1,10,2,4,9",1,1.9,114.0,3,0,2,0.0,0,1,0.0,3,4,75.0,0,0,0,1,0,0,1,0,3,4.8,63.0,79.8,-16.8,1.58,0
