Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
BK Olomoucko,"M. Nelson, K. Elvis, J. Andre, K. Filewich, O. Šiška","BK Olomoucko|0,1,10,14,9",1,K. Elvis,9,O. Šiška,2,6,2,0,1,2.0,6.0
Sršni Photomate Písek,"V. Sýkora, M. Kozák, J. Šurý, M. Svoboda, J. Svoboda","Sršni Photomate Písek|10,11,55,71,77",10,V. Sýkora,77,J. Svoboda,1,3,1,0,1,1.0,3.0
SLUNETA  Ústí nad Labem,"A. Pecháček, N. Johnson, J. Young, T. Vyoral, D. Žikla","SLUNETA  Ústí nad Labem|0,10,2,4,9",4,T. Vyoral,10,N. Johnson,1,3,1,0,1,1.0,3.0
SK Slavia Praha,"R. Jones, J. Matušík, P. Macháč, M. Dáňa, R. Pumprla","SK Slavia Praha|15,16,35,88,9",15,R. Jones,88,M. Dáňa,1,3,1,0,1,1.0,3.0
BK Olomoucko,"M. Nelson, K. Elvis, J. Andre, J. Holmes, D. Žák","BK Olomoucko|0,1,10,13,22",13,J. Holmes,1,K. Elvis,1,3,1,0,1,1.0,3.0
BK Olomoucko,"M. Nelson, K. Elvis, J. Andre, J. Holmes, D. Žák","BK Olomoucko|0,1,10,13,22",0,M. Nelson,1,K. Elvis,1,3,1,0,1,1.0,3.0
PUMPA Basket Brno,"Š. Svoboda, T. Jansa, J. Groves, R. Williams, M. Stráněl","PUMPA Basket Brno|11,19,20,33,7",19,T. Jansa,20,J. Groves,1,3,1,0,1,1.0,3.0
PUMPA Basket Brno,"Š. Svoboda, T. Jansa, J. Groves, R. Williams, M. Stráněl","PUMPA Basket Brno|11,19,20,33,7",33,R. Williams,20,J. Groves,1,3,1,0,1,1.0,3.0
BK Opava,"K. Kavan, C. Brown Jr, Š. Puršl, L. Jurečka, J. Šiřina","BK Opava|11,13,20,23,24",20,Š. Puršl,24,J. Šiřina,1,3,1,0,1,1.0,3.0
PUMPA Basket Brno,"V. Půlpán, J. Groves, M. Rychtecký, M. Stráněl, R. Farský","PUMPA Basket Brno|18,20,4,7,8",4,M. Rychtecký,8,R. Farský,1,3,1,0,1,1.0,3.0
BK Opava,"K. Kavan, C. Brown Jr, Š. Puršl, L. Jurečka, J. Šiřina","BK Opava|11,13,20,23,24",23,L. Jurečka,24,J. Šiřina,1,3,1,0,1,1.0,3.0
PUMPA Basket Brno,"Š. Svoboda, A. Kejval, J. Groves, R. Williams, R. Farský","PUMPA Basket Brno|11,13,20,33,8",20,J. Groves,11,Š. Svoboda,1,3,1,0,1,1.0,3.0
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Štěrba, D. Davis, J. Edwards, M. Šturanović","BK ARMEX ENERGY Děčín|13,16,2,20,47",2,D. Davis,13,F. Kroutil,1,3,1,0,1,1.0,3.0
USK Praha,"J. Montgomery, T. Henderson Jr., D. Vlk, T. Tainamo, M. Šafařík","USK Praha|0,1,13,25,5",25,T. Tainamo,1,T. Henderson Jr.,1,3,1,0,1,1.0,3.0
BK ARMEX ENERGY Děčín,"F. Kroutil, D. Davis, J. Edwards, L. Feštr, T. Pomikálek","BK ARMEX ENERGY Děčín|13,2,20,44,5",44,L. Feštr,5,T. Pomikálek,1,3,1,0,1,1.0,3.0
SK Slavia Praha,"J. Matušík, R. Mrázek, P. Macháč, D. Böhm, R. Pumprla","SK Slavia Praha|16,22,35,7,9",9,R. Pumprla,16,J. Matušík,1,3,1,0,1,1.0,3.0
SK Slavia Praha,"M. Ježek, R. Jones, J. Matušík, D. Böhm, M. Dáňa","SK Slavia Praha|12,15,16,7,88",7,D. Böhm,16,J. Matušík,1,3,1,0,1,1.0,3.0
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Štěrba, J. Edwards, L. Feštr, T. Pomikálek","BK ARMEX ENERGY Děčín|13,16,20,44,5",44,L. Feštr,20,J. Edwards,1,3,1,0,1,1.0,3.0
BK GAPA Hradec Králové,"M. Popović, J. Bubeníček, K. Brewton, M. Roub, K. Chatman","BK GAPA Hradec Králové|10,16,2,24,5",2,K. Brewton,10,M. Popović,1,3,1,0,1,1.0,3.0
BK GAPA Hradec Králové,"A. Petric, K. Brewton, T. Merta, M. Roub, K. Chatman","BK GAPA Hradec Králové|11,2,23,24,5",24,M. Roub,23,T. Merta,1,3,1,0,1,1.0,3.0
BK GAPA Hradec Králové,"A. Petric, K. Brewton, T. Merta, M. Roub, K. Chatman","BK GAPA Hradec Králové|11,2,23,24,5",11,A. Petric,5,K. Chatman,1,3,1,0,1,1.0,3.0
BK Olomoucko,"M. Nelson, K. Elvis, J. Andre, J. Holmes, K. Filewich","BK Olomoucko|0,1,10,13,14",0,M. Nelson,1,K. Elvis,1,3,1,0,1,1.0,3.0
Sršni Photomate Písek,"V. Sýkora, K. Týml, J. Karlovský, M. Svoboda, J. Svoboda","Sršni Photomate Písek|10,33,41,71,77",77,J. Svoboda,33,K. Týml,1,3,1,0,1,1.0,3.0
Sršni Photomate Písek,"M. Kozák, K. Týml, J. Šurý, M. Svoboda, P. Šlechta","Sršni Photomate Písek|11,33,55,71,8",55,J. Šurý,8,P. Šlechta,1,3,1,0,1,1.0,3.0
Sršni Photomate Písek,"K. Týml, J. Šurý, M. Svoboda, J. Svoboda, P. Šlechta","Sršni Photomate Písek|33,55,71,77,8",55,J. Šurý,33,K. Týml,1,3,1,0,1,1.0,3.0
Sršni Photomate Písek,"K. Týml, J. Šurý, M. Svoboda, J. Svoboda, P. Šlechta","Sršni Photomate Písek|33,55,71,77,8",33,K. Týml,55,J. Šurý,1,3,1,0,1,1.0,3.0
SK Slavia Praha,"M. Ježek, R. Jones, P. Macháč, D. Böhm, R. Pumprla","SK Slavia Praha|12,15,35,7,9",15,R. Jones,7,D. Böhm,1,3,1,0,1,1.0,3.0
