Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
NH Ostrava,"M. Čank, M. Svoboda, K. Cole, L. Greer, D. Heinzl","NH Ostrava|19,20,24,3,7",20,M. Svoboda,3,L. Greer,1,2,0,1,1,1.0,2.0
Sršni Photomate Písek,"J. Zvolánek, K. Týml, J. Karlovský, M. Svoboda, M. Burda","Sršni Photomate Písek|31,33,41,71,9",9,M. Burda,41,J. Karlovský,1,2,0,1,1,1.0,2.0
BK GAPA Hradec Králové,"M. Popović, K. Brewton, T. Merta, T. Dvořák, K. Chatman","BK GAPA Hradec Králové|10,2,23,44,5",44,T. Dvořák,2,K. Brewton,1,2,0,1,1,1.0,2.0
NH Ostrava,"M. Čank, M. Svoboda, L. Palyza, K. Cole, L. Greer","NH Ostrava|19,20,23,24,3",19,M. Čank,24,K. Cole,1,2,0,1,1,1.0,2.0
BK GAPA Hradec Králové,"A. Petric, D. Škranc, M. Roub, T. Dvořák, K. Chatman","BK GAPA Hradec Králové|11,12,24,44,5",11,A. Petric,44,T. Dvořák,1,2,0,1,1,1.0,2.0
BK GAPA Hradec Králové,"A. Petric, D. Škranc, K. Brewton, M. Roub, K. Chatman","BK GAPA Hradec Králové|11,12,2,24,5",12,D. Škranc,24,M. Roub,1,2,0,1,1,1.0,2.0
BK GAPA Hradec Králové,"A. Petric, D. Škranc, K. Brewton, M. Roub, K. Chatman","BK GAPA Hradec Králové|11,12,2,24,5",2,K. Brewton,24,M. Roub,1,2,0,1,1,1.0,2.0
BK GAPA Hradec Králové,"M. Popović, K. Brewton, T. Merta, T. Dvořák, K. Chatman","BK GAPA Hradec Králové|10,2,23,44,5",2,K. Brewton,10,M. Popović,1,2,0,1,1,1.0,2.0
BK GAPA Hradec Králové,"A. Petric, D. Škranc, K. Brewton, M. Roub, K. Chatman","BK GAPA Hradec Králové|11,12,2,24,5",2,K. Brewton,12,D. Škranc,1,2,0,1,1,1.0,2.0
BK ARMEX ENERGY Děčín,"J. Edwards, L. Bryan Jr, L. Feštr, T. Pomikálek, T. Slowiak","BK ARMEX ENERGY Děčín|20,22,44,5,7",22,L. Bryan Jr,7,T. Slowiak,1,2,0,1,1,1.0,2.0
BK Opava,"W. Person Jr, C. Brown Jr, Š. Puršl, J. Šiřina, J. Švandrlík","BK Opava|1,13,20,24,8",20,Š. Puršl,13,C. Brown Jr,1,2,0,1,1,1.0,2.0
USK Praha,"T. Henderson Jr., D. Vlk, O. Švec, T. Tainamo, C. Eduardo","USK Praha|1,13,16,25,7",13,D. Vlk,25,T. Tainamo,1,2,0,1,1,1.0,2.0
USK Praha,"T. Henderson Jr., D. Vlk, O. Švec, T. Tainamo, C. Eduardo","USK Praha|1,13,16,25,7",1,T. Henderson Jr.,13,D. Vlk,1,2,0,1,1,1.0,2.0
USK Praha,"T. Henderson Jr., D. Vlk, O. Švec, T. Tainamo, C. Eduardo","USK Praha|1,13,16,25,7",16,O. Švec,25,T. Tainamo,1,2,0,1,1,1.0,2.0
USK Praha,"T. Henderson Jr., D. Vlk, O. Švec, T. Tainamo, M. Šafařík","USK Praha|1,13,16,25,5",13,D. Vlk,25,T. Tainamo,1,2,0,1,1,1.0,2.0
USK Praha,"T. Henderson Jr., D. Vlk, O. Švec, T. Tainamo, M. Šafařík","USK Praha|1,13,16,25,5",5,M. Šafařík,16,O. Švec,1,2,0,1,1,1.0,2.0
BK KVIS Pardubice,"R. Moffatt, Z. Key, R. Bonham, J. Bryant, J. Tůma","BK KVIS Pardubice|13,23,3,4,98",13,R. Moffatt,23,Z. Key,1,2,0,1,1,1.0,2.0
BK KVIS Pardubice,"R. Moffatt, Z. Key, R. Bonham, J. Bryant, J. Tůma","BK KVIS Pardubice|13,23,3,4,98",4,J. Bryant,23,Z. Key,1,2,0,1,1,1.0,2.0
ERA Basketball Nymburk,"S. Rice, O. Sehnal, M. Kříž, K. Feazell, F. Rylich","ERA Basketball Nymburk|10,19,31,6,73",31,M. Kříž,6,K. Feazell,1,2,0,1,1,1.0,2.0
ERA Basketball Nymburk,"S. Rice, O. Sehnal, M. Kříž, K. Feazell, F. Rylich","ERA Basketball Nymburk|10,19,31,6,73",19,O. Sehnal,31,M. Kříž,1,2,0,1,1,1.0,2.0
ERA Basketball Nymburk,"J. Brickus, J. Shumate, J. Lawrence, F. Rylich, V. Hruban","ERA Basketball Nymburk|2,32,40,73,77",2,J. Brickus,40,J. Lawrence,1,2,0,1,1,1.0,2.0
NH Ostrava,"A. Číž, M. Svoboda, K. Cole, E. Cato, L. Greer","NH Ostrava|11,20,24,25,3",20,M. Svoboda,3,L. Greer,1,2,0,1,1,1.0,2.0
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Štěrba, D. Davis, L. Feštr, M. Šturanović","BK ARMEX ENERGY Děčín|13,16,2,44,47",2,D. Davis,47,M. Šturanović,1,2,0,1,1,1.0,2.0
SLUNETA  Ústí nad Labem,"A. Pecháček, N. Johnson, J. Young, T. Vyoral, L. Pecka","SLUNETA  Ústí nad Labem|0,10,2,4,44",4,T. Vyoral,0,A. Pecháček,1,2,0,1,1,1.0,2.0
BK ARMEX ENERGY Děčín,"P. Alexander, J. Štěrba, D. Davis, J. Edwards, M. Šturanović","BK ARMEX ENERGY Děčín|0,16,2,20,47",0,P. Alexander,2,D. Davis,1,2,0,1,1,1.0,2.0
SLUNETA  Ústí nad Labem,"N. Johnson, J. Young, T. Vyoral, L. Pecka, D. Žikla","SLUNETA  Ústí nad Labem|10,2,4,44,9",10,N. Johnson,9,D. Žikla,1,2,0,1,1,1.0,2.0
BK ARMEX ENERGY Děčín,"P. Alexander, J. Štěrba, D. Davis, J. Edwards, M. Šturanović","BK ARMEX ENERGY Děčín|0,16,2,20,47",0,P. Alexander,20,J. Edwards,1,2,0,1,1,1.0,2.0
BK ARMEX ENERGY Děčín,"P. Alexander, J. Štěrba, D. Davis, J. Edwards, M. Šturanović","BK ARMEX ENERGY Děčín|0,16,2,20,47",47,M. Šturanović,20,J. Edwards,1,2,0,1,1,1.0,2.0
PUMPA Basket Brno,"A. Kejval, V. Půlpán, J. Groves, R. Williams, R. Farský","PUMPA Basket Brno|13,18,20,33,8",33,R. Williams,18,V. Půlpán,1,2,0,1,1,1.0,2.0
BK Opava,"K. Kavan, C. Brown Jr, Š. Puršl, L. Jurečka, J. Šiřina","BK Opava|11,13,20,23,24",23,L. Jurečka,13,C. Brown Jr,1,2,0,1,1,1.0,2.0
NH Ostrava,"S. Godwin, M. Svoboda, L. Palyza, K. Cole, E. Cato","NH Ostrava|14,20,23,24,25",23,L. Palyza,25,E. Cato,1,2,0,1,1,1.0,2.0
NH Ostrava,"S. Godwin, M. Svoboda, L. Palyza, K. Cole, E. Cato","NH Ostrava|14,20,23,24,25",24,K. Cole,14,S. Godwin,1,2,0,1,1,1.0,2.0
PUMPA Basket Brno,"Š. Svoboda, R. Williams, K. Kalu, M. Stráněl, R. Farský","PUMPA Basket Brno|11,33,34,7,8",33,R. Williams,11,Š. Svoboda,1,2,0,1,1,1.0,2.0
BK ARMEX ENERGY Děčín,"F. Kroutil, D. Davis, J. Edwards, L. Feštr, T. Pomikálek","BK ARMEX ENERGY Děčín|13,2,20,44,5",5,T. Pomikálek,20,J. Edwards,1,2,0,1,1,1.0,2.0
SK Slavia Praha,"M. Ježek, J. Matušík, R. Mrázek, P. Macháč, R. Pumprla","SK Slavia Praha|12,16,22,35,9",9,R. Pumprla,22,R. Mrázek,1,2,0,1,1,1.0,2.0
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Štěrba, J. Edwards, L. Feštr, T. Pomikálek","BK ARMEX ENERGY Děčín|13,16,20,44,5",16,J. Štěrba,20,J. Edwards,1,2,0,1,1,1.0,2.0
BK GAPA Hradec Králové,"D. Škranc, T. Mikyska, J. Bubeníček, T. Merta, K. Chatman","BK GAPA Hradec Králové|12,13,16,23,5",12,D. Škranc,13,T. Mikyska,1,2,0,1,1,1.0,2.0
BK GAPA Hradec Králové,"M. Popović, J. Bubeníček, K. Brewton, M. Roub, K. Chatman","BK GAPA Hradec Králové|10,16,2,24,5",16,J. Bubeníček,24,M. Roub,1,2,0,1,1,1.0,2.0
BK GAPA Hradec Králové,"A. Petric, K. Brewton, T. Merta, M. Roub, K. Chatman","BK GAPA Hradec Králové|11,2,23,24,5",2,K. Brewton,24,M. Roub,1,2,0,1,1,1.0,2.0
BK Olomoucko,"K. Elvis, J. Holmes, K. Filewich, D. Žák, O. Šiška","BK Olomoucko|1,13,14,22,9",13,J. Holmes,14,K. Filewich,1,2,0,1,1,1.0,2.0
Sršni Photomate Písek,"V. Sýkora, K. Týml, J. Šurý, M. Svoboda, J. Svoboda","Sršni Photomate Písek|10,33,55,71,77",10,V. Sýkora,71,M. Svoboda,1,2,0,1,1,1.0,2.0
BK Olomoucko,"M. Nelson, K. Elvis, J. Holmes, K. Filewich, O. Šiška","BK Olomoucko|0,1,13,14,9",13,J. Holmes,1,K. Elvis,1,2,0,1,1,1.0,2.0
Sršni Photomate Písek,"K. Týml, J. Šurý, M. Svoboda, J. Svoboda, P. Šlechta","Sršni Photomate Písek|33,55,71,77,8",71,M. Svoboda,33,K. Týml,1,2,0,1,1,1.0,2.0
Sršni Photomate Písek,"M. Kozák, K. Týml, J. Šurý, M. Svoboda, P. Šlechta","Sršni Photomate Písek|11,33,55,71,8",8,P. Šlechta,33,K. Týml,1,2,0,1,1,1.0,2.0
BK Olomoucko,"M. Nelson, K. Elvis, J. Holmes, K. Filewich, O. Šiška","BK Olomoucko|0,1,13,14,9",1,K. Elvis,0,M. Nelson,1,2,0,1,1,1.0,2.0
PUMPA Basket Brno,"V. Půlpán, J. Groves, R. Williams, K. Kalu, M. Rychtecký","PUMPA Basket Brno|18,20,33,34,4",18,V. Půlpán,34,K. Kalu,1,2,0,1,1,1.0,2.0
SK Slavia Praha,"R. Jones, J. Matušík, D. Böhm, M. Dáňa, R. Pumprla","SK Slavia Praha|15,16,7,88,9",7,D. Böhm,7,D. Böhm,1,2,0,1,1,1.0,2.0
BK ARMEX ENERGY Děčín,"J. Štěrba, D. Davis, J. Edwards, L. Feštr, T. Pomikálek","BK ARMEX ENERGY Děčín|16,2,20,44,5",44,L. Feštr,2,D. Davis,1,2,0,1,1,1.0,2.0
BK ARMEX ENERGY Děčín,"J. Štěrba, D. Davis, J. Edwards, L. Feštr, T. Pomikálek","BK ARMEX ENERGY Děčín|16,2,20,44,5",44,L. Feštr,20,J. Edwards,1,2,0,1,1,1.0,2.0
BK ARMEX ENERGY Děčín,"J. Štěrba, D. Davis, J. Edwards, L. Feštr, T. Pomikálek","BK ARMEX ENERGY Děčín|16,2,20,44,5",16,J. Štěrba,20,J. Edwards,1,2,0,1,1,1.0,2.0
BK ARMEX ENERGY Děčín,"J. Štěrba, D. Davis, J. Edwards, L. Feštr, T. Pomikálek","BK ARMEX ENERGY Děčín|16,2,20,44,5",16,J. Štěrba,5,T. Pomikálek,1,2,0,1,1,1.0,2.0
Sršni Photomate Písek,"M. Kozák, J. Haiblík, J. Zvolánek, K. Týml, J. Karlovský","Sršni Photomate Písek|11,13,31,33,41",33,K. Týml,41,J. Karlovský,1,2,0,1,1,1.0,2.0
BK Opava,"C. Brown Jr, R. Kouřil, J. Šiřina, M. Vyroubal, J. Švandrlík","BK Opava|13,21,24,25,8",21,R. Kouřil,25,M. Vyroubal,1,2,0,1,1,1.0,2.0
BK Opava,"C. Brown Jr, R. Kouřil, J. Šiřina, M. Vyroubal, J. Švandrlík","BK Opava|13,21,24,25,8",24,J. Šiřina,13,C. Brown Jr,1,2,0,1,1,1.0,2.0
NH Ostrava,"A. Číž, L. Palyza, K. Cole, E. Cato, L. Greer","NH Ostrava|11,23,24,25,3",3,L. Greer,24,K. Cole,1,2,0,1,1,1.0,2.0
BK Olomoucko,"K. Elvis, J. Andre, J. Holmes, K. Filewich, A. Goga","BK Olomoucko|1,10,13,14,4",1,K. Elvis,4,A. Goga,1,2,0,1,1,1.0,2.0
BK Opava,"W. Person Jr, K. Kavan, Š. Puršl, J. Šiřina, J. Švandrlík","BK Opava|1,11,20,24,8",24,J. Šiřina,20,Š. Puršl,1,2,0,1,1,1.0,2.0
BK Opava,"W. Person Jr, K. Kavan, Š. Puršl, J. Šiřina, J. Švandrlík","BK Opava|1,11,20,24,8",24,J. Šiřina,11,K. Kavan,1,2,0,1,1,1.0,2.0
PUMPA Basket Brno,"P. Křivánek, V. Půlpán, J. Groves, M. Stráněl, R. Farský","PUMPA Basket Brno|12,18,20,7,8",18,V. Půlpán,20,J. Groves,1,2,0,1,1,1.0,2.0
BK Opava,"W. Person Jr, C. Brown Jr, J. Šiřina, M. Vyroubal, F. Zbránek","BK Opava|1,13,24,25,9",24,J. Šiřina,9,F. Zbránek,1,2,0,1,1,1.0,2.0
NH Ostrava,"A. Číž, S. Godwin, M. Svoboda, K. Cole, L. Greer","NH Ostrava|11,14,20,24,3",11,A. Číž,14,S. Godwin,1,2,0,1,1,1.0,2.0
BK Opava,"W. Person Jr, C. Brown Jr, Š. Puršl, R. Kouřil, M. Vyroubal","BK Opava|1,13,20,21,25",25,M. Vyroubal,13,C. Brown Jr,1,2,0,1,1,1.0,2.0
BK Opava,"W. Person Jr, Š. Puršl, R. Kouřil, M. Vyroubal, F. Zbránek","BK Opava|1,20,21,25,9",9,F. Zbránek,20,Š. Puršl,1,2,0,1,1,1.0,2.0
BK Opava,"W. Person Jr, Š. Puršl, R. Kouřil, M. Vyroubal, F. Zbránek","BK Opava|1,20,21,25,9",21,R. Kouřil,20,Š. Puršl,1,2,0,1,1,1.0,2.0
NH Ostrava,"A. Číž, M. Svoboda, L. Palyza, L. Greer, D. Heinzl","NH Ostrava|11,20,23,3,7",3,L. Greer,3,L. Greer,1,2,0,1,1,1.0,2.0
ERA Basketball Nymburk,"S. Rice, O. Sehnal, J. Brickus, J. Shumate, K. Feazell","ERA Basketball Nymburk|10,19,2,32,6",10,S. Rice,6,K. Feazell,1,2,0,1,1,1.0,2.0
ERA Basketball Nymburk,"S. Rice, O. Sehnal, J. Brickus, J. Shumate, K. Feazell","ERA Basketball Nymburk|10,19,2,32,6",19,O. Sehnal,6,K. Feazell,1,2,0,1,1,1.0,2.0
BK ARMEX ENERGY Děčín,"P. Alexander, F. Kroutil, J. Štěrba, J. Edwards, M. Šturanović","BK ARMEX ENERGY Děčín|0,13,16,20,47",47,M. Šturanović,20,J. Edwards,1,2,0,1,1,1.0,2.0
BK Opava,"W. Person Jr, C. Brown Jr, R. Kouřil, J. Šiřina, J. Švandrlík","BK Opava|1,13,21,24,8",24,J. Šiřina,13,C. Brown Jr,1,2,0,1,1,1.0,2.0
SLUNETA  Ústí nad Labem,"N. Johnson, I. Davidson, J. Young, T. Vyoral, L. Pecka","SLUNETA  Ústí nad Labem|10,18,2,4,44",2,J. Young,4,T. Vyoral,1,2,0,1,1,1.0,2.0
USK Praha,"J. Montgomery, D. Vlk, O. Švec, J. Soldán, M. Šafařík","USK Praha|0,13,16,23,5",5,M. Šafařík,23,J. Soldán,1,2,0,1,1,1.0,2.0
BK Opava,"W. Person Jr, K. Kavan, C. Brown Jr, J. Šiřina, M. Vyroubal","BK Opava|1,11,13,24,25",24,J. Šiřina,1,W. Person Jr,1,2,0,1,1,1.0,2.0
BK Olomoucko,"J. Holmes, K. Filewich, D. Žák, A. Goga, O. Šiška","BK Olomoucko|13,14,22,4,9",9,O. Šiška,22,D. Žák,1,2,0,1,1,1.0,2.0
SK Slavia Praha,"M. Ježek, R. Jones, R. Mrázek, M. Lufile, D. Böhm","SK Slavia Praha|12,15,22,24,7",24,M. Lufile,12,M. Ježek,1,2,0,1,1,1.0,2.0
SK Slavia Praha,"M. Ježek, R. Jones, R. Mrázek, M. Lufile, D. Böhm","SK Slavia Praha|12,15,22,24,7",15,R. Jones,7,D. Böhm,1,2,0,1,1,1.0,2.0
ERA Basketball Nymburk,"M. Svoboda, O. Sehnal, J. Shumate, K. Feazell, V. Hruban","ERA Basketball Nymburk|11,19,32,6,77",19,O. Sehnal,77,V. Hruban,1,2,0,1,1,1.0,2.0
ERA Basketball Nymburk,"M. Svoboda, O. Sehnal, J. Shumate, K. Feazell, V. Hruban","ERA Basketball Nymburk|11,19,32,6,77",77,V. Hruban,11,M. Svoboda,1,2,0,1,1,1.0,2.0
BK ARMEX ENERGY Děčín,"F. Kroutil, D. Davis, A. Rand, L. Feštr, M. Šturanović","BK ARMEX ENERGY Děčín|13,2,24,44,47",2,D. Davis,24,A. Rand,1,2,0,1,1,1.0,2.0
BK ARMEX ENERGY Děčín,"F. Kroutil, D. Davis, A. Rand, L. Feštr, M. Šturanović","BK ARMEX ENERGY Děčín|13,2,24,44,47",44,L. Feštr,47,M. Šturanović,1,2,0,1,1,1.0,2.0
BK GAPA Hradec Králové,"L. Nikkarinen, D. Škranc, K. Brewton, M. Roub, T. Dvořák","BK GAPA Hradec Králové|11,12,2,24,44",44,T. Dvořák,24,M. Roub,1,2,0,1,1,1.0,2.0
BK GAPA Hradec Králové,"A. Johnson, C. John, D. Škranc, K. Brewton, L. Nikkarinen","BK GAPA Hradec Králové|0,10,12,2,4",2,K. Brewton,10,C. John,1,2,0,1,1,1.0,2.0
PUMPA Basket Brno,"Š. Svoboda, P. Křivánek, D. Jelínek, M. Rychtecký, M. Stráněl","PUMPA Basket Brno|11,12,25,4,7",11,Š. Svoboda,7,M. Stráněl,1,2,0,1,1,1.0,2.0
PUMPA Basket Brno,"Š. Svoboda, P. Křivánek, A. Kejval, D. Jelínek, R. Farský","PUMPA Basket Brno|11,12,13,25,8",8,R. Farský,11,Š. Svoboda,1,2,0,1,1,1.0,2.0
PUMPA Basket Brno,"Š. Svoboda, P. Křivánek, D. Jelínek, M. Stráněl, R. Farský","PUMPA Basket Brno|11,12,25,7,8",12,P. Křivánek,11,Š. Svoboda,1,2,0,1,1,1.0,2.0
Sršni Photomate Písek,"M. Kozák, J. Haiblík, J. Zvolánek, K. Týml, M. Svoboda","Sršni Photomate Písek|11,13,31,33,71",33,K. Týml,71,M. Svoboda,1,2,0,1,1,1.0,2.0
BK ARMEX ENERGY Děčín,"P. Alexander, F. Kroutil, J. Štěrba, D. Davis, M. Šturanović","BK ARMEX ENERGY Děčín|0,13,16,2,47",2,D. Davis,13,F. Kroutil,1,2,0,1,1,1.0,2.0
BK ARMEX ENERGY Děčín,"P. Alexander, F. Kroutil, J. Štěrba, D. Davis, M. Šturanović","BK ARMEX ENERGY Děčín|0,13,16,2,47",2,D. Davis,47,M. Šturanović,1,2,0,1,1,1.0,2.0
Sršni Photomate Písek,"K. Týml, J. Karlovský, M. Svoboda, J. Svoboda, P. Šlechta","Sršni Photomate Písek|33,41,71,77,8",41,J. Karlovský,71,M. Svoboda,1,2,0,1,1,1.0,2.0
