Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Sršni Photomate Písek,"M. Kozák, K. Týml, J. Karlovský, J. Šurý, P. Šlechta","Sršni Photomate Písek|11,33,41,55,8",2,1.5,91.0,4,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,138.9,0.0,138.9,2.64,4
PUMPA Basket Brno,"Š. Svoboda, P. Křivánek, D. Jelínek, M. Stráněl, R. Farský","PUMPA Basket Brno|11,12,25,7,8",2,1.5,88.0,3,1,2,50.0,0,1,0.0,1,4,25.0,0,0,0,1,0,0,1,0,2,4.6,65.7,41.7,24.0,2.05,1
BK Opava,"W. Person Jr, K. Kavan, C. Brown Jr, R. Kouřil, J. Slavík","BK Opava|1,11,13,21,33",1,1.5,89.0,3,0,0,0,0,0,0,3,3,100.0,0,0,0,0,0,0,1,0,0,2.2,134.7,0.0,134.7,2.02,3
BK GAPA Hradec Králové,"A. Petric, D. Škranc, J. Bubeníček, M. Roub, K. Chatman","BK GAPA Hradec Králové|11,12,16,24,5",1,1.4,87.0,4,1,1,100.0,0,0,0,2,2,100.0,0,0,0,1,0,0,0,0,3,1.8,221.6,108.5,113.1,2.76,1
ERA Basketball Nymburk,"S. Rice, O. Sehnal, M. Kříž, F. Rylich, V. Hruban","ERA Basketball Nymburk|10,19,31,73,77",2,1.4,83.0,7,2,3,66.7,2,3,66.7,1,2,50.0,0,0,0,0,0,0,1,0,0,4.7,149.4,0.0,149.4,5.06,7
Sršni Photomate Písek,"V. Sýkora, M. Kozák, M. Svoboda, J. Svoboda, M. Burda","Sršni Photomate Písek|10,11,71,77,9",1,1.4,83.0,2,1,5,20.0,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,41.7,0.0,41.7,1.45,2
NH Ostrava,"A. Číž, M. Svoboda, L. Palyza, L. Greer, J. Roche","NH Ostrava|11,20,23,3,35",1,1.4,81.0,6,1,4,25.0,1,1,100.0,3,4,75.0,0,0,0,1,0,0,0,0,2,5.5,108.5,48.2,60.3,4.44,4
BK GAPA Hradec Králové,"A. Petric, K. Brewton, T. Merta, M. Roub, K. Chatman","BK GAPA Hradec Králové|11,2,23,24,5",2,1.4,81.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,11,1.9,0.0,191.0,-191.0,0.0,-11
SLUNETA  Ústí nad Labem,"J. Young, J. Potoček, T. Vyoral, L. Pecka, D. Žikla","SLUNETA  Ústí nad Labem|2,31,4,44,9",2,1.4,87.0,0,0,2,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,2,0,6,3.8,0.0,208.3,-208.3,0.0,-6
PUMPA Basket Brno,"Š. Svoboda, V. Půlpán, J. Groves, R. Williams, K. Kalu","PUMPA Basket Brno|11,18,20,33,34",2,1.4,81.0,8,3,6,50.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,0,0,3,6.6,121.1,128.1,-6.9,5.93,5
