# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 423
# Qualified players exported: 294
# Total stints used: 11903
# Garbage time stints excluded: 421
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
BG Hessing Leitershofen,14,Clint Hamann,901,-0.84,-0.55,-1.38
TSV Oberhaching Tropics,21,Fynn Fischer,871,-0.83,-0.56,-1.39
CATL Basketball Löwen,17,Noah Kamdem,1006,0.26,-1.68,-1.42
Baskets Juniors TSG Westerstede,21,Joel Harms,598,-1.35,-0.1,-1.45
TV Langen,20,Drago Crnjac,1038,2.4,-3.88,-1.48
Ahorn Camp Baskets,28,David Aichele,837,-1.35,-0.16,-1.51
RASTA Vechta II,17,Etinosasere Armstrong Ehioghae,339,-1.94,0.42,-1.52
BSW Sixers,77,Paul Manuel Raabe,363,-3.23,1.69,-1.54
OrangeAcademy,0,Namori Omog,920,1.48,-3.08,-1.61
Dragons Rhöndorf,8,Kenan Reinhart,1253,-1.57,-0.06,-1.63
VR-Bank Würzburg Baskets Akademie,14,Paul Plato,755,-0.52,-1.11,-1.63
LOK BERNAU,11,Richard Schmitt,550,-1.53,-0.18,-1.71
VR-Bank Würzburg Baskets Akademie,13,Christoph Philipps,329,-1.56,-0.16,-1.71
BSW Sixers,12,Emanuel Ozike,1069,-3.1,1.38,-1.72
LOK BERNAU,22,Nevio Bennefeld,554,-0.97,-0.77,-1.74
BSW Sixers,13,Paul Schwabe,335,-0.99,-0.78,-1.77
Ahorn Camp Baskets,14,Oluwadamilola Ade-Eri,653,0.03,-1.8,-1.77
SC Rist Wedel,12,Jayden Estrus Jr. Fatnassi,579,-1.55,-0.22,-1.77
VR-Bank Würzburg Baskets Akademie,10,David Pisic,568,-1.1,-0.69,-1.79
SKYLINERS Juniors,16,Marvin Esser,276,-1.7,-0.1,-1.8
BSW Sixers,4,Ilias Amin,1215,0.47,-2.29,-1.82
ETB Miners,32,Reik Simon Gäbler,443,-2.5,0.65,-1.85
CATL Basketball Löwen,3,Léonar Fliege,325,-2.11,0.26,-1.85
Porsche BBA Ludwigsburg,7,Marko Masic,948,-1.45,-0.44,-1.89
Dresden Titans,8,Leo Alban,329,-3.36,1.47,-1.89
EN BASKETS Schwelm,16,Erik Nyberg,1081,-1.09,-0.81,-1.9
TSV Oberhaching Tropics,4,Frederik Müller,1257,-0.35,-1.58,-1.93
BBC Coburg,38,Finn Döntgens,397,-0.23,-1.7,-1.93
Dragons Rhöndorf,1,Carlo Schmid,775,-2.05,0.05,-2.0
CATL Basketball Löwen,22,Luke-Johan Kiraly,255,-1.01,-1.01,-2.02
RASTA Vechta II,3,Tristan Gutersohn,660,-0.15,-1.87,-2.02
RASTA Vechta II,5,Djairo Bernardina,299,-3.0,0.97,-2.03
SC Rist Wedel,33,Lincoln James Rosebush,1052,0.93,-2.96,-2.03
BG Hessing Leitershofen,11,Ferenc Gille,564,-1.67,-0.37,-2.03
BBC Coburg,77,Leo Cosic,636,-4.33,2.3,-2.04
OrangeAcademy,17,Tobias Rainer Holbach,523,-1.46,-0.6,-2.06
Itzehoe Eagles,3,Sven Cikara,1255,0.22,-2.32,-2.09
CATL Basketball Löwen,9,Paul Albrecht,1264,-1.04,-1.07,-2.11
TV Langen,4,Jacob Kumal Washington,1187,0.17,-2.31,-2.14
Dragons Rhöndorf,15,Jorge Mejias Sanchez,1102,2.18,-4.48,-2.3
FC Bayern Basketball II,45,Giovanni Alessio Calamita,632,-1.53,-0.77,-2.31
TKS 49ers,7,Carlo Meyer,904,-1.84,-0.49,-2.32
RASTA Vechta II,2,Epke Kruthaup,1063,-0.96,-1.4,-2.36
Hertener Löwen,21,Tim Elkenhans,562,-3.37,0.99,-2.38
RASTA Vechta II,6,Johannes Hellmann,483,-0.46,-1.96,-2.42
Iserlohn Kangaroos,16,Kevin Strangmeyer,910,-1.5,-0.93,-2.43
TV Langen,42,Fabian Baumgarten,361,-1.43,-1.04,-2.46
RASTA Vechta II,0,Aula Maarufu Sumbry,884,0.14,-2.61,-2.47
RASTA Vechta II,16,Fynn Lastring,652,-0.76,-1.75,-2.51
SV Fellbach Flashers,4,Mateus Rodrigues Rocha,1058,-0.71,-1.87,-2.58
VR-Bank Würzburg Baskets Akademie,13,Lucas Veller,327,-0.99,-1.63,-2.62
SV Fellbach Flashers,22,Thomas Billinger,252,-2.47,-0.24,-2.71
BSW Sixers,7,Jarne Jürgens,770,-2.5,-0.22,-2.71
Seawolves Academy,3,Benedict Baumgarth,550,-1.67,-1.06,-2.73
TKS 49ers,22,Joshua Lübken,828,-1.48,-1.27,-2.75
Porsche BBA Ludwigsburg,9,Armin Pivac,288,-1.43,-1.34,-2.78
EN BASKETS Schwelm,4,Fabian Reichstadt,1137,-0.56,-2.24,-2.8
OrangeAcademy,9,Lenni Kunzewitsch,732,-1.33,-1.56,-2.88
TSV Neustadt temps Shooters,32,Robin Michael Kniss,756,-2.66,-0.25,-2.91
SV Fellbach Flashers,21,Nelson Okafor,975,-3.52,0.54,-2.98
Itzehoe Eagles,9,Lucien Schmikale,1499,-1.03,-1.95,-2.98
CATL Basketball Löwen,7,Ivan Kucan,549,1.32,-4.32,-3.0
Ahorn Camp Baskets,18,Leon Geißler,652,0.88,-3.96,-3.08
TV Langen,6,Luca Justus Eibelshäuser,307,-2.18,-0.91,-3.09
Seawolves Academy,6,Luis Wulff,432,-1.86,-1.24,-3.09
CATL Basketball Löwen,13,Friedrich Radefeld,450,-0.54,-2.64,-3.18
SKYLINERS Juniors,43,Florian Dietrich,712,-1.34,-1.84,-3.18
BG Hessing Leitershofen,2,Tristan Göbel,272,-1.0,-2.22,-3.22
TV Langen,11,Risto Vasiljevic,487,-0.17,-3.09,-3.26
FC Bayern Basketball II,32,Nicolas Neruda Kodjoe,959,-1.59,-1.7,-3.29
Dragons Rhöndorf,12,David Böning,577,-2.3,-1.03,-3.33
Ahorn Camp Baskets,44,Felix Angerbauer,1005,-1.6,-1.74,-3.34
Porsche BBA Ludwigsburg,2,Lars Danziger,820,-2.11,-1.28,-3.39
TSV Oberhaching Tropics,7,Nedzad Muratovic,1148,-0.36,-3.03,-3.39
TSV Neustadt temps Shooters,37,Samuel Mpacko,340,-2.8,-0.63,-3.43
Dresden Titans,13,Kevin Kollmar,1138,-1.16,-2.28,-3.44
TSV Oberhaching Tropics,3,Jonathan Zeisberger,1448,-1.07,-2.4,-3.47
Iserlohn Kangaroos,6,Daniel Zacek,931,-1.62,-1.86,-3.47
VR-Bank Würzburg Baskets Akademie,17,Clemens Sokolov,845,-3.61,0.12,-3.49
SC Rist Wedel,44,Darren Egbe,818,-2.3,-1.2,-3.5
Ahorn Camp Baskets,1,Noah Koch,296,-1.51,-2.01,-3.52
TSV Neustadt temps Shooters,17,Christenvie Kwilu,1336,-2.33,-1.21,-3.54
VR-Bank Würzburg Baskets Akademie,9,Lukas Roth,910,0.19,-3.78,-3.59
Iserlohn Kangaroos,4,Jordan Iloanya,562,-1.71,-2.06,-3.77
SV Fellbach Flashers,6,Travis Davis,480,-3.78,-0.0,-3.79
SV Fellbach Flashers,10,Brian Butler,378,-4.02,0.19,-3.83
CATL Basketball Löwen,14,Jeremie Fotso-Sighom,509,-4.17,0.32,-3.85
Seawolves Academy,9,Mika Freitag,705,-2.88,-1.03,-3.91
SKYLINERS Juniors,21,Maximilian Peters,305,-2.12,-1.88,-4.0
FC Bayern Basketball II,0,Caspar David Vossenberg,706,-4.28,0.27,-4.01
TSV Neustadt temps Shooters,3,Emil Loch,1306,-1.32,-2.73,-4.06
RASTA Vechta II,8,Moritz Grüß,1217,-1.19,-2.99,-4.18
Baskets Juniors TSG Westerstede,4,Andre Galler,510,-2.81,-1.38,-4.19
SC Rist Wedel,6,Janne Müller,629,-0.59,-3.68,-4.27
CATL Basketball Löwen,21,Jasper Brand,647,-3.62,-0.66,-4.29
Seawolves Academy,22,Chris Frazier,1039,-1.3,-2.99,-4.29
BSW Sixers,3,Silver Arun Bieling,724,-2.67,-1.64,-4.32
Dresden Titans,0,Leonardo Alfonso Benitez Arocha,353,-2.26,-2.06,-4.32
Dragons Rhöndorf,11,Mamadou Lagui Diallo,788,-2.67,-1.71,-4.38
EN BASKETS Schwelm,14,Arthur Baheraba Noba,783,-1.19,-3.32,-4.51
Seawolves Academy,20,Bruno Loll,1010,-2.1,-2.47,-4.57
Dragons Rhöndorf,7,Vuk Scepanovic,330,-2.25,-2.46,-4.7
Baskets Juniors TSG Westerstede,24,Noah Wendland,253,-2.88,-1.93,-4.81
