Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
BC Prievidza,"Davontrey Shauni Zhmere Thomas, Joseph Toussaint, Marek Jašš, Maroš Zelizňák, Patrik Hričo",1,23,0.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,94.2,100.2,88.2,24.0,27.2,0,0,0,0,100,0,0,100,0,1,0,0,0,0,0,0,1,2,50,0,1,1,0,0,0,0,0,1,0,56.8,0,0,0,118.4,0,0,0,0,0,0,1,0,0,0,0,0,0,-118.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBK Baník Handlová,"Jakub Petráš, Jordan Lamont Harris, Jordan Lee Glover, Juraj Láštic, Marek Foltín",1,25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,92.2,92.2,92.2,26.0,26.0,0,0,0,0,0,100,0,0,0,2,1,1,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,100,100,0,0,0,208.3,0,0,0,0,0,0,0,0,0,1,0,0,0,-208.3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
BC Prievidza,"Anderson Sage Tolbert Iii, James Edward Bishop Iv, Joseph Toussaint, Marek Jašš, Patrik Hričo",1,16,0.0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,207.4,144,270.7,16.7,8.9,0,0,0,50,0,0,0,0,0,3,1,1,100,0,0,0,1,2,50,0,1,1,0,0,1,0,0,2,100,79.8,0,0,0,166.2,1,0,0,1,0,0,0,0,0,0,0,0,0,-166.2,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,2,3
BC Komárno,"Adeniyi Gabriel Olabode, Corey Kaydon Mckeithan, Elijah Gregory Ormiston, Máté Balogh, Samuel Volárik",1,16,0.0,2,1,2,50,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,79.5,144,15,16.7,160.0,50,50,0,100,0,0,0,0,208.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50,0,0,0,0,0,0,0,0,0,0,208.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
BC Komárno,"Corey Kaydon Mckeithan, Gergely Balogh, Martin Koller, Samuel Volárik, Tyler Terell Millin",1,25,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,86.6,92.2,81.1,26.0,29.6,0,0,0,0,0,0,0,100,0,2,0,0,0,0,0,0,2,2,100,0,1,1,0,0,0,0,0,1,0,113.6,0,0,0,236.7,0,0,0,0,0,0,1,0,0,0,0,0,0,-236.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Košice Wolves,"Adam Monček, Dmytro Sokolovskyi (*Hgp), Ezekiel La'Quan-Abe Montgomery, Jalen Makanaokeakua Gaffney, Róbert Seman",1,52,0.0,2,0,0,0,0,0,0,2,2,100,0,1,1,0,0,0,0,0,1,41.6,39,44.3,61.6,54.2,0,113.6,0,0,100,0,0,0,236.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrioti Levice,"Aatu Albert Kivimäki, Akol Mawein, Gabriel Jerome Dorsey, Keith Andre Wesson Jr, Patrik Pažický",1,20,0.0,1,0,0,0,0,0,0,1,2,50,0,0,0,0,0,0,0,0,1,56.7,101.4,12,23.7,200.0,0,56.8,0,0,0,0,0,0,118.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Košice Wolves,"Adam Monček, Avelon Luke John Jr, Ezekiel La'Quan-Abe Montgomery, Filip Halada, Todd Jacob Wolfe",1,32,0.0,1,0,0,0,0,0,0,1,2,50,0,0,0,1,1,0,0,0,1,67.7,63.4,72,37.9,33.3,0,56.8,0,0,0,0,0,0,118.4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Košice Wolves,"Avelon Luke John Jr, Ezekiel La'Quan-Abe Montgomery, Filip Halada, Myles Derek Howard, Todd Jacob Wolfe",1,76,0.0,0,0,2,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,1,45.5,30.3,60.6,79.2,39.6,0,0,0,50,33.3,0,0,50,0,2,1,4,25,0,1,0,0,0,0,2,1,3,1,0,1,0,2,2,25,25,0,66.7,25,104.2,1,0,0,0,0,0,1,0,0,0,0,0,0,-104.2,1,1,100,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nitra Blue Wings,"Brandon Matthew Horvath, Guy Evers Kennedy Ragland Jr, Jordan Lamont Jones, Lukáš Bolek, Oleksandr Belikov",1,47,0.0,2,1,1,100,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,49,49,49,49.0,49.0,100,100,100,0,50,0,0,0,208.3,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,50,50,0,1,1,100,0,0,0,0,0,0,0,0,0,0,208.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nitra Blue Wings,"Adam Galko, Jordan Lamont Jones, Lukáš Bolek, Maroš Šimko, Tristan Ekong Ikpe",1,47,0.0,1,0,1,0,0,1,0,1,1,100,0,0,0,0,0,0,0,1,1,59.8,70.6,49,34.0,49.0,0,34.7,0,0,0,0,100,100,72.3,2,1,2,50,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,50,50,0,100,0,208.3,0,0,0,0,0,0,1,0,0,0,0,0,0,-136,1,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,2,0,0
Nitra Blue Wings,"Jeremiah Kenyatta Bailey, Jordan Lamont Jones, Ladislav Gergely, Tristan Ekong Ikpe, Ľubomír Urban",1,35,0.0,1,0,0,0,0,0,0,1,2,50,0,1,1,0,0,0,0,0,1,61.9,57.9,65.8,41.4,36.5,0,56.8,0,0,100,0,0,0,118.4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Iskra Svit,"Daniel Blaško, Maishe Ramel Dailey, Róbert Rožánek, Sevon Marquise Witt, Tyrin Ja´Quain Atwood",1,79,0.0,0,0,2,0,0,1,0,0,0,0,1,1,2,0,0,0,0,1,1,63,29.2,96.8,82.3,24.8,0,0,0,50,100,0,0,50,0,7,2,2,100,1,1,100,2,3,66.7,0,1,1,0,0,0,0,0,3,125,105.4,0,0,50,219.6,0,0,0,1,0,0,1,0,0,0,0,0,0,-219.6,0,0,0,1,1,100,1,1,100,0,0,0,0,0,0,0,0,5,0
MBK Baník Handlová,"Djimon Tyler Henson, Jakub Petráš, Jeremy Lamar Mc Laughlin, Marek Foltín, Viliam Ďurečko",1,82,0.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,70.2,28.1,112.4,85.4,21.4,0,0,0,0,100,0,0,100,0,5,2,4,50,1,2,50,0,0,0,0,1,1,2,0,0,0,0,4,62.5,62.5,0,0,50,130.2,0,0,0,0,0,0,1,0,0,0,0,0,0,-130.2,1,1,100,1,0,0,2,1,50,0,0,0,0,0,0,0,0,2,0
MBK Baník Handlová,"Djimon Tyler Henson, Jeremy Lamar Mc Laughlin, Marek Foltín, Petar Dragović, Viliam Ďurečko",1,31,0.0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,1,111.5,74.3,148.6,32.3,16.1,0,0,0,0,100,0,0,100,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BC Komárno,"Aaron Jamal Naseem Gray, Adeniyi Gabriel Olabode, Carrington Roderick Wiggins, Corey Kaydon Mckeithan, Tyler Terell Millin",1,6,0.0,3,1,1,100,1,1,100,0,0,0,0,1,1,0,0,0,0,0,1,361,384,337.9,6.2,7.1,150,150,0,0,100,0,0,100,312.5,1,0,0,0,0,0,0,1,2,50,0,0,0,0,0,0,0,0,1,0,56.8,0,0,0,118.4,0,0,0,0,0,0,1,1,100,0,0,0,0,194.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
BC Komárno,"Carrington Roderick Wiggins, Corey Kaydon Mckeithan, Elijah Gregory Ormiston, Samuel Volárik, Tyler Terell Millin",1,29,0.0,2,1,1,100,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,79.4,79.4,79.4,30.2,30.2,100,100,100,0,50,0,0,0,208.3,0,0,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
Nitra Blue Wings,"Brandon Matthew Horvath, Guy Evers Kennedy Ragland Jr, Jeremiah Kenyatta Bailey, Lukáš Bolek, Oleksandr Belikov",1,40,0.0,2,1,2,50,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,54.1,57.6,50.7,41.7,47.3,50,50,0,100,0,0,0,0,208.3,2,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,0,0,1,0,113.6,0,0,0,236.7,1,1,100,1,0,0,0,0,0,0,0,0,0,-28.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Nitra Blue Wings,"Brandon Matthew Horvath, Jeremiah Kenyatta Bailey, Jordan Lamont Jones, Oleksandr Belikov, Tristan Ekong Ikpe",1,48,0.0,2,0,0,0,0,0,0,2,2,100,0,1,1,0,0,1,0,1,1,45.1,42.2,48,56.8,50.0,0,113.6,0,0,50,0,0,0,236.7,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Nitra Blue Wings,"Brandon Matthew Horvath, Guy Evers Kennedy Ragland Jr, Jordan Lamont Jones, Lukáš Bolek, Ľubomír Urban",1,47,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70.6,49,92.2,49.0,26.0,0,0,0,0,0,0,0,0,0,5,2,2,100,1,1,100,0,2,0,1,1,2,1,0,1,0,0,2,125,86.8,0,100,50,277,1,0,0,0,0,0,0,0,0,0,0,0,0,-277,1,1,100,0,0,0,1,1,100,0,0,0,0,0,0,0,3,2,0
Iskra Svit,"Dávid Harabin, Maishe Ramel Dailey, Róbert Rožánek, Sevon Marquise Witt, Tyrin Ja´Quain Atwood",1,9,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,256,256,256,9.4,9.4,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
