Canonical,Team,Numbers,Variations
Lukáš Huťka,BKM Mimel Lučenec,14,Lukáš Huťka
Davontrey Shauni Zhmere Thomas,BC Prievidza,4,Davontrey Shauni Zhmere Thomas
Eduardo Benvindo Luvumbo Andre,BC Prievidza,8,Eduardo Benvindo Luvumbo Andre
Dávid Novák,BC Prievidza,10,Dávid Novák
Joseph Toussaint,BC Prievidza,15,Joseph Toussaint
Jaaden Allister Luke Lewis,BC Prievidza,55,Jaaden Allister Luke Lewis
Jakub Krutcký,BC Prievidza,0,Jakub Krutcký
Anderson Sage Tolbert Iii,BC Prievidza,1,Anderson Sage Tolbert Iii
Patrik Hričo,BC Prievidza,7,Patrik Hričo
Noah Craig Reynolds,BC Prievidza,9,Noah Craig Reynolds
Babafemi Odukale Jr,BC Prievidza,11,Babafemi Odukale Jr
Marek Jašš,BC Prievidza,13,Marek Jašš
Dalibor Hlivák,BC Prievidza,17,Dalibor Hlivák
Andrej Ovčiarik,Spišskí Rytieri,27,Andrej Ovčiarik
Nemanja Nikolič,MBK Baník Handlová,9,Nemanja Nikolič
Michal Krcho,Košice Wolves,1,Michal Krcho
Michal Baťka,Košice Wolves,14,Michal Baťka
Jasean Jatar Jackson,Iskra Svit,7,Jasean Jatar Jackson; Jason Jackson
Mark Anthony Watts Jr,Iskra Svit,2,Mark Anthony Watts Jr
Lukáš Bambúch,Iskra Svit,3,Lukáš Bambúch
Lukáš Jendrichovský,Iskra Svit,21,Lukáš Jendrichovský
Shamiel Shawn Stevenson,BC Slovan Bratislava,4,Shamiel Shawn Stevenson
Jovan Šljivančanin,MBK Baník Handlová,13,Jovan Šljivančanin
Nemanja Nikolić,MBK Baník Handlová,9,Nemanja Nikolić
Djimon Tyler Henson,MBK Baník Handlová,18,Djimon Tyler Henson
Marko Stevanovič,Spišskí Rytieri,24,Marko Stevanovič
Carrington Roderick Wiggins,BC Komárno,4,Carrington Roderick Wiggins; Carrington Wiggins
Kimani Esque Tyrone Lawrence,BC Komárno,14,Kimani Lawrence; Kimani Esque Tyrone Lawrence
Jakub Krucký,BC Prievidza,0,Jakub Krucký
Samuel Kokavec,BC Prievidza,6,Samuel Kokavec
Marko Stevanović,Spišskí Rytieri,62,Marko Stevanović
Naje' Abdean Smith,BC Prievidza,23,Naje' Abdean Smith
Novak Musić,Patrioti Levice,8,Novak Musić
Boris Bojanovský,Patrioti Levice,15,Boris Bojanovský
Bonke Robert Maring,BC Prievidza,24,Bonke Robert Maring
Fahro Alihodzic,BC Prievidza,25,Fahro Alihodzic
Akol Mawein,Patrioti Levice,55,Akol Mawein
Tervell Tyshawn Beck,BKM Mimel Lučenec,13,Tervell Tyshawn Beck
Tyler Terell Millin,BC Komárno,30,Tyler Terell Millin; Tyler Millin
Troy D´Amico,Iskra Svit,0/98,Troy D´Amico
Maring Bonke,BC Prievidza,24,Maring Bonke
Andrej Náhlik,Nitra Blue Wings,2,Andrej Náhlik
Raynere Thorton,BC Slovan Bratislava,3,Raynere Thorton
Tyrin Ja´Quain Atwood,Iskra Svit,24/98,Tyrin Ja´Quain Atwood
Troy Thomas D'Amico,Iskra Svit,0,Troy Thomas D'Amico
Tairell Domonique Fletcher,MBK Baník Handlová,1,Tairell Domonique Fletcher
Dávid Bujdoš,Nitra Blue Wings,33/7,Dávid Bujdoš
Jordan Lamont Harris,MBK Baník Handlová,1/11,Jordan Lamont Harris
Alex Halenár,Nitra Blue Wings,33,Alex Halenár
Corey Kaydon Mckeithan,BC Komárno,2,Corey Kaydon Mckeithan
Owen Louis Lobsinger,BC Komárno,0,Owen Louis Lobsinger
Avelon Luke John Jr,Košice Wolves,7,Avelon Luke John Jr
Raynere Zynique Thornton,BC Slovan Bratislava,3,Raynere Thornton; Raynere Zynique Thornton
Bruno Randuška,BC Slovan Bratislava,99,Bruno Randuška
Šimon Hoferica,Nitra Blue Wings,10,Šimon Hoferica
Jeremy Lamar Mc Laughlin,MBK Baník Handlová,71,Jeremy Lamar Mc Laughlin
Jordan Lee Glover,MBK Baník Handlová,34,Jordan Lee Glover
Avery Kordell Sullivan,Iskra Svit,5,Avery Kordell Sullivan
Jalen Makanaokeakua Gaffney,Košice Wolves,12,Jalen Makanaokeakua Gaffney
Juraj Jánošík,BC Prievidza,6,Juraj Jánošík
Tevin Michael Smith,BKM Mimel Lučenec,11,Tevin Michael Smith
Milan Geleta,BKM Mimel Lučenec,10/23/34/6,Milan Geleta
Maroš Šimko,Nitra Blue Wings,22,Maroš Šimko
