Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Elijah Gregory Ormiston, Tyler Terell Millin, Tyron Desean Henry",4,9.9,3,1,3,33.3,0,2,0.0,1,2,50.0,2,1,3,1,0,0,0,1,2,0,3,0.8,13.8,78.3,112.3,-34.0,33.3,38.7,100.0,0.0,1,1,100,0,0,0,2,0,0,0,0,0,0,2,0,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Máté Balogh, Samuel Volárik, Tyler Terell Millin",4,9.6,4,2,2,100.0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,6,1.5,29.6,118.2,56.7,61.5,100.0,100.0,50.0,0.0,2,2,100,0,0,0,0,0,0,0,0,0,0,0,4,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Martin Pospišil, Samuel Volárik, Tyler Donovan Stevenson",1,9.5,4,1,2,50.0,1,1,100.0,1,2,50.0,0,1,1,0,0,0,0,1,3,0,4,4.0,23.6,100.3,120.0,-19.6,75.0,69.4,0.0,0.0,0,0,0,1,0,0,1,1,100,0,0,0,0,0,1,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Corey Kaydon Mckeithan, Elijah Gregory Ormiston, Owen Louis Lobsinger, Samuel Volárik",4,8.8,2,1,1,100.0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,3,0,2,0.5,11.4,147.7,148.0,-0.2,100.0,100.0,0.0,66.7,1,1,100,0,0,0,0,0,0,0,0,0,1,0,2,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Adeniyi Gabriel Olabode, Martin Koller, Samuel Volárik, Tyler Donovan Stevenson",2,8.6,11,5,9,55.6,1,3,33.3,0,0,0,0,0,0,0,0,0,0,1,9,0,11,5.5,63.0,74.4,87.9,-13.5,61.1,61.1,0.0,0.0,5,3,60,1,1,100,3,1,33.3,0,0,0,0,0,4,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Adeniyi Gabriel Olabode, Carrington Roderick Wiggins, Elijah Gregory Ormiston, Samuel Volárik",6,8.3,4,1,2,50.0,0,1,0.0,2,2,100.0,1,1,2,1,0,0,0,0,2,0,4,0.7,19.6,151.5,68.9,82.6,50.0,69.4,100.0,0.0,1,1,100,0,0,0,1,0,0,0,0,0,0,0,4,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Kimani Esque Tyrone Lawrence, Martin Koller, Tyler Terell Millin",2,8.2,5,2,2,100.0,0,0,0,1,1,100.0,1,1,2,2,0,0,0,0,1,0,5,2.5,31.9,146.9,76.8,70.2,100.0,102.5,100.0,0.0,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,2
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Kimani Esque Tyrone Lawrence, Martin Pospišil, Samuel Volárik",4,7.7,7,3,4,75.0,0,1,0.0,1,1,100.0,1,0,1,0,0,0,0,1,3,0,7,1.8,46.5,119.7,89.4,30.3,75.0,78.8,0.0,0.0,2,2,100,1,1,100,1,0,0,0,0,0,0,2,2,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Elijah Gregory Ormiston, Martin Pospišil, Tyron Desean Henry",4,7.5,5,2,3,66.7,1,2,50.0,0,0,0,1,2,3,1,0,0,1,2,3,0,5,1.2,31.1,149.2,84.8,64.4,83.3,83.3,50.0,20.0,1,1,100,0,0,0,2,1,50,1,0,0,0,5,2,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Corey Kaydon Mckeithan, Elijah Gregory Ormiston, Martin Pospišil",3,7.5,6,2,3,66.7,0,0,0,2,2,100.0,1,3,4,0,0,0,0,2,3,0,6,2.0,40.9,122.7,153.2,-30.5,66.7,77.3,0.0,0.0,1,1,100,2,1,50,0,0,0,0,0,0,0,2,0,2
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Elijah Gregory Ormiston, Martin Pospišil, Tyler Terell Millin, Tyron Desean Henry",1,7.4,6,2,3,66.7,1,1,100.0,1,1,100.0,0,1,1,0,0,1,0,0,3,0,6,6.0,52.4,166.1,113.6,52.4,83.3,87.2,0.0,0.0,0,0,0,2,1,50,1,1,100,0,0,0,0,0,0,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Elijah Gregory Ormiston, Samuel Volárik, Tyler Donovan Stevenson",1,7.3,8,3,3,100.0,2,2,100.0,0,0,0,0,2,2,0,0,0,0,0,3,0,8,8.0,60.7,182.1,97.0,85.0,133.3,133.3,0.0,0.0,1,1,100,0,0,0,2,2,100,0,0,0,0,0,3,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Corey Kaydon Mckeithan, Elijah Gregory Ormiston, Martin Pospišil, Owen Louis Lobsinger",4,7.2,2,1,1,100.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0.5,15.0,157.7,113.6,44.1,100.0,100.0,100.0,0.0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,2,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Corey Kaydon Mckeithan, Kimani Esque Tyrone Lawrence, Martin Pospišil",2,7.1,2,1,3,33.3,0,2,0.0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,1.0,16.8,142.9,131.5,11.3,33.3,33.3,100.0,0.0,0,0,0,1,1,100,2,0,0,0,0,0,0,0,0,2
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Adeniyi Gabriel Olabode, Corey Kaydon Mckeithan, Elijah Gregory Ormiston, Tyler Terell Millin",3,7.0,0,0,1,0.0,0,0,0,0,0,0,0,4,4,2,1,1,0,0,1,0,0,0.0,0.0,174.5,103.6,70.9,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Kimani Esque Tyrone Lawrence, Samuel Volárik, Tyler Terell Millin",4,6.8,3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,0,1,0,1,2,2,0,3,0.8,17.8,106.6,77.6,28.9,150.0,150.0,0.0,50.0,0,0,0,0,0,0,1,1,100,1,0,0,0,0,3,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Corey Kaydon Mckeithan, Kimani Esque Tyrone Lawrence, Martin Pospišil, Owen Louis Lobsinger",1,6.8,2,1,1,100.0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,1,2,0,2,2.0,18.6,111.8,193.2,-81.5,100.0,53.2,0.0,0.0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Kimani Esque Tyrone Lawrence, Martin Koller, Tyler Terell Millin, Tyron Desean Henry",2,6.7,4,1,1,100.0,0,0,0,2,2,100.0,2,1,3,0,0,0,0,0,0,0,4,2.0,36.3,136.2,66.3,69.9,100.0,106.4,0.0,0.0,1,1,100,0,0,0,0,0,0,0,0,0,0,4,0,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Corey Kaydon Mckeithan, Kimani Esque Tyrone Lawrence, Martin Pospišil, Samuel Volárik",4,6.6,6,2,2,100.0,0,0,0,2,2,100.0,0,2,2,0,0,0,0,0,3,0,6,1.5,43.4,152.1,102.7,49.4,100.0,104.2,0.0,0.0,2,2,100,0,0,0,0,0,0,0,0,0,0,2,2,4
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Elijah Gregory Ormiston, Samuel Volárik, Tyron Desean Henry, Yuri Shamar Covington",3,6.4,0,0,2,0.0,0,2,0.0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0.0,0.0,103.4,86.8,16.6,0.0,0.0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Kimani Esque Tyrone Lawrence, Martin Koller, Martin Pospišil, Yuri Shamar Covington",2,6.2,2,0,1,0.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,0,1,2,0,2,1.0,17.4,130.4,94.9,35.5,0.0,53.2,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Corey Kaydon Mckeithan, Kimani Esque Tyrone Lawrence, Martin Koller, Tyler Terell Millin",2,6.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1.0,18.9,103.9,153.2,-49.3,100.0,100.0,0.0,0.0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Adeniyi Gabriel Olabode, Carrington Roderick Wiggins, Máté Balogh, Samuel Volárik",2,6.0,4,2,2,100.0,0,0,0,0,1,0.0,0,1,1,1,1,0,0,0,2,0,4,2.0,35.9,107.6,111.1,-3.5,100.0,82.0,50.0,0.0,1,1,100,1,1,100,0,0,0,0,0,0,0,2,2,2
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Adeniyi Gabriel Olabode, Carrington Roderick Wiggins, Elijah Gregory Ormiston, Tyler Donovan Stevenson",1,5.7,2,0,1,0.0,0,0,0,2,2,100.0,0,0,0,0,0,1,2,1,4,0,2,2.0,13.7,89.2,100.5,-11.3,0.0,53.2,0,51.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Adeniyi Gabriel Olabode, Carrington Roderick Wiggins, Noah Ali Farrakhan, Tyler Donovan Stevenson",1,5.4,1,0,0,0,0,0,0,1,2,50.0,0,0,0,0,0,0,0,1,1,0,1,1.0,8.2,130.6,105.6,25.0,0,56.8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Corey Kaydon Mckeithan, Kimani Esque Tyrone Lawrence, Martin Koller, Owen Louis Lobsinger",1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,126.1,188.1,-62.0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Adeniyi Gabriel Olabode, Martin Koller, Martin Pospišil, Tyler Donovan Stevenson",2,5.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,50.4,134.1,-83.7,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Kimani Esque Tyrone Lawrence, Samuel Volárik, Tyler Terell Millin, Tyron Desean Henry",1,4.9,2,0,1,0.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,1,1,3,0,2,2.0,18.6,93.1,96.5,-3.3,0.0,53.2,0,34.7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Kimani Esque Tyrone Lawrence, Martin Pospišil, Samuel Volárik, Tyron Desean Henry",2,4.8,4,2,3,66.7,0,1,0.0,0,0,0,1,1,2,0,0,0,1,0,3,0,4,2.0,43.6,120.0,104.2,15.8,66.7,66.7,0.0,25.0,2,2,100,0,0,0,1,0,0,1,0,0,0,0,0,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Adeniyi Gabriel Olabode, Máté Balogh, Noah Ali Farrakhan, Tyler Donovan Stevenson",1,4.8,0,0,1,0.0,0,1,0.0,0,0,0,0,3,3,0,0,0,1,0,2,0,0,0.0,0.0,77.8,83.2,-5.5,0.0,0.0,0,50.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Kimani Esque Tyrone Lawrence, Martin Koller, Tyron Desean Henry",2,4.5,2,0,1,0.0,0,0,0,2,2,100.0,0,0,0,0,0,1,0,1,2,0,2,1.0,16.5,140.3,109.8,30.6,0.0,53.2,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Elijah Gregory Ormiston, Kimani Esque Tyrone Lawrence, Samuel Volárik",2,4.4,2,0,1,0.0,0,1,0.0,2,2,100.0,0,1,1,1,0,0,0,1,2,0,2,1.0,25.8,90.2,111.8,-21.6,0.0,53.2,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Carrington Roderick Wiggins, Corey Kaydon Mckeithan, Owen Louis Lobsinger, Samuel Volárik",2,4.3,0,0,3,0.0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,2,0,0,0.0,0.0,121.3,194.9,-73.5,0.0,0.0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Corey Kaydon Mckeithan, Elijah Gregory Ormiston, Martin Koller, Samuel Volárik",3,4.2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,2,2,0.7,22.9,91.5,168.8,-77.3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Jamal Naseem Gray,BC Komárno,1,Aaron Jamal Naseem Gray,"Adeniyi Gabriel Olabode, Corey Kaydon Mckeithan, Máté Balogh, Samuel Volárik",4,4.2,0,0,2,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,17.0,52.7,-35.7,0.0,0.0,0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
