# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 288
# Qualified players exported: 211
# Total stints used: 9049
# Garbage time stints excluded: 343
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
BBC Bayreuth,39,Willem Brandwijk,797,-1.91,1.92,0.01
EPG Baskets Koblenz,9,Jonas Niedermanner,1072,-1.44,1.42,-0.02
Bozic Estriche Knights Kirchheim,1,Phillip Montreal Russelll,1272,0.64,-0.79,-0.16
GIESSEN 46ers,25,Viktor Kovacevic,465,-0.64,0.34,-0.3
Tigers Tübingen,8,Felix Per Edwardsson,824,-0.57,0.22,-0.36
Nürnberg Falcons BC,30,Vincent Friederici,1226,0.41,-0.77,-0.37
SBB Baskets Wolmirstedt,1,Trey Thompson Stewart,268,0.41,-0.81,-0.4
Paderborn Baskets,13,Jalen Lee Johnson,893,0.01,-0.42,-0.4
BBC Bayreuth,23,KeVaughn Allen,1323,-1.34,0.93,-0.41
BBC Bayreuth,2,Tehree Johnathan Horn,1256,-0.53,0.1,-0.44
EPG Baskets Koblenz,10,Garrett Hicks,593,-1.2,0.69,-0.51
Bayer Giants Leverkusen,8,Kobe Langley,1303,1.36,-1.88,-0.52
BG Göttingen,21,Zach Jackson,1146,0.47,-1.01,-0.53
Artland Dragons,16,Fynn Lastring,671,1.03,-1.61,-0.59
SBB Baskets Wolmirstedt,0,Joshua Bonga,255,-1.25,0.67,-0.59
BG Göttingen,4,Daniel Kirchner,981,-0.74,0.07,-0.67
Tigers Tübingen,7,Silas Kaan Osezua Oriane,666,-0.48,-0.19,-0.67
SBB Baskets,22,Kevin Wohlrath,333,0.61,-1.33,-0.72
EPG Baskets Koblenz,5,Timothy Smith,993,-0.31,-0.5,-0.8
Paderborn Baskets,11,Karl Bühner,890,-1.0,0.11,-0.89
EPG Baskets Koblenz,13,Marko Bacak,934,0.13,-1.08,-0.95
BBC Bayreuth,3,Rayshawn Rene Mart,1334,0.11,-1.11,-1.0
Tigers Tübingen,23,Melkisedek Kwaku Moreaux,1055,-1.73,0.7,-1.02
BG Göttingen,11,Robin Lodders,570,1.22,-2.24,-1.02
Tigers Tübingen,1,Bernard Joel Pelote III,1329,-2.11,1.01,-1.11
SBB Baskets,0,Joshua Bonga,308,-0.77,-0.39,-1.16
Tigers Tübingen,11,Jordan Nathaniel Johnson,432,-1.25,0.05,-1.2
Uni Baskets Münster,6,Thore Dilschmann,924,-1.1,-0.11,-1.21
Phoenix Hagen,77,Anzac Joseph Dennis Rissetto,569,-1.26,0.01,-1.25
PS Karlsruhe LIONS,7,Wesley Chima Oba,902,-3.62,2.34,-1.27
EPG Baskets Koblenz,14,Jannis Sonnefeld,538,-2.62,1.3,-1.32
Nürnberg Falcons BC,22,Trevor James Baskin,1110,-1.73,0.38,-1.35
Artland Dragons,20,Linus Ruf,909,0.08,-1.43,-1.35
SBB Baskets Wolmirstedt,34,Fabien Kondo,258,-1.94,0.58,-1.36
Bayer Giants Leverkusen,11,Ricardo Lynch,1042,-0.83,-0.57,-1.4
VfL SparkassenStars Bochum,9,Jonas Grof,1236,-0.62,-0.83,-1.45
Nürnberg Falcons BC,7,Christian Feneberg,860,-0.62,-0.86,-1.49
HAKRO Merlins Crailsheim,7,Nico Santana Mojica,369,-1.27,-0.26,-1.53
Bozic Estriche Knights Kirchheim,21,Nicolas Bretzel,773,-0.96,-0.58,-1.54
