Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
EPG Baskets Koblenz,Julian Lamont Larry,1,Julian Lamont Larry,8,20.1,160.6,68.0,8.5,24.0,54.0,44.4,6.0,19.0,31.6,14.0,17.0,82.4,5.0,12.0,17.0,14.0,8.0,1.0,13.0,15.0,66.7,20.8,3.1,0.6,0.8,37,105.0,13.1,4.8,3,1.5,4,1,33.8,5.4,2,-1.67,-3.83,2.16,2.3,3.3,22.0,11.0,50,13.0,7.0,53.8,0.0,0.0,0,10.0,2.0,6.0,5.0,0.0,0.0,7.0,13.0,18.0
SBB Baskets,Kevin Wohlrath,22,Kevin Wohlrath,8,24.1,192.5,55.0,6.9,22.0,40.0,55,9.0,19.0,47.4,2.0,3.0,66.7,9.0,18.0,27.0,9.0,2.0,2.0,7.0,16.0,37.7,10.3,3.2,0.5,1.6,16,71.0,8.9,4.2,8,2.7,3,0,133.3,3.0,3,-0.5,-2.79,2.3,3.3,3.6,15.0,12.0,80,6.0,1.0,16.7,0.0,0.0,0,5.0,0.0,4.0,2.0,0.0,1.0,5.0,9.0,13.0
PS Karlsruhe LIONS,Lynval William Alexander Ellis,1,Lynval William Alexander Ellis,8,13.7,109.9,52.0,6.5,14.0,52.0,26.9,7.0,21.0,33.3,17.0,20.0,85,6.0,8.0,14.0,12.0,2.0,0.0,10.0,15.0,62.2,29.8,2.4,0.6,0.7,26,78.0,9.8,3.7,0,0.0,1,0,0.0,2.0,1,-7.12,-6.65,-0.48,2.7,3.6,19.0,4.0,21.1,12.0,3.0,25,0.0,0.0,0,3.0,2.0,6.0,3.0,0.0,1.0,4.0,9.0,4.0
RheinStars Köln,Laurent Raphael Zoccoletti,12,Laurent Raphael Zoccoletti,8,13.2,105.7,27.0,3.4,12.0,24.0,50,1.0,8.0,12.5,2.0,4.0,50,10.0,17.0,27.0,4.0,6.0,3.0,7.0,18.0,21.8,10.9,1.3,0.2,1.3,11,38.0,4.8,1.9,0,0,0,0,0,0.0,0,-2.0,-5.62,3.63,4.2,4.3,16.0,11.0,68.8,0.0,0.0,0,0.0,0.0,0,5.0,0.0,0.0,3.0,0.0,3.0,7.0,6.0,9.0
Paderborn Baskets,Basla Veljic,18,Balsa Veljic; Basla Veljic,8,8.5,68.1,20.0,2.5,6.0,25.0,24,4.0,16.0,25,4.0,4.0,100,0.0,4.0,4.0,8.0,6.0,0.0,4.0,8.0,29.5,23.1,1.0,0.4,0.2,16,36.0,4.5,1.8,0,0.0,1,0,0.0,1.0,1,-4.28,-7.16,2.88,1.5,4.0,1.0,0.0,0,8.0,2.0,25,0.0,0.0,0,0.0,2.0,2.0,0.0,0.0,1.0,7.0,0.0,5.0
BBC Bayreuth,Leo Friedlein,20,Leo Friedlein,8,0.3,2.5,4.0,0.5,2.0,3.0,66.7,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,58.5,0.2,0.0,0.0,0,4.0,0.5,0.2,0,0,0,0,0,0.0,0,15.69,12.77,2.92,3.0,3.7,2.0,2.0,100,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bozic Estriche Knights Kirchheim,Alexander Stief,14,Alexander Stief,8,0.2,1.4,3.0,0.4,1.0,1.0,100,0.0,0.0,0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,53.5,0.1,0.0,0.0,0,3.0,0.4,0.1,0,0,0,0,0,0.0,0,49.27,35.62,13.66,3.0,3.5,1.0,1.0,100,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
BBC Bayreuth,Chris Würmseher,44,Chris Würmseher,8,3.3,26.1,3.0,0.4,1.0,4.0,25,0.0,1.0,0,1.0,4.0,25,0.0,3.0,3.0,0.0,0.0,0.0,2.0,7.0,7.4,14.8,0.1,0.0,0.1,0,3.0,0.4,0.1,0,0,0,0,0,0.0,0,-16.76,-17.27,0.51,3.3,4.7,2.0,1.0,50,1.0,0.0,0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
HAKRO Merlins Crailsheim,Jaden Brown,19,Jaden Brown,8,0.2,1.6,0.0,0.0,0.0,1.0,0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-31.76,-23.73,-8.03,3.0,4.1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBB Baskets,Travis Henson,2,Travis Henson,7,24.2,169.2,80.0,11.4,25.0,62.0,40.3,9.0,32.0,28.1,21.0,24.0,87.5,5.0,17.0,22.0,5.0,5.0,5.0,3.0,11.0,67.7,21.0,4.7,0.3,1.3,11,91.0,13.0,5.4,11,5.5,9,6,47.3,12.6,2,1.41,-1.37,2.78,3.4,3.7,16.0,12.0,75,14.0,4.0,28.6,0.0,0.0,0,4.0,1.0,1.0,1.0,0.0,0.0,11.0,15.0,13.0
