Canonical,Team,Numbers,Variations
Nil Failenschmid Clavera,Bozic Estriche Knights Kirchheim,15,Nil Failenschmid Clavera
Aeneas Jung,Bozic Estriche Knights Kirchheim,19,Aeneas Jung
Nicolas Bretzel,Bozic Estriche Knights Kirchheim,21,Nicolas Bretzel
Daniel Alexander Norl,GIESSEN 46ers,1,Daniel Alexander Norl
Aiden Warnholtz,GIESSEN 46ers,3,Aiden Warnholtz
Kyle Anthony Castlin,GIESSEN 46ers,7,Kyle Anthony Castlin
Robin Benzing,GIESSEN 46ers,12,Robin Benzing
Jonathan Maier,GIESSEN 46ers,13,Jonathan Maier
Luis Elias König Figge,GIESSEN 46ers,14,Luis Elias König Figge
Domagoj Vukovic,GIESSEN 46ers,17,Domagoj Vukovic
Till Gloger,GIESSEN 46ers,18,Till Gloger
Martin Junakovic,GIESSEN 46ers,22,Martin Junakovic
Roland L'Amour Nyama,GIESSEN 46ers,24,Roland L'Amour Nyama
Simon Krajcovic,GIESSEN 46ers,55,Simon Krajcovic
Bernard Joel Pelote III,Tigers Tübingen,1,Bernard Joel Pelote III
Miles Lamar Tention,Tigers Tübingen,3,Miles Lamar Tention
Kaya Kaan Hakan Bayram,Tigers Tübingen,5,Kaya Kaan Hakan Bayram
Silas Kaan Osezua Oriane,Tigers Tübingen,7,Silas Kaan Osezua Oriane
Felix Per Edwardsson,Tigers Tübingen,8,Felix Per Edwardsson
Isaiah Jevon Sanders,Tigers Tübingen,10,Isaiah Jevon Sanders
Lukas Max Milner,Tigers Tübingen,17,Lukas Max Milner
Melkisedek Kwaku Moreaux,Tigers Tübingen,23,Melkisedek Kwaku Moreaux
JaCobi Allen Wood,Tigers Tübingen,24,JaCobi Allen Wood
Till-Joscha Jönke,Tigers Tübingen,26,Till-Joscha Jönke
Cameron Robert Parker,Nürnberg Falcons BC,1,Cameron Robert Parker
Joscha Eckert,Nürnberg Falcons BC,4,Joscha Eckert
Tim Köpple,Nürnberg Falcons BC,5,Tim Köpple
Christian Feneberg,Nürnberg Falcons BC,7,Christian Feneberg
Evan Derek Taylor,Nürnberg Falcons BC,10,Evan Derek Taylor
Julius Wolf,Nürnberg Falcons BC,16,Julius Wolf
Trevor James Baskin,Nürnberg Falcons BC,22,Trevor James Baskin
Tom Stoiber,Nürnberg Falcons BC,28,Tom Stoiber
Vincent Friederici,Nürnberg Falcons BC,30,Vincent Friederici
Brandton Dean Chatfield,Nürnberg Falcons BC,33,Brandton Dean Chatfield
Lars Lagerpusch,Nürnberg Falcons BC,44,Lars Lagerpusch
Branden Michael Maughmer,Paderborn Baskets,2,Branden Michael Maughmer
Erik Larsen,Paderborn Baskets,4,Erik Larsen
Matej Silic,Paderborn Baskets,5,Matej Silic
Grant Teichmann,Paderborn Baskets,6,Grant Teichmann
Tom Brüggemann,Paderborn Baskets,7,Tom Brüggemann
