Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
Donar Groningen,"Austin LUKE, Damian FORREST, Evan TAYLOR, Tim HOEVE, Wietze NOSSEK",Union Mons-Hainaut,"Greg MILTON III, Lual DIING, Maks KLANJSCEK, Malik WHITAKER, Matic MIKUS",1,81,1.4,2.5,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,2,1,2,50,0,0,0,0,0,0,0,2,2,0,0,0,1,0,2.0,3.0,0,66.7,-66.7,66.7,0,66.7,-2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PrismaWorx BAL,"Kara SENE, Milo HAUTEKEET, Roel VAN OVERBEEK, Romano SIBILO, Ryan MUHR",Okapi Aalst,"Dante Jr MADDOX, Eddie COLBERT III, Jasper UNAL, Joseph ERUKA, Siebe LEDEGEN",1,85,1.4,2.4,2,1,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,2,2,100,2,2,100,1,2,50,1,1,2,2,0,0,0,0,2.0,2.9,100,243.1,-143.1,243.1,100,143.1,-5,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrismaWorx BAL,"Kara SENE, Lon LICAN, Milo HAUTEKEET, Roel VAN OVERBEEK, Ryan MUHR",Okapi Aalst,"Eddie COLBERT III, Jasper UNAL, Joseph ERUKA, Malcolm CARREIRA KREPS, Niels VAN DEN EYNDE",1,47,0.8,2.4,2,0,2,0,0,0,0,2,2,100,0,1,1,0,0,0,0,0,2,1,2,50,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2.9,2.0,69.4,100,-30.6,100,69.4,30.6,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
PrismaWorx BAL,"Kenyuoe ONDAAN, Kjell DE GRAAF, Lon LICAN, Niels VAN HOLST, Romano SIBILO",Okapi Aalst,"Dante Jr MADDOX, Eddie COLBERT III, Mattias PALINCKX, Niels VAN DEN EYNDE, Siebe LEDEGEN",1,66,1.1,2.4,4,1,3,33.3,1,3,33.3,1,2,50,1,0,1,0,0,0,0,0,2,1,1,100,0,0,0,0,0,0,0,1,1,0,0,0,1,2,2.8,2.0,142.3,100,42.3,100,142.3,-42.3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Val-Dieu Spirou Basket,"Dontrez STYLES, Enoch BOAKYE, Eric NOTTAGE, Maxime BILOLO KATUALA, Zeb JACKSON",Brussels Basketball,"Alexandre LIBERT, Deishuan BOOKER, Demetric HORTON, Godwin TSHIMANGA, Tonko VUKO",1,92,1.5,2.4,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,4,1,3,33.3,1,3,33.3,1,2,50,1,2,3,1,0,0,0,0,2.0,2.8,0,142.3,-142.3,142.3,0,142.3,-4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Donar Groningen,"Austin LUKE, Dane ERIKSTRUP, Dele ADETUNJI, Evan TAYLOR, Wietze NOSSEK",Union Mons-Hainaut,"Fortune KATIKI, Greg MILTON III, Lual DIING, Maks KLANJSCEK, Malik WHITAKER",1,101,1.7,2.4,4,2,2,100,0,0,0,0,0,0,0,1,1,2,0,0,0,1,5,1,2,50,1,2,50,2,2,100,0,0,0,1,0,0,0,0,2.0,2.9,200,173.6,26.4,173.6,200,-26.4,-1,0,0,0,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donar Groningen,"Dane ERIKSTRUP, Dele ADETUNJI, Evan TAYLOR, Tim HOEVE, Wietze NOSSEK",Union Mons-Hainaut,"Fortune KATIKI, Greg MILTON III, Lual DIING, Maks KLANJSCEK, Malik WHITAKER",1,89,1.5,2.4,3,1,2,50,0,0,0,1,2,50,1,0,1,0,0,0,1,0,2,1,1,100,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2.8,2.0,106.8,100,6.8,100,106.8,-6.8,1,1,1,100,1,0,0,0,0,0,0,0,0,1,1,100,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,2,2
Donar Groningen,"Austin LUKE, Damian FORREST, Dane ERIKSTRUP, Dele ADETUNJI, Tim HOEVE",Union Mons-Hainaut,"Greg MILTON III, Maks KLANJSCEK, Malik WHITAKER, Matic MIKUS, Matteo VERSTRAETE",1,78,1.3,2.3,3,1,2,50,0,0,0,1,2,50,1,1,2,0,0,0,0,1,4,1,2,50,0,0,0,2,2,100,0,0,0,0,0,0,0,1,1.8,2.9,165.7,138.9,26.9,138.9,165.7,-26.9,-1,1,1,100,1,0,0,0,0,0,0,0,0,2,1,50,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
Hubo Limburg United,"Jalen BLACKMON, Nicolas TIMBERLAKE, Noah BAUMANN, Quentin SERRON, Thibault VANDERHAEGEN",Den Helder Suns,"Bryan ANTOINE, Carter GILMORE, Drew STOVER, Nick THRAN, Siem UIJTENDAAL",1,46,0.8,2.2,2,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,1,1,5,2,2,100,0,0,0,1,1,100,0,0,0,1,1,0,0,1,1.9,2.4,106.4,204.9,-98.5,204.9,106.4,98.5,-3,0,0,0,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2
PrismaWorx BAL,"Kara SENE, Kjell DE GRAAF, Lon LICAN, Niels VAN HOLST, Roel VAN OVERBEEK",Okapi Aalst,"Eddie COLBERT III, Ivan MARAS, Malcolm CARREIRA KREPS, Niels VAN DEN EYNDE, Siebe LEDEGEN",1,60,1.0,2.2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,3,1,2,50,0,0,0,1,1,100,0,1,1,0,1,0,0,1,2.0,2.4,0,123,-123,123,0,123,-3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
Filou Oostende,"Andre GUSTAVSON, Haris BRATANOVIC, Noam YAACOV, Pierre-Antoine GILLET, Simon BUYSSE",Rotterdam City Basketball,"Chermano VAN LA PARRA, Chukwuzinife NWOKEJI, Jakari SPENCE, James GRAHAM, Tydus VERHOEVEN",1,43,0.7,2.2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,3,66.7,0,2,2,0,0,1,1,0,2.0,2.3,0,86.2,-86.2,86.2,0,86.2,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
