Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Borås Basket,"Ali Sow, Justin Vander Baan, Oskar Palmquist, AJ Clayton, John Brändmark",10,2654,98,34,72,47.2,17,41,41.5,13,16,81.2,6,41,47,19,7,6,14,0,81,78,78.2,77.8,30.7,30.9,59,62,55.9,16.2,75.9,12.5,22.2,56.9,113.4,87,34,85,40,10,36,27.8,9,14,64.3,13,31,44,21,8,2,8,0,81,45.9,47.7,8.1,24.1,42.4,101.1,12.2,13,8,61.5,0,0,0,0,0,0,5,5,1,3,8,6,75,0,0,0,0,0,0,6,2,0,0
Borås Basket,"KJ Jenkins, Ali Sow, Justin Vander Baan, Oskar Palmquist, AJ Clayton",11,3122,75,29,84,34.5,8,47,17,9,13,69.2,12,45,57,17,4,7,10,0,75,65.9,66.8,65,35.9,36.9,39.3,41.8,58.6,21.8,73.8,8.6,15.5,56,86.3,84,28,88,31.8,15,36,41.7,13,19,68.4,16,43,59,19,5,3,5,0,73,40.3,43.6,4.9,26.2,40.9,99.4,-13.1,3,3,100,0,0,0,0,0,0,6,2,1,1,7,0,0,0,0,0,0,0,0,3,0,0,2
Södertälje BBK,"Zaccharie Mortant, Mason Daniel Madsen, Ayanfeoluwa Amoran, Ibrahim Magassa, Nicholas Spires",7,3252,123,39,83,47,10,34,29.4,35,41,85.4,12,30,42,19,15,3,13,0,74,74.4,75.7,73.2,31.7,32.8,53,60.9,48.7,24.5,76.9,9.8,49.4,41,120,101,34,72,47.2,15,31,48.4,18,24,75,9,37,46,24,6,3,26,0,91,57.6,61.2,23.9,23.1,43.1,101.8,18.1,32,22,68.8,0,0,0,0,0,0,5,2,1,5,22,15,68.2,0,0,0,0,0,0,13,4,2,7
BC Luleå,"Tobias Sjöberg, Felix Broström, Elliot Broström, Caleb McGill, Gustav Hansson, Gustav Hansson",9,2613,78,29,65,44.6,12,36,33.3,8,12,66.7,10,34,44,19,6,5,21,0,73,74,74.8,73.2,32.1,32.8,53.8,55.5,65.5,25.6,68,19,18.5,55.4,95.8,76,32,81,39.5,7,34,20.6,5,8,62.5,16,29,45,20,13,2,12,0,72,43.8,45,12.4,32,42,95.3,0.5,22,14,63.6,1,0,0,0,0,0,8,6,0,7,35,21,60,0,0,0,0,0,0,6,4,1,1
Norrköping Dolphins,"Pierre Hampton, Hugo Bergström, Ben Middlebrooks, Zach Harvey, Nathan Dawit",11,2549,82,33,79,41.8,10,33,30.3,6,11,54.5,16,19,35,16,6,2,11,0,72,73.6,73.5,73.7,32.6,32.6,48.1,48.9,48.5,34,73.1,9.9,13.9,41.8,105,107,35,60,58.3,13,25,52,24,26,92.3,7,31,38,21,5,6,14,0,78,69.2,74.9,16.4,26.9,41.7,136.8,-31.7,29,14,48.3,1,1,100,0,0,0,3,2,0,6,24,19,79.2,0,0,0,0,0,0,5,1,0,8
Södertälje BBK,"Zaccharie Mortant, Mason Daniel Madsen, Ibrahim Magassa, Nicholas Spires, Oliver Gehrke",7,2454,88,35,66,53,10,21,47.6,8,10,80,10,22,32,18,6,5,11,0,70,67,68.8,65.3,34.9,36.8,60.6,62.5,51.4,33.3,62.9,11.1,15.2,31.8,125.1,83,31,63,49.2,7,19,36.8,14,17,82.4,13,20,33,13,6,3,9,0,61,54.8,58.9,11.3,37.1,30.2,124.3,0.8,30,16,53.3,0,0,0,0,0,0,4,4,0,3,23,14,60.9,0,0,0,0,0,0,2,3,0,4
Uppsala Basket,"Niklas Larsson, Henrik Jädersten, Peter Stümer, Lukas Friberg, Melker Delryd",11,2590,109,34,79,43,18,42,42.9,23,28,82.1,20,24,44,20,5,1,10,0,68,75,74.9,75,32.0,32.0,54.4,59.7,58.8,42.6,63.2,8.2,35.4,53.2,134.8,96,37,69,53.6,6,20,30,16,24,66.7,14,27,41,23,5,1,14,0,68,58,60.3,15,36.8,29,118.6,16.3,13,7,53.8,0,0,0,1,1,100,1,5,1,3,31,18,58.1,0,0,0,0,0,0,4,3,1,6
Högsbo Basket,"Amen Jenkins Cheeseman, Tony Vitali, Jonathan Peleg, Anes Zekovic, Alexander Karras",8,2591,102,36,76,47.4,9,29,31,21,27,77.8,12,34,46,23,4,6,6,0,67,77.8,75.9,79.7,31.6,30.1,53.3,58,63.9,27.9,75.6,5.1,35.5,38.2,124.5,85,32,70,45.7,8,27,29.6,13,25,52,11,31,42,19,5,3,15,0,69,51.4,52.5,15.6,24.4,38.6,98.8,25.7,27,17,63,1,0,0,0,0,0,1,5,0,0,28,18,64.3,0,0,0,0,0,0,4,2,0,9
Norrköping Dolphins,"Hugo Bergström, Dallion Johnson, Ben Middlebrooks, Ryker Cisarik, Zach Harvey",8,2491,99,35,82,42.7,14,37,37.8,15,18,83.3,18,33,51,22,7,2,9,0,67,76.5,77.1,75.9,31.1,31.6,51.2,55,62.9,37.5,67.3,7.4,22,45.1,123.7,70,26,76,34.2,9,33,27.3,9,12,75,16,30,46,13,5,6,15,0,62,40.1,43.1,15.6,32.7,43.4,88.8,34.8,31,19,61.3,0,0,0,0,0,0,4,1,1,3,28,13,46.4,0,0,0,0,0,0,7,1,1,6
Sloga Uppsala,"Axel Nordström, Richie Springs, Marko Dujkovic, Milutin Vujicic, Markeith Browning II",6,2516,97,34,64,53.1,9,17,52.9,20,29,69,11,27,38,17,3,6,16,0,67,78.3,78.9,77.6,30.4,30.9,60.2,63.2,50,31.4,62.8,14.6,45.3,26.6,117.3,103,40,81,49.4,14,35,40,9,13,69.2,16,24,40,21,9,1,11,0,62,58,59.4,11.3,37.2,43.2,126.5,-9.2,32,16,50,2,1,50,1,1,100,7,2,1,6,30,15,50,0,0,0,0,0,0,4,1,0,6
