Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Derby Trailblazers,S. Walker,3,S. Walker,19,24.2,460.0,279.0,14.7,118.0,201.0,58.7,10.0,31.0,32.3,33.0,50.0,66,53.0,101.0,154.0,44.0,6.0,14.0,39.0,44.0,200.6,22.5,31.3,4.9,17.3,7,286.0,15.1,32.1,41,3.7,23,8,77.3,31.5,11,3.24,0.09,3.14,5.0,2.1,155.0,105.0,67.7,15.0,3.0,20,31.0,10.0,32.3,9.0,23.0,0.0,7.0,76.0,35.0,47.0
Worthing Thunder,A. Scarborough,4,A. Scarborough,19,24.4,462.8,271.0,14.3,113.0,201.0,56.2,9.0,29.0,31,36.0,76.0,47.4,54.0,84.0,138.0,18.0,25.0,4.0,22.0,40.0,194.3,20.5,28.7,1.9,14.6,0,271.0,14.3,28.7,12,1.7,12,6,41.0,15.6,7,3.52,-0.34,3.86,4.3,2.5,150.0,96.0,64,20.0,6.0,30,29.0,9.0,31,2.0,11.0,0.0,9.0,57.0,80.0,74.0
London Cavaliers,M. Beasley,15,M. Beasley,19,30.4,577.0,261.0,13.7,106.0,238.0,44.5,31.0,103.0,30.1,18.0,38.0,47.4,49.0,67.0,116.0,31.0,27.0,16.0,42.0,45.0,237.8,21.4,23.6,2.8,10.5,0,261.0,13.7,23.6,14,4.7,9,0,77.8,11.0,3,1.16,-1.93,3.1,3.3,3.7,101.0,64.0,63.4,33.0,10.0,30.3,103.0,31.0,30.1,14.0,15.0,0.0,13.0,57.0,84.0,54.0
Milton Keynes Breakers,C. Thompson,10/8,C. Thompson,19,26.2,498.4,260.0,13.7,92.0,216.0,42.6,40.0,111.0,36,36.0,59.0,61,30.0,63.0,93.0,31.0,18.0,2.0,14.0,48.0,216.9,22.4,27.0,3.2,9.7,2,262.0,13.8,27.2,31,6.2,18,8,72.0,22.5,5,3.36,-1.72,5.08,3.2,3.4,72.0,38.0,52.8,32.0,13.0,40.6,111.0,40.0,36,2.0,4.0,0.0,8.0,46.0,75.0,72.0
Derby Trailblazers,R. May-Thompson,7,R. May-Thompson,19,28.2,534.9,258.0,13.6,99.0,195.0,50.8,23.0,66.0,34.8,37.0,53.0,69.8,16.0,94.0,110.0,35.0,21.0,30.0,16.0,41.0,209.6,20.2,24.9,3.4,10.6,2,260.0,13.7,25.1,23,3.3,15,8,62.1,19.5,7,3.96,-0.91,4.88,4.3,3.2,64.0,42.0,65.6,65.0,34.0,52.3,66.0,23.0,34.8,7.0,6.0,0.0,3.0,32.0,63.0,50.0
Reading Rockets,M. Bryant,10,M. Bryant,19,27.8,527.7,252.0,13.3,103.0,186.0,55.4,6.0,26.0,23.1,40.0,53.0,75.5,22.0,63.0,85.0,53.0,28.0,2.0,35.0,38.0,213.4,21.4,25.2,5.3,8.5,6,258.0,13.6,25.8,17,2.8,10,5,69.7,13.2,6,4.58,-1.8,6.38,2.7,2.6,126.0,82.0,65.1,32.0,13.0,40.6,26.0,6.0,23.1,11.0,13.0,0.0,11.0,29.0,86.0,51.0
Yorkshire Dragons,D. Ulph,10,D. Ulph,19,34.7,658.6,248.0,13.1,112.0,178.0,62.9,0.0,3.0,0,24.0,57.0,42.1,92.0,173.0,265.0,44.0,21.0,12.0,27.0,31.0,132.6,10.0,18.6,3.3,19.9,7,255.0,13.4,19.2,11,2.2,5,8,64.6,8.5,5,3.76,0.13,3.63,5.0,3.2,157.0,107.0,68.2,18.0,5.0,27.8,3.0,0.0,0,14.0,8.0,0.0,5.0,88.0,38.0,59.0
Hemel Storm,M. Norman,2,M. Norman,19,25.3,480.5,242.0,12.7,87.0,191.0,45.5,39.0,112.0,34.8,29.0,31.0,93.5,8.0,47.0,55.0,28.0,14.0,4.0,28.0,34.0,215.7,21.9,24.4,2.8,5.6,0,242.0,12.7,24.4,11,2.2,11,1,48.1,11.4,5,-0.17,-1.78,1.61,2.9,3.3,57.0,39.0,68.4,21.0,8.0,38.1,112.0,39.0,34.8,9.0,14.0,0.0,5.0,20.0,101.0,48.0
Birmingham Rockets,L. Mcgregor,6,L. Mcgregor,19,31.7,602.3,228.0,12.0,80.0,201.0,39.8,24.0,90.0,26.7,44.0,69.0,63.8,30.0,56.0,86.0,93.0,37.0,4.0,38.0,41.0,229.8,19.2,19.0,7.8,7.2,13,241.0,12.7,20.1,21,2.3,21,12,40.0,30.3,9,2.94,-3.32,6.27,2.0,3.1,94.0,53.0,56.4,17.0,3.0,17.6,90.0,24.0,26.7,23.0,9.0,0.0,6.0,26.0,105.0,58.0
Derby Trailblazers,C. Washington,13,C. Washington,19,30.5,580.1,217.0,11.4,69.0,169.0,40.8,49.0,122.0,40.2,30.0,38.0,78.9,7.0,35.0,42.0,56.0,11.0,1.0,36.0,26.0,206.1,18.3,19.3,5.0,3.7,4,221.0,11.6,19.6,2,0.4,7,3,12.0,10.3,5,-1.82,-2.62,0.8,2.1,3.3,27.0,14.0,51.9,20.0,6.0,30,122.0,49.0,40.2,15.0,12.0,0.0,9.0,20.0,43.0,31.0
London Cavaliers,M. Collins,13,M. Collins,19,31.1,591.1,200.0,10.5,84.0,151.0,55.6,2.0,8.0,25,30.0,58.0,51.7,73.0,114.0,187.0,18.0,11.0,12.0,24.0,58.0,122.4,10.8,17.6,1.6,16.5,2,202.0,10.6,17.8,14,2.3,6,7,77.1,9.1,6,0.13,-2.17,2.31,4.8,4.1,135.0,79.0,58.5,8.0,3.0,37.5,8.0,2.0,25,8.0,7.0,0.0,9.0,75.0,22.0,26.0
Nottingham Hoods,E. Bailey,6,E. Bailey,19,28.5,540.9,180.0,9.5,66.0,154.0,42.9,24.0,77.0,31.2,24.0,36.0,66.7,25.0,60.0,85.0,15.0,14.0,6.0,22.0,64.0,160.2,15.2,17.0,1.4,8.0,3,183.0,9.6,17.3,7,1.8,8,2,39.4,9.9,4,-3.32,-5.94,2.62,3.8,4.3,57.0,36.0,63.2,20.0,6.0,30,77.0,24.0,31.2,9.0,9.0,0.0,4.0,30.0,45.0,40.0
Hemel Storm,K. Walker,11,K. Walker,19,22.1,419.0,169.0,8.9,73.0,134.0,54.5,7.0,20.0,35,16.0,32.0,50,26.0,85.0,111.0,25.0,25.0,1.0,30.0,33.0,146.0,17.0,19.6,2.9,12.9,4,173.0,9.1,20.0,18,3.6,11,6,66.0,14.6,5,0.01,-3.47,3.48,3.6,3.8,105.0,65.0,61.9,9.0,1.0,11.1,20.0,7.0,35,7.0,14.0,1.0,8.0,26.0,54.0,35.0
Hemel Storm,V. Eze,21,V. Eze,19,19.3,366.6,160.0,8.4,64.0,117.0,54.7,8.0,32.0,25,24.0,36.0,66.7,29.0,36.0,65.0,18.0,4.0,8.0,21.0,21.0,119.8,16.0,21.2,2.4,8.6,2,162.0,8.5,21.4,6,1.2,7,4,34.2,8.8,5,-0.75,-1.99,1.23,3.9,3.6,80.0,53.0,66.2,5.0,3.0,60,32.0,8.0,25,5.0,11.0,1.0,4.0,38.0,59.0,17.0
Yorkshire Dragons,L. Rooney,14/3,L. Rooney,19,18.0,341.3,157.0,8.3,57.0,133.0,42.9,20.0,60.0,33.3,23.0,38.0,60.5,15.0,41.0,56.0,20.0,14.0,4.0,21.0,40.0,149.5,21.7,22.8,2.9,8.1,0,157.0,8.3,22.8,6,2.0,6,3,41.0,8.3,3,-1.06,-4.27,3.21,3.2,3.6,58.0,31.0,53.4,15.0,6.0,40,60.0,20.0,33.3,8.0,11.0,0.0,2.0,15.0,73.0,37.0
Derby Trailblazers,R. Marsden,30,R. Marsden,19,19.9,378.9,130.0,6.8,57.0,115.0,49.6,0.0,1.0,0,16.0,25.0,64,26.0,84.0,110.0,30.0,8.0,3.0,24.0,28.0,119.0,16.2,17.7,4.1,15.0,6,136.0,7.2,18.5,6,1.5,5,0,60.0,8.0,4,-2.67,-5.1,2.43,4.3,4.0,80.0,48.0,60,34.0,9.0,26.5,1.0,0.0,0,8.0,11.0,1.0,4.0,17.0,18.0,13.0
Hemel Storm,S. Newman,4,S. Newman,19,34.3,651.8,129.0,6.8,45.0,117.0,38.5,30.0,87.0,34.5,9.0,9.0,100,10.0,73.0,83.0,208.0,40.0,6.0,81.0,32.0,184.3,13.8,9.6,15.5,6.2,18,147.0,7.7,10.9,5,1.7,5,0,50.0,10.0,3,0.93,-1.57,2.5,1.0,1.8,21.0,12.0,57.1,9.0,3.0,33.3,87.0,30.0,34.5,54.0,19.0,0.0,8.0,5.0,34.0,32.0
Worthing Thunder,D. Evans,0,D. Evans,19,20.0,379.2,126.0,6.6,47.0,131.0,35.9,12.0,66.0,18.2,20.0,34.0,58.8,18.0,48.0,66.0,40.0,25.0,7.0,19.0,34.0,141.1,18.1,16.3,5.2,8.5,11,137.0,7.2,17.7,13,2.6,9,6,55.8,11.6,5,-0.29,-5.37,5.09,2.9,3.4,49.0,31.0,63.3,15.0,4.0,26.7,66.0,12.0,18.2,7.0,9.0,0.0,3.0,19.0,56.0,35.0
Milton Keynes Breakers,M. New Jr.,15,M. New Jr.,19,17.8,339.1,111.0,5.8,40.0,81.0,49.4,18.0,35.0,51.4,13.0,15.0,86.7,11.0,57.0,68.0,25.0,12.0,4.0,15.0,24.0,87.9,13.3,16.9,3.8,10.4,3,114.0,6.0,17.4,8,1.6,5,1,73.5,7.4,5,3.86,-3.07,6.92,3.4,3.5,28.0,15.0,53.6,18.0,7.0,38.9,35.0,18.0,51.4,8.0,7.0,0.0,0.0,20.0,12.0,23.0
Hemel Storm,J. Burnell,7,J. Burnell,19,13.6,259.2,91.0,4.8,32.0,88.0,36.4,25.0,74.0,33.8,2.0,4.0,50,4.0,14.0,18.0,7.0,4.0,2.0,7.0,22.0,89.0,16.8,17.0,1.3,3.4,0,91.0,4.8,17.0,3,1.5,2,0,75.0,3.0,2,-3.54,-3.88,0.34,2.9,4.7,12.0,6.0,50,2.0,1.0,50,74.0,25.0,33.8,2.0,1.0,0.0,4.0,15.0,36.0,13.0
Hemel Storm,D. Parkinson,23,D. Parkinson,19,10.0,190.2,91.0,4.8,28.0,67.0,41.8,12.0,35.0,34.3,23.0,23.0,100,5.0,14.0,19.0,16.0,11.0,0.0,21.0,31.0,89.4,22.9,23.2,4.1,4.8,3,94.0,4.9,24.0,2,1.0,2,0,50.0,2.0,2,-2.74,-5.16,2.42,2.3,3.3,24.0,15.0,62.5,8.0,1.0,12.5,35.0,12.0,34.3,11.0,5.0,1.0,4.0,7.0,42.0,12.0
Milton Keynes Breakers,L. Gregory,13,L. Gregory,19,11.6,220.3,81.0,4.3,40.0,64.0,62.5,0.0,1.0,0,1.0,9.0,11.1,28.0,34.0,62.0,15.0,9.0,6.0,16.0,36.0,53.7,12.5,19.0,3.5,14.6,0,81.0,4.3,19.0,0,0,0,0,0,0.0,0,1.44,-5.19,6.63,4.4,3.6,59.0,40.0,67.8,4.0,0.0,0,1.0,0.0,0,7.0,7.0,0.0,2.0,19.0,10.0,12.0
Derby Trailblazers,C. Burr,0,C. Burr,19,11.4,217.2,80.0,4.2,33.0,69.0,47.8,11.0,26.0,42.3,3.0,6.0,50,12.0,30.0,42.0,21.0,10.0,2.0,9.0,16.0,65.9,15.7,19.0,5.0,10.0,3,83.0,4.4,19.7,0,0.0,3,0,0.0,3.0,2,1.52,-2.11,3.63,3.0,3.5,32.0,19.0,59.4,11.0,3.0,27.3,26.0,11.0,42.3,3.0,3.0,0.0,3.0,17.0,23.0,17.0
Loughborough Riders,C. Keys,8,C. Keys,19,12.8,243.2,77.0,4.1,32.0,70.0,45.7,9.0,32.0,28.1,4.0,6.0,66.7,8.0,12.0,20.0,12.0,7.0,2.0,11.0,22.0,72.6,15.2,16.1,2.5,4.2,0,77.0,4.1,16.1,0,0,0,0,0,0.0,0,-4.54,-5.98,1.44,2.6,3.9,33.0,21.0,63.6,5.0,2.0,40,32.0,9.0,28.1,3.0,6.0,0.0,2.0,6.0,36.0,16.0
