Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Bristol Hurricanes,8,K. Asomani,,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yorkshire Dragons,11,A. Lycoudis,,16,12.5,200.4,39,2.4,15,55,27.3,7,33,21.2,2,2,100.0,5,27,32,33,15,5,27,14,33.6,34.9,17.2,47.1,2.9,2.5,2.4,13.0,7.7,22.7,3.6,2.3,32.6,0.04,-0.17,-1.76,1.58,13,6,46.2,9,2,22.2,33,7,21.2,20,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Essex Rebels,1,M. Amako,,17,14.1,238.9,102,6.0,39,95,41.1,7,35,20.0,17,29,58.6,21,26,47,13,12,8,23,29,44.7,47.3,22.8,78.0,7.2,2.5,8.2,10.3,9.3,8.9,2.4,2.9,17.6,0.31,-0.19,-0.53,0.34,55,32,58.2,3,0,0,35,7,20,6,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Worthing Thunder,23,T. Mcindoe,,9,7.5,67.3,17,1.9,7,15,46.7,1,2,50.0,2,2,100.0,15,16,31,5,1,0,4,10,50.0,53.5,11.8,85.5,2.2,0.3,18.8,21.7,20.2,9.8,0.7,0.0,20.1,0.13,-0.32,-1.37,1.05,10,3,30,3,3,100,2,1,50,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemel Storm,23,D. Parkinson,,18,10.6,190.2,91,5.1,28,67,41.8,12,35,34.3,23,23,100.0,5,14,19,16,11,0,21,31,50.7,59.0,21.6,92.7,6.0,2.3,2.8,6.7,4.9,11.6,2.7,0.0,21.4,0.34,-0.46,-0.72,0.26,24,15,62.5,8,1,12.5,35,12,34.3,11,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle Knights,9,M. Felletti-O'donnell,,2,5.6,11.1,3,1.5,1,5,20.0,1,5,20.0,0,0,0,0,1,1,0,0,0,0,2,30.0,30.0,19.3,60.0,1.7,2.8,0.0,9.6,4.7,0.0,0.0,0.0,0.0,0.0,-0.52,0.58,-1.1,0,0,0,0,0,0,5,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nottingham Hoods,5,A. Sandu-Nelson,,17,1.9,32.4,11,0.6,4,6,66.7,3,4,75.0,0,0,0,0,1,1,1,2,0,0,0,91.7,91.7,8.0,183.3,0.8,0.3,0.0,3.3,1.6,4.7,3.0,0.0,0.0,0.0,-0.66,-1.2,0.54,1,0,0,1,1,100,4,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemel Storm,7,J. Burnell,,18,13.6,245.4,88,4.9,31,85,36.5,24,71,33.8,2,4,50.0,4,14,18,6,4,2,7,22,50.6,50.7,16.0,93.9,5.8,4.7,1.7,5.2,3.6,3.3,0.8,0.7,7.5,0.05,-0.69,-0.24,-0.46,12,6,50,2,1,50,71,24,33.8,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
London Cavaliers,7,A. Pyne,,8,9.3,74.4,19,2.4,5,15,33.3,3,9,33.3,6,8,75.0,3,2,5,2,4,2,10,17,43.3,51.3,15.8,66.6,2.9,1.4,4.2,2.5,3.3,3.2,2.7,2.4,35.1,0.53,-0.73,-0.96,0.23,5,1,20,1,1,100,9,3,33.3,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Essex Rebels,9,T. Hudson,,19,16.0,303.1,88,4.6,36,76,47.4,0,1,0.0,16,36,44.4,28,37,65,17,7,3,18,42,47.4,47.9,15.1,80.1,5.5,0.1,8.6,11.5,10.1,8.6,1.1,0.9,16.4,0.47,-0.75,-0.88,0.13,63,32,50.8,12,4,33.3,1,0,0,2,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Derby Trailblazers,6,J. Lemon,,8,0.6,4.4,2,0.2,1,2,50.0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,50.0,50.0,19.9,100.0,0.3,0.2,0.0,0.0,0.0,35.2,0.0,0.0,0.0,0.0,-0.84,0.35,-1.19,0,0,0,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nottingham Hoods,11,S. Perry,,3,5.3,16.0,10,3.3,4,7,57.1,0,1,0.0,2,4,50.0,2,0,2,1,0,0,2,2,57.1,57.1,29.6,92.9,4.3,0.4,11.0,0.0,6.1,12.9,0.0,0.0,18.6,0.57,-0.86,-1.08,0.23,4,4,100,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nottingham Hoods,11,A. Thomson,,5,7.8,39.2,5,1.0,2,8,25.0,0,0,0,1,2,50.0,3,6,9,1,1,2,1,3,25.0,28.2,11.0,50.6,1.3,0.0,7.0,15.2,10.9,3.8,1.3,4.7,10.1,0.25,-0.88,-1.63,0.75,5,2,40,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nottingham Hoods,15,J. Griffith,,6,15.4,92.5,32,5.3,9,24,37.5,0,1,0.0,14,19,73.7,9,12,21,4,3,3,10,20,37.5,49.4,19.4,75.5,6.4,0.2,9.9,12.3,11.1,5.7,1.5,3.1,23.6,0.79,-0.91,-2.17,1.27,18,9,50,5,0,0,1,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Derby Trailblazers,5,G. Pastor,,10,0.1,1.2,0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,36.2,0.0,0.0,0.0,0.0,0.0,0.0,98.6,0.0,0.0,0.0,0.0,-0.99,0.23,-1.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Essex Rebels,36,H. Gent,,19,14.3,272.1,60,3.2,26,59,44.1,1,2,50.0,7,18,38.9,28,35,63,8,8,4,17,31,44.9,44.8,12.8,71.5,3.8,0.1,9.6,12.1,10.9,4.4,1.4,1.3,20.3,0.31,-1.09,-1.08,-0.01,53,24,45.3,4,1,25,2,1,50,1,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Essex Rebels,0,M. Wol-Cummings,,19,8.4,158.9,45,2.4,15,39,38.5,5,12,41.7,10,12,83.3,10,7,17,9,4,0,10,12,44.9,50.8,14.2,82.9,2.8,0.8,5.9,4.1,5.0,8.4,1.2,0.0,18.4,0.31,-1.1,-0.75,-0.35,23,10,43.5,4,0,0,12,5,41.7,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemel Storm,5,J. Rai,,16,6.2,99.6,41,2.6,18,32,56.2,3,10,30.0,2,4,50.0,3,16,19,10,4,0,13,11,60.9,60.7,19.7,87.7,3.0,0.7,3.2,14.8,9.4,14.8,1.9,0.0,27.8,0.12,-1.1,-0.99,-0.11,19,14,73.7,3,1,33.3,10,3,30,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Derby Trailblazers,14,E. Lawrence,,16,1.4,22.3,4,0.2,1,4,25.0,0,1,0.0,2,2,100.0,0,3,3,1,0,0,1,4,25.0,41.0,11.6,68.0,0.3,0.1,0.0,12.6,6.6,5.5,0.0,0.0,17.0,0.5,-1.12,0.08,-1.19,0,0,0,3,1,33.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Essex Rebels,20,A. Idiata-Mendez,,19,15.3,291.4,62,3.3,24,73,32.9,4,27,14.8,10,14,71.4,24,25,49,12,7,6,15,27,35.6,39.2,13.5,65.8,3.9,1.7,7.7,8.1,7.9,6.0,1.2,1.8,15.9,0.19,-1.21,-1.03,-0.18,45,19,42.2,1,1,100,27,4,14.8,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Nottingham Hoods,2,S. Jamison,,10,1.6,15.9,4,0.4,1,6,16.7,0,0,0,2,4,50.0,2,2,4,3,1,0,0,4,16.7,25.8,21.1,51.5,0.5,0.0,12.6,13.2,12.9,24.9,3.1,0.0,0.0,0.67,-1.23,-1.67,0.44,2,0,0,4,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
