Canonical,Team,Numbers,Variations
Simon Rentz,ETB Miners,14,Simon Rentz
Aula Maarufu Sumbry,RASTA Vechta II,0,Aula Maarufu Sumbry
Mathéo Hermann,LOK BERNAU,4,Mathéo Hermann
Vuk Scepanovic,Dragons Rhöndorf,7,Vuk Scepanovic
Player 3,TKS 49ers,3,Player 3
Michel Schillmöller,RASTA Vechta II,4,Michel Schillmöller
Joel Moketo Lungelu,RASTA Vechta II,55,Joel Moketo Lungelu
Martin Arnd Steen,Baskets Juniors TSG Westerstede,3,Martin Arnd Steen
Etinosasere Armstrong Ehioghae,RASTA Vechta II,17,Etinosasere Armstrong Ehioghae
Alan Chojnacki,RASTA Vechta II,13,Alan Chojnacki
Djordje Klaric,Baskets Juniors TSG Westerstede,11,Djordje Klaric
Shawn Anthony Scott II,LOK BERNAU,8,Shawn Anthony Scott II
Tim Ludwig,EN BASKETS Schwelm,11,Tim Ludwig
Kevin Smit,RASTA Vechta II,10,Kevin Smit
Samuel Mpacko,TSV Neustadt temps Shooters,37,Samuel Mpacko
Max Brackmann,TSV Neustadt temps Shooters,64,Max Brackmann
Tim Schneider,Iserlohn Kangaroos,17,Tim Schneider
Finn Stuehlmeyer,Baskets Juniors TSG Westerstede,15,Finn Stuehlmeyer; Player 15
Gustav Arthur Kringel,Seawolves Academy,31,Gustav Arthur Kringel
Jeremiah Kofi Osei,EN BASKETS Schwelm,18,Jeremiah Kofi Osei
Jannes Hundt,TKS 49ers,20,Jannes Hundt
Josh Behrendt,SC Rist Wedel,18/32,Josh Behrendt
Paul Mellentin,SC Rist Wedel,35,Paul Mellentin
Aurel Bucur,EN BASKETS Schwelm,6,Aurel Bucur
Esosa Kelvin Okundaye,Hertener Löwen,0/7,Esosa Kelvin Okundaye
Joshua Pettenò,Dragons Rhöndorf,21,Joshua Pettenò
Cem Emen,Dragons Rhöndorf,24,Cem Emen
Jonas Langermann,RASTA Vechta II,9,Jonas Langermann
Tyrese Steinig,SC Rist Wedel,19,Tyrese Steinig
Luca Hans-Peter Merkel,Itzehoe Eagles,43,Luca Hans-Peter Merkel
Robert Drijencic,Baskets Juniors TSG Westerstede,22,Robert Drijencic
Namori Omog,OrangeAcademy,0,Namori Omog
Joel Cwik,OrangeAcademy,1,Joel Cwik
Yanu Slingerland,OrangeAcademy,3,Yanu Slingerland
Felix Kiehlneker,OrangeAcademy,6,Felix Kiehlneker
Lenni Kunzewitsch,OrangeAcademy,9,Lenni Kunzewitsch
Endurance Aiyamenkhue,OrangeAcademy,10,Endurance Aiyamenkhue
Meissa Faye,OrangeAcademy,11,Meissa Faye
Milo Alexander Murray,OrangeAcademy,12,Milo Alexander Murray
Tobias Rainer Holbach,OrangeAcademy,17,Tobias Rainer Holbach
Marko Dordevic,OrangeAcademy,36,Marko Dordevic
Zoran Milicic,OrangeAcademy,44,Zoran Milicic
Theo Roesinger,FC Bayern Basketball II,4,Theo Roesinger
Nikolas Sermpezis,FC Bayern Basketball II,6,Nikolas Sermpezis
Roko Jerkic,FC Bayern Basketball II,10,Roko Jerkic
Marco Frank,FC Bayern Basketball II,13,Marco Frank
Kilian Maurice Fischer,FC Bayern Basketball II,17,Kilian Maurice Fischer
Isayah Luaan Baptiste Bernard Marcin,FC Bayern Basketball II,21,Isayah Luaan Baptiste Bernard Marcin
Desmond Obed Yiamu,FC Bayern Basketball II,23,Desmond Obed Yiamu
Andrija Susic,FC Bayern Basketball II,24,Andrija Susic
Nicolas Neruda Kodjoe,FC Bayern Basketball II,32,Niclas Neruda Kodjoe; Nicolas Neruda Kodjoe
Giovanni Alessio Calamita,FC Bayern Basketball II,45,Giovanni Alessio Calamita
Jonathan Zeisberger,TSV Oberhaching Tropics,3,Jonathan Zeisberger
Frederik Müller,TSV Oberhaching Tropics,4,Frederik Müller
Philipp Bode,TSV Oberhaching Tropics,5,Philipp Bode
Nedzad Muratovic,TSV Oberhaching Tropics,7,Nedzad Muratovic
