Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
London Lions,Matthew Goodwin,55,Matthew Goodwin,17,7.5,126.9,38.0,2.2,12.0,30.0,40,7.0,20.0,35,7.0,7.0,100,4.0,13.0,17.0,7.0,3.0,1.0,10.0,16.0,37.5,16.4,2.6,0.5,1.2,14,52.0,3.1,3.6,2,2.0,1,0,100.0,1.0,1,-1.11,-6.19,5.08,3.1,4.0,2.0,1.0,50,8.0,4.0,50,20.0,7.0,35,5.0,4.0,0.0,1.0,3.0,5.0,5.0
Manchester Basketball,Judson Martindale,33,Judson Martindale,17,1.8,30.6,2.0,0.1,1.0,7.0,14.3,0.0,2.0,0,0.0,0.0,0,3.0,1.0,4.0,1.0,1.0,0.0,2.0,5.0,5.8,9.6,0.1,0.1,0.3,2,4.0,0.2,0.3,2,2.0,2,0,50.0,2.0,1,-14.92,-13.51,-1.42,3.0,4.6,3.0,1.0,33.3,2.0,0.0,0,2.0,0.0,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
Newcastle Eagles,Deion Hammond,8,Deion Hammond,16,26.1,418.3,183.0,11.4,65.0,164.0,39.6,40.0,105.0,38.1,13.0,15.0,86.7,4.0,36.0,40.0,23.0,16.0,4.0,16.0,50.0,175.3,20.8,10.2,1.3,2.2,49,232.0,14.5,12.9,18,3.0,15,0,60.0,16.0,6,-1.94,-4.5,2.56,2.7,3.6,20.0,11.0,55,39.0,14.0,35.9,105.0,40.0,38.1,8.0,6.0,0.0,2.0,15.0,54.0,29.0
B. Braun Sheffield Sharks,Prentiss Nixon,2,Prentiss Nixon,16,21.8,349.4,182.0,11.4,60.0,163.0,36.8,24.0,77.0,31.2,38.0,43.0,88.4,5.0,42.0,47.0,57.0,12.0,1.0,24.0,26.0,192.9,28.6,12.4,3.9,3.2,128,310.0,19.4,21.1,13,1.9,13,8,39.3,23.5,7,-0.04,-2.51,2.48,2.0,2.4,38.0,18.0,47.4,48.0,18.0,37.5,77.0,24.0,31.2,16.0,6.0,0.0,2.0,17.0,61.0,29.0
London Lions,Ethan Price,10,Ethan Price,16,15.4,246.9,114.0,7.1,36.0,68.0,52.9,6.0,23.0,26.1,36.0,41.0,87.8,13.0,44.0,57.0,17.0,8.0,4.0,15.0,44.0,84.5,19.0,7.9,1.2,4.0,41,155.0,9.7,10.8,8,2.0,5,4,59.2,6.8,4,4.0,-3.38,7.38,4.0,2.8,40.0,27.0,67.5,5.0,3.0,60,23.0,6.0,26.1,5.0,4.0,0.0,6.0,6.0,28.0,22.0
Manchester Basketball,Zak Irvin,7,Zak Irvin,16,17.7,283.2,90.0,5.6,41.0,74.0,55.4,3.0,10.0,30,5.0,8.0,62.5,16.0,53.0,69.0,18.0,15.0,0.0,10.0,16.0,68.7,12.4,6.7,1.3,5.1,45,135.0,8.4,10.0,13,2.2,10,2,59.7,10.9,6,0.23,-3.32,3.55,3.4,3.9,46.0,29.0,63,18.0,9.0,50,10.0,3.0,30,2.0,3.0,0.0,5.0,10.0,32.0,14.0
Caledonia Gladiators,Totonitoluwa Fagbenle,11,Totonitoluwa Fagbenle,16,16.0,256.3,56.0,3.5,24.0,57.0,42.1,5.0,14.0,35.7,3.0,7.0,42.9,15.0,24.0,39.0,9.0,9.0,10.0,20.0,27.0,62.5,12.8,4.1,0.7,2.8,20,76.0,4.8,5.5,2,1.0,2,1,41.0,3.4,2,-6.61,-8.69,2.09,4.2,4.7,34.0,17.0,50,9.0,2.0,22.2,14.0,5.0,35.7,8.0,9.0,0.0,3.0,10.0,19.0,13.0
Leicester Riders,Raequan Battle,21/7,Raequan Battle,15,30.4,456.3,326.0,21.7,108.0,227.0,47.6,57.0,129.0,44.2,53.0,58.0,91.4,6.0,64.0,70.0,20.0,16.0,5.0,30.0,42.0,265.5,30.4,24.8,1.5,5.3,45,371.0,24.7,28.3,64,5.3,44,13,64.4,52.7,12,4.11,1.13,2.98,3.3,2.0,59.0,36.0,61,39.0,15.0,38.5,129.0,57.0,44.2,10.0,13.0,0.0,7.0,31.0,103.0,61.0
London Lions,Johnathan Williams,13,Jonathan Williams; Johnathan Williams,15,20.7,310.2,134.0,8.9,58.0,102.0,56.9,0.0,2.0,0,18.0,31.0,58.1,24.0,42.0,66.0,20.0,12.0,9.0,31.0,38.0,117.7,21.1,9.3,1.4,4.6,45,179.0,11.9,12.4,2,2.0,2,0,50.0,2.0,1,0.98,-5.43,6.41,4.1,3.4,81.0,52.0,64.2,19.0,6.0,31.6,2.0,0.0,0,8.0,11.0,1.0,11.0,27.0,28.0,31.0
Surrey 89ers,Andrew Lawrence,4,Andrew Lawrence,15,11.7,175.2,37.0,2.5,14.0,41.0,34.1,6.0,24.0,25,3.0,5.0,60,3.0,10.0,13.0,43.0,13.0,0.0,10.0,18.0,48.2,14.1,2.5,2.9,0.9,99,136.0,9.1,9.1,0,0.0,2,0,0.0,2.0,2,-0.31,-4.07,3.76,1.0,3.0,9.0,3.0,33.3,8.0,5.0,62.5,24.0,6.0,25,8.0,1.0,1.0,0.0,2.0,13.0,3.0
