Canonical,Team,Numbers,Variations
Ernestas Jonkus,Klaipėdos Neptūnas-Akvaservis,6,Ernestas Jonkus
Rokas Mačiulis,Klaipėdos Neptūnas-Akvaservis,13,Rokas Mačiulis
Matas Mačijauskas,Klaipėdos Neptūnas-Akvaservis,16,Matas Mačijauskas
Klaidas Metrikis,Klaipėdos Neptūnas-Akvaservis,24,Klaidas Metrikis
Džiugas Remeikis,Klaipėdos Neptūnas-Akvaservis,28,Džiugas Remeikis
Juozas Virkutis,Klaipėdos Neptūnas-Akvaservis,39,Juozas Virkutis
Kristupas Leščiauskas,Klaipėdos Neptūnas-Akvaservis,77,Kristupas Leščiauskas
Tadas Kymantas,Palangos Olimpas,7,Tadas Kymantas
Augustas Majauskas,Marijampolės Sūduva-Mantinga,17,Augustas Majauskas
Ernestas Naruševičius,Mažeikių M Basket,14,Ernestas Naruševičius
Rokas Jocys,Šakių Vytis-VDU,11,Rokas Jocys
Dominykas Daubaris,Kauno Žalgiris-2,8,Dominykas Daubaris
Galius Černeckis,Kauno Žalgiris-2,15,Galius Černeckis
Nojus Mištautas,Kauno Žalgiris-2,66,Nojus Mištautas
Arminas Kelmelis,Kėdainių sporto centras,9,Arminas Kelmelis
Tomas Stankevičius,Alytaus Alytus,5/7,Tomas Stankevičius
Justas Juozaitis,Alytaus Alytus,7,Justas Juozaitis
Kristupas Smirnov,Alytaus Alytus,8/9,Kristupas Smirnov
Žygimantas Bartašius,Alytaus Alytus,15/17,Žygimantas Bartašius
Martynas Pocevičius,Alytaus Alytus,30,Martynas Pocevičius
Nathan Lewis Scott,Alytaus Alytus,11,Nathan Lewis Scott
Ronald Niamke Degray III,Alytaus Alytus,13,Ronald Niamke Degray III
Otas Vaitulevičius,Alytaus Alytus,23,Otas Vaitulevičius
John Okeychukwu Egbuta,Ukmergės Stekas,2,John Okeychukwu Egbuta
Kyliann Rotardier,Ukmergės Stekas,0,Kyliann Rotardier
Justas Nausėdas,Jurbarko Jurbarkas-Karys-Manvesta,2,Justas Nausėdas
Laurynas Micevičius,Jurbarko Jurbarkas-Karys-Manvesta,3,Laurynas Micevičius
Arnas Saulėnas,Jurbarko Jurbarkas-Karys-Manvesta,7,Arnas Saulėnas
Robert Charles Waters-Johnson Jr,Alytaus Alytus,1,Robert Charles Waters-Johnson Jr
Jared Steven Small,Telšių Telšiai,31,Jared Steven Small
Meinardas Dumčius,Marijampolės Sūduva-Mantinga,1,Meinardas Dumčius
Mantas Klevinskas,Ukmergės Stekas,4,Mantas Klevinskas
Orestas Šeputis,Kauno r. Omega-Tauras-LSU,9,Orestas Šeputis
Martynas Gecevičius,Telšių Telšiai,13,Martynas Gecevičius
Mindaugas Stašys,Palangos Olimpas,5,Mindaugas Stašys
Deimantas Jonikas,Šilutės Šilutė-PDS.lt,8,Deimantas Jonikas
Deividas Žukauskas,Vilniaus Rytas-2,45,Deividas Žukauskas
Justinas Norkus,Alytaus Alytus,14,Justinas Norkus
Colin Gabriel Golson Jr,Plungės Olimpas,4,Colin Gabriel Golson Jr
Pavle Kuzmanovic,Telšių Telšiai,10,Pavle Kuzmanovic
Tomas Čiuplys,Vilkaviškio Perlas Go,3,Tomas Čiuplys
Marijus Užupis,Marijampolės Sūduva-Mantinga,13,Marijus Užupis
Aurelijus Pukelis,Marijampolės Sūduva-Mantinga,24,Aurelijus Pukelis
Joris Balnis,Šilutės Šilutė-PDS.lt,9,Joris Balnis
Laurynas Mikalauskas,Palangos Olimpas,13,Laurynas Mikalauskas
Petras Piekus,Plungės Olimpas,21,Petras Piekus
Rahsaan Amari Edwards,Ukmergės Stekas,3,Rahsaan Amari Edwards
Aironas Žymantas,Klaipėdos Neptūnas-Akvaservis,10,Aironas Žymantas
Gytis Mačionis,Kretingos Kretinga-Rivile,14,Gytis Mačionis
Laurynas Chadatavičius,Vilkaviškio Perlas Go,77,Laurynas Chadatavičius
Nojus Galinskas,Vilkaviškio Perlas Go,0,Nojus Galinskas
Simas Sankūnas,Vilkaviškio Perlas Go,16,Simas Sankūnas
Matas Motužis,Plungės Olimpas,13,Matas Motužis
Laurynas Klimas,Alytaus Alytus,12,Laurynas Klimas
Dovydas Jakštonis,Kauno Žalgiris-2,9,Dovydas Jakštonis
Rokas Gadiliauskas,Palangos Olimpas,31,Rokas Gadiliauskas
Vainius Steponavičius,Kėdainių sporto centras,7,Vainius Steponavičius
Mikalojus Klimavičius,Kėdainių sporto centras,27,Mikalojus Klimavičius
Ignas Martinkus,Telšių Telšiai,24,Ignas Martinkus
Danielius Kasparas,Vilniaus Rytas-2,13,Danielius Kasparas
Adas Kernagis,Vilkaviškio Perlas Go,2,Adas Kernagis
Kernius Loginauskas,Kėdainių sporto centras,66,Kernius Loginauskas
Gabrielius Buivydas,Vilniaus Rytas-2,35,Gabrielius Buivydas
J'Von McCormick,Šilutės Šilutė-PDS.lt,5,J'Von McCormick
Benas Biržinis,Vilniaus Rytas-2,12,Benas Biržinis
Antanas Udras,Palangos Olimpas,0,Antanas Udras
Augustinas Venckus,Alytaus Alytus,8,Augustinas Venckus
Ignas Juškevičius,Kauno r. Omega-Tauras-LSU,11,Ignas Juškevičius
Antanas Tamulis,Kretingos Kretinga-Rivile,24,Antanas Tamulis
Jordan Lee Glover,Palangos Olimpas,1,Jordan Lee Glover
Dmytro Tykhonov,Alytaus Alytus,15,Dmytro Tykhonov
Justas Šukelis,Ukmergės Stekas,2,Justas Šukelis
Mantas Šerkšnas,Ukmergės Stekas,19,Mantas Šerkšnas
Domas Urbaitis,Mažeikių M Basket,0,Domas Urbaitis
Christopher Tsamas,Plungės Olimpas,12,Christopher Tsamas
Almantas Liepuonis,Jurbarko Jurbarkas-Karys-Manvesta,1,Almantas Liepuonis
Nolan Avery Causwell,Ukmergės Stekas,4,Nolan Avery Causwell
De Angelo William Stewart,Alytaus Alytus,3,De Angelo William Stewart
Laurynas Balkūnas,Šilutės Šilutė-PDS.lt,11,Laurynas Balkūnas
Edgaras Galeckas,Marijampolės Sūduva-Mantinga,6,Edgaras Galeckas
