Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Kauno Žalgiris-2,"Dominykas Grunkis, Jokūbas Rudaitis, Majus Bulanovas, Sten Markus Adamson, Titas Lavrinovič",1,46,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,78.3,52.2,104.3,46.0,23.0,0,0,0,0,0,0,0,100,0,4,2,2,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,100,100,0,0,0,200,0,0,0,0,0,0,1,0,0,0,0,0,0,-200,0,0,0,2,2,100,0,0,0,0,0,0,0,0,0,0,0,2,0
Kauno Žalgiris-2,"Dominykas Urbonavičius, Dovydas Jakštonis, Maksim Brnovič, Sten Markus Adamson, Titas Lavrinovič",1,15,0.0,1,0,0,0,0,0,0,1,2,50,0,0,0,0,0,0,0,1,1,78.4,140.8,16,17.0,150.0,0,56.8,0,0,0,0,0,0,113.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ukmergės Stekas,"Aistis Lukoševičius, Kostas Jonuška, Kyliann Rotardier, Rahsaan Amari Edwards, Vytautas Saulis",1,31,0.0,0,0,3,0,0,2,0,0,0,0,2,0,2,0,0,0,1,2,1,69.3,61.2,77.4,39.2,31.0,0,0,0,100,0,25,0,66.7,0,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,100,100,0,0,0,200,0,0,0,1,0,0,2,0,0,0,0,0,1,-200,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,2,2
Vilniaus Rytas-2,"Adomas Pocius, Danielius Kasparas, Erikas Sirgedas, Ignas Urbonas, Mantas Liutkevičius",1,46,0.0,2,1,1,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,64.3,52.2,76.4,46.0,31.4,100,100,0,0,50,0,0,0,200,2,1,2,50,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,50,50,0,50,0,136.5,0,0,0,1,1,100,0,0,0,0,0,0,0,63.5,0,0,0,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0
Vilniaus Rytas-2,"Artūras Vilutis, Danielius Kasparas, Gantas Križanauskas, Ignas Urbonas, Kornelijus Snitka",1,106,1.1,2,1,3,33.3,0,1,0,0,0,0,1,1,2,0,0,0,0,0,1,34,19.5,48.6,123.3,49.4,33.3,33.3,0,100,33.3,0,0,33.3,232.6,2,1,5,20,0,1,0,0,0,0,2,0,2,0,0,0,0,1,2,20,20,0,66.7,20,93.2,0,0,0,2,1,50,1,0,0,0,0,0,1,139.4,0,0,0,4,1,25,1,0,0,0,0,0,0,2,0,0,2,0,0
Alytaus Alytus,"Augustinas Venckus, De Angelo William Stewart, Justinas Norkus, Laurynas Klimas, Martynas Pocevičius",1,37,0.0,1,0,0,0,0,0,0,1,2,50,0,2,2,0,0,0,0,0,1,93.4,57.1,129.7,42.0,18.5,0,56.8,0,0,100,0,0,0,113.6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kauno r. Omega-Tauras-LSU,"Armandas Bancevičius, Nedas Vydmantas, Simas Šliogeris, Vytautas Šulskis, Ąžuolas Hopenas",1,13,0.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,101.5,184.6,18.5,13.0,130.0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kėdainių sporto centras,"Amir Malek, Augustas Žilinskas, Ignas Lukošius, Paulius Semaška, Povilas Dambrauskas, Vainius Steponavičius",1,12,0.0,2,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,0,0,1,98,176,20,13.6,120.0,0,113.6,0,0,0,0,0,0,227.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kauno Žalgiris-2,"Dominykas Urbonavičius, Dovydas Jakštonis, Ignas Štombergas, Jokūbas Rudaitis, Maksim Brnovič",1,59,0.0,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,40.7,81.4,59.0,29.5,100,100,0,0,0,0,0,0,200,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,50,0,100,0,0,0,0,1,1,100,0,0,0,0,0,0,0,200,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Šakių Vytis-VDU,"Gabrielius Mažeika, Gabrielius Čelka, Jokūbas Rubinas, Kajus Leliukas, Nojus Vaivada",1,44,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,81.8,54.5,109.1,44.0,22.0,0,0,0,0,0,0,0,100,0,2,1,2,50,0,1,0,0,0,0,0,1,1,1,0,0,0,1,2,50,50,0,0,50,100,0,0,0,0,0,0,1,0,0,0,0,0,0,-100,0,0,0,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0
