Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Filou Oostende,"Aaron ESTRADA, Haris BRATANOVIC, Jordan SCHAKEL, Moussa SYLLA, Silas MELSON",1,53,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,42.1,45.3,38.9,53.0,61.6,0,0,0,0,0,0,0,100,0,3,1,3,33.3,1,2,50,0,0,0,2,1,3,1,0,0,0,1,1,50,50,0,100,66.7,348.8,0,0,0,0,0,0,0,0,0,0,0,0,0,-348.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Filou Oostende,"Joppe MENNES, Loup FOGANG TCHENDJOU, Silas MELSON, Tim WAERNIERS, Vince T'JONCKE",1,32,0.0,2,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,0,0,1,70.5,66,75,36.4,32.0,0,113.6,0,0,0,0,0,0,227.3,3,1,1,100,1,1,100,0,0,0,0,0,0,1,0,0,0,1,1,150,150,0,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0,-72.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rotterdam City Basketball,"Jakari SPENCE, Lars NILSEN, Maxime SIGNORONI, Nino VRENCKEN, Noah SLINGERLAND",1,18,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,73.3,133.3,13.3,18.0,180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Windrose Giants Antwerp,"Elias LASISI, Feie TALLIR, Letto VAN DROM, Mateo COLAK, Yoeri SCHOEPEN",1,61,0.0,3,1,1,100,1,1,100,0,0,0,0,0,0,1,0,0,0,0,1,57.6,39.3,75.9,61.0,31.6,150,150,100,0,0,0,0,100,300,4,2,3,66.7,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,66.7,66.7,0,100,33.3,207.3,0,0,0,0,0,0,0,0,0,0,0,0,0,92.7,0,0,0,2,2,100,0,0,0,0,0,0,0,0,0,0,2,0,2
House of Talents Spurs Kortrijk,"Ithiel HORTON, Jules ISEBAERT, Noel COLEMAN, Sam HOFMAN, Servaas BUYSSCHAERT",1,44,0.0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,79.9,50.7,109.1,47.3,22.0,0,0,0,50,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,50,0,100,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
House of Talents Spurs Kortrijk,"Bram BOGAERTS, Ithiel HORTON, Jules ISEBAERT, Keon AMBROSE-HYLTON, Noel COLEMAN",1,24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,55,100,10,24.0,240.0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Windrose Giants Antwerp,"Andrew FUNK, Enoch CHEEKS, Joel MURRAY, Mateo COLAK, Yoeri SCHOEPEN",1,25,0.0,2,0,1,0,0,0,0,2,2,100,1,0,1,0,0,0,0,0,1,43.7,77.8,9.6,30.9,250.0,0,53.2,0,100,0,0,200,0,246.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,246.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
PrismaWorx BAL,"Kenyuoe ONDAAN, Kjell DE GRAAF, Lucas BONFILS, Roel VAN OVERBEEK, Ryan MUHR",1,16,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,141,150,132,16.0,18.2,0,0,0,0,0,100,0,0,0,2,0,0,0,0,0,0,2,2,100,0,0,0,0,1,0,0,0,1,0,113.6,0,0,0,227.3,0,0,0,0,0,0,0,0,0,0,1,0,0,-227.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
PrismaWorx BAL,"Kara SENE, Lucas BONFILS, Milo HAUTEKEET, Roel VAN OVERBEEK, Ryan MUHR",1,34,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,68.1,70.6,65.6,34.0,36.6,0,0,0,0,0,0,0,100,0,2,1,2,50,0,1,0,0,0,0,1,1,2,0,0,0,0,0,1,50,50,0,100,50,215.1,0,0,0,0,0,0,0,0,0,0,0,0,0,-215.1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Rotterdam City Basketball,"Lars NILSEN, Maxime SIGNORONI, Nino VRENCKEN, Noah SLINGERLAND, Tjall DE VAAL",1,37,0.6,3,1,1,100,1,1,100,0,0,0,0,0,0,1,0,0,0,1,1,61,64.9,57.1,37.0,42.0,150,150,100,0,0,0,0,100,300,2,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,0,0,1,0,113.6,0,0,0,227.3,0,0,0,0,0,0,0,0,0,0,0,0,0,72.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
