Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
SK Slavia Praha,"M. Ježek, N. Noumeros, J. Matušík, R. Mrázek, D. Böhm",2,322,16,6,8,75,2,3,66.7,2,2,100,1,7,8,3,1,0,3,1,10,77.8,77.8,77.8,30.8,30.8,87.5,90.1,50,50,100,20.2,25,37.5,153.2,5,2,8,25,1,6,16.7,0,2,0,0,1,1,0,2,0,2,1,10,31.2,28.2,18.4,0,75,47.9,105.3,4,4,100,1,0,0,3,2,66.7,1,2,0,0,2,1,50,0,0,0,6,1,16.7,2,0,0,0
SK Slavia Praha,"M. Ježek, P. Macháč, J. Matušík, R. Mrázek, V. Zeithammer",3,275,9,3,9,33.3,2,6,33.3,1,3,33.3,2,4,6,1,1,0,3,3,10,96.2,94.8,97.5,25.3,24.6,44.4,43.6,33.3,28.6,80,20.9,33.3,66.7,82.8,12,3,8,37.5,0,3,0,6,6,100,1,5,6,3,3,0,2,1,11,37.5,56.4,15.8,20,37.5,107.4,-24.6,3,1,33.3,0,0,0,6,2,33.3,2,1,0,0,4,3,75,1,0,0,3,0,0,1,1,0,0
SK Slavia Praha,"M. Ježek, J. Matušík, R. Mrázek, O. Pospíchal, V. Zeithammer",3,283,16,6,9,66.7,2,4,50,2,4,50,1,4,5,4,0,0,1,4,10,81.3,87.6,74.9,27.4,32.0,77.8,74.3,66.7,25,100,6.3,44.4,44.4,154.9,11,3,7,42.9,2,4,50,3,5,60,0,3,3,2,1,0,0,3,8,57.1,59.8,0,0,57.1,124.5,30.3,3,2,66.7,2,2,100,4,2,50,0,1,0,0,2,1,50,1,0,0,4,2,50,0,0,0,0
SK Slavia Praha,"R. Jones, J. Matušík, R. Mrázek, D. Böhm, M. Dáňa",4,323,16,3,7,42.9,1,3,33.3,9,9,100,2,5,7,0,0,0,2,4,10,77.9,78.2,77.6,30.7,30.9,50,73,0,50,55.6,15.4,128.6,42.9,152.1,10,4,13,30.8,1,5,20,1,2,50,4,2,6,2,1,0,1,9,10,34.6,36,6.7,44.4,38.5,95.7,56.3,3,2,66.7,1,0,0,3,1,33.3,1,1,0,0,3,2,66.7,5,1,20,5,1,20,0,0,0,1
SK Slavia Praha,"R. Jones, J. Matušík, D. Böhm, T. Bladen, V. Zeithammer",3,334,12,5,8,62.5,2,3,66.7,0,0,0,0,1,1,2,2,0,3,4,10,75.5,75.9,75.1,31.6,32.0,75,75,40,0,33.3,23.1,0,37.5,113.6,13,5,8,62.5,1,3,33.3,2,2,100,2,3,5,3,2,0,4,3,10,68.8,73.2,31.1,66.7,37.5,124.5,-10.8,3,2,66.7,2,1,50,3,2,66.7,0,2,0,1,3,3,100,2,1,50,3,1,33.3,3,1,0,0
SLUNETA  Ústí nad Labem,"N. Johnson, P. Krupka, I. Davidson, J. Young, J. Potoček",2,305,18,6,10,60,2,4,50,4,4,100,2,4,6,4,2,0,1,3,10,81.7,81.3,82.2,29.5,29.2,70,76.5,66.7,50,100,6,40,40,174.3,12,4,8,50,2,5,40,2,2,100,0,2,2,2,1,1,2,1,10,62.5,67.6,18.4,0,62.5,114.9,59.4,5,4,80,1,0,0,4,2,50,0,1,0,0,2,2,100,1,0,0,5,2,40,0,2,0,0
SLUNETA  Ústí nad Labem,"N. Johnson, I. Davidson, J. Potoček, T. Vyoral, D. Žikla",4,250,6,2,9,22.2,0,6,0,2,2,100,1,3,4,0,0,0,2,2,10,91.1,100.3,81.8,23.9,29.3,22.2,30.4,0,14.3,75,16.8,22.2,66.7,57.4,14,5,9,55.6,2,4,50,2,2,100,1,6,7,2,2,0,0,2,8,66.7,70.9,0,25,44.4,164.2,-106.8,1,1,100,2,1,50,6,0,0,0,2,0,0,4,3,75,1,0,0,4,2,50,0,0,0,0
SLUNETA  Ústí nad Labem,"I. Davidson, K. Lawrence, T. Vyoral, L. Pecka, F. Kábrt",2,433,7,3,10,30,1,4,25,0,1,0,1,4,5,3,0,0,2,4,10,62,60.9,63.2,39.4,38.0,35,33.5,100,12.5,57.1,13,10,40,63.7,16,7,13,53.8,1,3,33.3,1,2,50,3,7,10,3,1,0,1,3,11,57.7,57.6,6.7,42.9,23.1,140.3,-76.6,3,2,66.7,3,0,0,4,1,25,1,1,0,0,7,4,57.1,3,2,66.7,3,1,33.3,0,1,0,0
Sršni Photomate Písek,"V. Sýkora, M. Kozák, K. Týml, J. Karlovský, J. Svoboda",4,319,7,3,7,42.9,1,3,33.3,0,2,0,1,3,4,3,0,0,4,0,10,89,78.6,99.4,30.5,24.1,50,44.4,100,20,60,26.9,28.6,42.9,67,25,9,14,64.3,4,7,57.1,3,4,75,2,4,6,3,3,0,0,1,13,78.6,79.3,0,40,50,189.3,-122.2,2,1,50,2,1,50,3,1,33.3,3,1,0,0,5,4,80,2,1,50,7,4,57.1,0,0,0,0
Sršni Photomate Písek,"V. Sýkora, M. Kozák, M. Svoboda, J. Svoboda, M. Burda",4,415,14,4,12,33.3,2,10,20,4,7,57.1,4,5,9,2,1,0,0,3,10,68.1,61.5,74.6,39.0,32.2,41.7,46.4,50,50,100,0,58.3,83.3,131.6,16,6,11,54.5,4,5,80,0,1,0,0,4,4,3,0,0,2,5,12,72.7,69.9,14.9,0,45.5,124,7.6,2,2,100,0,0,0,10,2,20,0,0,0,0,3,2,66.7,3,0,0,5,4,80,1,1,0,0
Sršni Photomate Písek,"V. Sýkora, J. Haiblík, K. Týml, M. Svoboda, J. Svoboda",3,336,7,3,11,27.3,0,6,0,1,2,50,1,3,4,2,2,0,0,3,10,68.2,74.6,61.7,32.2,38.9,27.3,29.5,66.7,12.5,33.3,0,18.2,54.5,67,9,4,13,30.8,1,4,25,0,0,0,6,7,13,3,0,1,2,3,8,34.6,34.6,13.3,66.7,30.8,104.2,-37.1,3,2,66.7,2,1,50,6,0,0,0,0,0,0,4,2,50,5,1,20,4,1,25,0,2,0,0
Sršni Photomate Písek,"V. Sýkora, J. Haiblík, J. Karlovský, J. Svoboda, P. Šlechta",4,353,16,6,12,50,2,5,40,2,2,100,2,4,6,5,0,0,0,5,10,68.8,71,66.6,33.8,36.0,58.3,62.1,83.3,33.3,100,0,16.7,41.7,153.2,12,3,7,42.9,1,4,25,5,5,100,0,4,4,2,0,2,1,1,9,50,65.2,9.8,0,57.1,122.5,30.6,7,4,57.1,0,0,0,5,2,40,0,0,0,0,3,2,66.7,0,0,0,4,1,25,0,0,0,1
Sršni Photomate Písek,"M. Kozák, F. Suchánek, J. Haiblík, J. Zvolánek, K. Týml",2,257,14,5,10,50,1,4,25,3,4,75,1,6,7,2,1,0,0,1,10,103.5,96.5,110.4,24.9,21.7,55,59.5,40,16.7,100,0,40,40,135.5,11,3,9,33.3,2,3,66.7,3,3,100,0,5,5,2,0,1,2,2,11,44.4,53.3,16.2,0,33.3,93,42.5,5,3,60,1,1,100,4,1,25,0,0,0,0,3,1,33.3,3,0,0,3,2,66.7,1,1,0,0
Sršni Photomate Písek,"M. Kozák, J. Zvolánek, K. Týml, M. Svoboda, P. Šlechta",4,291,5,1,7,14.3,0,4,0,3,4,75,1,6,7,0,2,0,3,3,10,89.2,85.2,93.1,28.2,25.8,14.3,28.5,0,16.7,100,25.5,57.1,57.1,48.4,9,2,8,25,1,5,20,4,4,100,0,5,5,2,0,1,2,1,11,31.2,46.1,17,0,62.5,79.7,-31.3,3,1,33.3,0,0,0,4,0,0,1,0,0,2,2,1,50,1,0,0,5,1,20,2,0,0,0
Sršni Photomate Písek,"M. Kozák, J. Zvolánek, M. Svoboda, J. Svoboda, M. Burda",4,358,13,5,6,83.3,2,2,100,1,2,50,0,5,5,3,1,1,4,2,10,78.9,70,87.8,34.3,27.3,100,94.5,60,0,71.4,28.8,33.3,33.3,124.5,12,4,11,36.4,0,3,0,4,6,66.7,2,2,4,3,0,0,2,1,13,36.4,44,12.8,28.6,27.3,91.6,32.8,0,0,0,4,3,75,2,2,100,1,1,0,2,4,2,50,4,2,50,3,0,0,1,1,0,0
Sršni Photomate Písek,"M. Kozák, K. Týml, J. Karlovský, J. Šurý, J. Svoboda",3,320,11,3,6,50,0,2,0,5,7,71.4,0,2,2,2,3,0,2,5,10,82.7,79.8,85.5,30.1,28.1,50,60.6,66.7,0,50,15.3,116.7,33.3,103.4,13,5,10,50,1,5,20,2,2,100,2,4,6,2,0,0,3,3,11,55,59.7,21.6,50,50,114,-10.6,4,3,75,0,0,0,2,0,0,1,0,0,1,2,1,50,3,3,100,5,1,20,1,2,0,0
USK Praha,"T. Henderson Jr., O. Švec, H. Wright, M. Šafařík, C. Eduardo",1,348,11,4,8,50,0,2,0,3,3,100,1,2,3,1,1,0,3,4,10,67.9,74.9,60.9,32.0,39.4,50,59,25,25,40,22.5,37.5,25,101.2,10,3,8,37.5,1,4,25,3,5,60,3,3,6,3,2,0,2,5,8,43.8,49,16.4,60,50,113.2,-12,5,4,80,1,0,0,2,0,0,2,1,0,0,3,1,33.3,1,1,100,4,1,25,0,1,0,1
BK ARMEX ENERGY Děčín,"P. Alexander, J. Gabriel, D. Davis, J. Edwards, M. Šturanović",1,51,10,2,7,28.6,1,4,25,5,6,83.3,0,4,4,1,1,1,0,2,9,443.6,435.5,451.8,5.5,5.3,35.7,51.9,50,0,80,0,85.7,57.1,108.1,13,5,10,50,3,6,50,0,0,0,1,6,7,1,0,0,1,3,9,65,65,9.1,20,60,135.4,-27.4,2,1,50,1,0,0,4,1,25,0,0,0,0,2,2,100,2,0,0,6,3,50,0,1,0,0
