Canonical,Team,Numbers,Variations
J. Pearce,Manchester Magic Senior Men I,14,J. Pearce
B. Goodall,Manchester Magic Senior Men I,15,B. Goodall
M. Hilsdon,Oxford Hoops Senior Men,3,M. Hilsdon
O. Berzins,Oxford Hoops Senior Men,5,O. Berzins
A. Marzec,Oxford Hoops Senior Men,14,A. Marzec
E. Otto,Oxford Hoops Senior Men,30,E. Otto
P. Wrencher Jr,Oxford Hoops Senior Men,33,P. Wrencher Jr
M. Robinson,Oxford Hoops Senior Men,0/6,M. Robinson
M. Adelakun,Oxford Hoops Senior Men,10,M. Adelakun
F. Wabwire,Oxford Hoops Senior Men,11,F. Wabwire
M. Keita Sakine,Oxford Hoops Senior Men,18/23,M. Keita Sakine
Z. Missouri,Teesside Lions Senior Men,2,Z. Missouri
W. Day,Teesside Lions Senior Men,6,W. Day
B. Sproul,Teesside Lions Senior Men,10/28,B. Sproul
O. Adeniyi,Teesside Lions Senior Men,30,O. Adeniyi
S. Forster,Teesside Lions Senior Men,34,S. Forster
G. Groves,Teesside Lions Senior Men,18/20,G. Groves
B. Maldutis,Teesside Lions Senior Men,20/4,B. Maldutis
S. Gakuba,Teesside Lions Senior Men,22/8,S. Gakuba
Z. Lawson,Teesside Lions Senior Men,27/53,Z. Lawson
J. Wise-Malcolm,Teesside Lions Senior Men,31,J. Wise-Malcolm
C. Smythe,Teesside Lions Senior Men,22/45/7,C. Smythe
F. Rogers,Teesside Lions Senior Men,29/49/9,F. Rogers
C. Keys,Leicester Warriors Senior Men,6,C. Keys
P. Chingombe,Leicester Warriors Senior Men,14/6/8,P. Chingombe
M. Nelson,Leicester Warriors Senior Men,9,M. Nelson
A. Kalugin-Ugo,Leicester Warriors Senior Men,10,A. Kalugin-Ugo
B. Agrobo,Leicester Warriors Senior Men,11,B. Agrobo
P. Banda,Leicester Warriors Senior Men,14/4/6/7,P. Banda
D. Tosia,Leicester Warriors Senior Men,5,D. Tosia
D. Mcdonald,Leicester Warriors Senior Men,12,D. Mcdonald
K. Cross,Leicester Warriors Senior Men,13/8,K. Cross
E. Toure Jabby,Leicester Warriors Senior Men,14/15,E. Toure Jabby
D. Antonio,Worcester Wolves Senior Men,2/4,D. Antonio
C. Okibe,Worcester Wolves Senior Men,3/30,C. Okibe
F. Rennie,Worcester Wolves Senior Men,5,F. Rennie
W. Santhe,Worcester Wolves Senior Men,6,W. Santhe
H. Ferreira,Worcester Wolves Senior Men,10/8,H. Ferreira
H. Godwin,Worcester Wolves Senior Men,1/10,H. Godwin
I. Dapaah,Worcester Wolves Senior Men,11/14,I. Dapaah
L. Ferreira,Worcester Wolves Senior Men,12,L. Ferreira
G. Stergiopoulos,Worcester Wolves Senior Men,13/9,G. Stergiopoulos
C. Rufus Shaba,Worcester Wolves Senior Men,15,C. Rufus Shaba
E. Burgess,Worcester Wolves Senior Men,21/23,E. Burgess
E. Neblett,Worcester Wolves Senior Men,22/3,E. Neblett
T. Lister,Sheffield Sharks Senior Men,0/18,T. Lister
D. Kom,Sheffield Sharks Senior Men,2/34/8,D. Kom
G. Cousins,Sheffield Sharks Senior Men,8,G. Cousins
S. Hanson-Young,Sheffield Sharks Senior Men,10/12,S. Hanson-Young
C. Alexander,Sheffield Sharks Senior Men,15/31,C. Alexander
W. Skaines,Sheffield Sharks Senior Men,3,W. Skaines
O. Baldwin,Sheffield Sharks Senior Men,1/31/6/66/7/8,O. Baldwin
O. Mccarthy,Sheffield Sharks Senior Men,9,O. Mccarthy
D. Quinland,Sheffield Sharks Senior Men,11,D. Quinland
C. Andrews,Sheffield Sharks Senior Men,21/22,C. Andrews
C. Johnstone,Sheffield Sharks Senior Men,34/9,C. Johnstone
J. Stewart,Cobham Cobras Senior Men,6,J. Stewart
M. Dias Mendes,Cobham Cobras Senior Men,17,M. Dias Mendes
J. Muzikevicius,Cobham Cobras Senior Men,21,J. Muzikevicius
M. Coupe,Cobham Cobras Senior Men,30,M. Coupe
L. Mustre,Cobham Cobras Senior Men,33/7,L. Mustre
I. Inwugwu,Cobham Cobras Senior Men,3,I. Inwugwu
A. Wilding,Cobham Cobras Senior Men,4,A. Wilding
G. Rundle,Cobham Cobras Senior Men,5,G. Rundle
C. Ntifo,Cobham Cobras Senior Men,19/77,C. Ntifo
V. Steponavicius,Cobham Cobras Senior Men,20,V. Steponavicius
R. Akpofure,Cobham Cobras Senior Men,91,R. Akpofure
D. Orija,Cobham Cobras Senior Men,13/30/99,D. Orija
L. Sayles,Barking Abbey Senior Men I,4,L. Sayles
I. Warari,Barking Abbey Senior Men I,6,I. Warari
R. Connolly,Barking Abbey Senior Men I,12/8,R. Connolly
O. Anyanwu,Barking Abbey Senior Men I,12/14/15/22/32/7,O. Anyanwu
J. Mendes,Barking Abbey Senior Men I,23,J. Mendes
M. Filho,Barking Abbey Senior Men I,5,M. Filho
S. Dobson-Smith,Barking Abbey Senior Men I,7/9,S. Dobson-Smith
K. Mabaya,Barking Abbey Senior Men I,10/5,K. Mabaya
F. Oguntuase,Barking Abbey Senior Men I,11,F. Oguntuase
E. Tomking,Barking Abbey Senior Men I,10/15/24/32/8,E. Tomking
C. Duru,Barnet Bulldogs Senior Men,0,C. Duru
D. Brown,Barnet Bulldogs Senior Men,1,D. Brown
T. Ojuri,Barnet Bulldogs Senior Men,13/8,T. Ojuri
P. Lartey,Barnet Bulldogs Senior Men,11/3/99,P. Lartey
S. Williams,Barnet Bulldogs Senior Men,11/14/21,S. Williams
J. Gray,Barnet Bulldogs Senior Men,7,J. Gray
L. Clarke,Barnet Bulldogs Senior Men,19/8/9,L. Clarke
M. Dunn,Barnet Bulldogs Senior Men,12,M. Dunn
E. Djanogly,Barnet Bulldogs Senior Men,23,E. Djanogly
J. Kannukaden,Greenwich Titans Senior Men,8,J. Kannukaden
T. Fowler,Greenwich Titans Senior Men,47,T. Fowler
A. Maitland,Barking Abbey Senior Men I,14/15,A. Maitland
K. Hawes,CoLA Southwark Pride Senior Men,5/6,K. Hawes
D. Banjoko,CoLA Southwark Pride Senior Men,12/8,D. Banjoko
T. Fairbairn,CoLA Southwark Pride Senior Men,10,T. Fairbairn
K. Capanzana,CoLA Southwark Pride Senior Men,11,K. Capanzana
A. Wol,CoLA Southwark Pride Senior Men,14,A. Wol
J. Hannick,CoLA Southwark Pride Senior Men,4/7,J. Hannick
J. Fairbairn,CoLA Southwark Pride Senior Men,7,J. Fairbairn
O. Leigh-Hales,CoLA Southwark Pride Senior Men,9,O. Leigh-Hales
T. Gass,CoLA Southwark Pride Senior Men,13,T. Gass
B. Olowoshile,CoLA Southwark Pride Senior Men,10/15,B. Olowoshile
G. Lokmadzhiev,Cardiff Met Archers Senior Men I,11/12,G. Lokmadzhiev
E. Kizito,Cardiff Met Archers Senior Men I,15,E. Kizito
D. Koukouravas,Cardiff Met Archers Senior Men I,22,D. Koukouravas
S. Toluwase,Birmingham City University Senior Men,9,S. Toluwase
S. Drysdale,Birmingham City University Senior Men,10/13/16/3/5/7/9,S. Drysdale
M. John,London Lions Senior Men II,1/4,M. John
L. Roach,London Lions Senior Men II,13/8,L. Roach
A. Ogidan,London Lions Senior Men II,11/14/7,A. Ogidan
D. Campbell-Deeble,London Lions Senior Men II,21/83,D. Campbell-Deeble
J. Pelling,London Lions Senior Men II,24,J. Pelling
I. Chucks,London Lions Senior Men II,0,I. Chucks
Z. Mwaniki,London Lions Senior Men II,10/11/3/5,Z. Mwaniki
A. Dugou,London Lions Senior Men II,2/4,A. Dugou
T. Barnes,London Lions Senior Men II,5,T. Barnes
J. Ako - Mensah,London Lions Senior Men II,8,J. Ako - Mensah
T. Mensah,London Lions Senior Men II,10,T. Mensah
M. Andre,London Lions Senior Men II,11,M. Andre
J. Murray-White,Richmond Knights Senior Men,3,J. Murray-White
C. Vines,Richmond Knights Senior Men,9,C. Vines
T. Barmus,Richmond Knights Senior Men,10,T. Barmus
I. Hypolite-Cealy,Richmond Knights Senior Men,14,I. Hypolite-Cealy
Z. Sweeney Zinman,Richmond Knights Senior Men,35/45,Z. Sweeney Zinman
M. Diallo,Richmond Knights Senior Men,0/6/7,M. Diallo
K. Smith,Richmond Knights Senior Men,1/10,K. Smith
M. Obamakin,Richmond Knights Senior Men,5/7,M. Obamakin
J. Carvalho,Richmond Knights Senior Men,13/2/22/44,J. Carvalho
I. Stephans,Richmond Knights Senior Men,22,I. Stephans
D. Perez Tosca,Leicester Warriors Senior Men,11/5/7,D. Perez Tosca
N. Murphy,Liverpool Senior Men,6/8,N. Murphy
A. Ulett-Waul,Liverpool Senior Men,12/4/6/7/8,A. Ulett-Waul
H. Ibrahim,Sheffield Arrows Senior Men,24/33/9,H. Ibrahim
N. Montgomery,Sheffield Sharks Senior Men,2/4,N. Montgomery
O. Norfolk,Sheffield Sharks Senior Men,47/6,O. Norfolk
J. Days,Sheffield Sharks Senior Men,7,J. Days
C. Smithe,Teesside Lions Senior Men,22/45,C. Smithe
J. Kilara,Worcester Wolves Senior Men,22/24,J. Kilara
D. Kookoogravas,Cardiff Met Archers Senior Men I,22,D. Kookoogravas
N. Senessie,CoLA Southwark Pride Senior Men,10/11/4,N. Senessie
S. Shirwac,CoLA Southwark Pride Senior Men,10/7/9,S. Shirwac
A. Nwokolo,CoLA Southwark Pride Senior Men,15,A. Nwokolo
R. Barker,London Elite Senior Men I,1,R. Barker
A. Ozobuekwe,London Elite Senior Men I,37/8,A. Ozobuekwe
C. Pintoy,Oxford Hoops Senior Men,12/4,C. Pintoy
J. White,Oxford Hoops Senior Men,8,J. White
B. Issac,Oxford Hoops Senior Men,9,B. Issac
C. Morrell,St Helens Saints Senior Men,13,C. Morrell
D. Obamakinwa,Liverpool Senior Men,15,D. Obamakinwa
L. Darby-Edwards,Liverpool Senior Men,21,L. Darby-Edwards
H. Wildie,Sheffield Sharks Senior Men,7,H. Wildie
D. Ogodan,Birmingham City University Senior Men,10/12/14/16/17/2/5/7/9,D. Ogodan
C. Smitte,Teesside Lions Senior Men,22,C. Smitte
A. Maszer,Teesside Lions Senior Men,20,A. Maszer
H. Omitowotjo,Teesside Lions Senior Men,27,H. Omitowotjo
C. Camara,Sheffield Arrows Senior Men,12,C. Camara
Player#,Barking Abbey Senior Men I,,Player#
J. Tahraoui,Richmond Knights Senior Men,16/44/85,J. Tahraoui
E. Buckle,Richmond Knights Senior Men,22/7/8,E. Buckle
T. Badmus,Richmond Knights Senior Men,10/2,T. Badmus
I. Stephens,Richmond Knights Senior Men,22/33/44,I. Stephens
S. Cooper,Barnet Bulldogs Senior Men,6,S. Cooper
I. Chuks,London Lions Senior Men II,0,I. Chuks
A. Thibault,London Lions Senior Men II,0/1/2/24/5,A. Thibault
E. Griffith,London Lions Senior Men II,0/3,E. Griffith
D. Emenogu,London Lions Senior Men II,10/5,D. Emenogu
S. Pleszak,London Stars Senior Men,5,S. Pleszak
O. Iguma,Manchester Magic Senior Men I,10/12/5/9,O. Iguma
A. Bile,Manchester Magic Senior Men I,7,A. Bile
T. Regent-Bascombe,Manchester Magic Senior Men I,11/12/16,T. Regent-Bascombe
H. Omitowoju,Teesside Lions Senior Men,27,H. Omitowoju
C. Holondo,Sheffield Sharks Senior Men,13,C. Holondo
D. Tejada Garcia,Manchester Magic Senior Men I,9,D. Tejada Garcia
A. Scott,Myerscough Basketball Academy Senior Men I,6,A. Scott
H. Edwards-Meade,London Lions Senior Men II,2/7,H. Edwards-Meade
U. Busairi,London Lions Senior Men II,3,U. Busairi
F. Heath,London Lions Senior Men II,13/21/5,F. Heath
C. Ollis,Cobham Cobras Senior Men,19/98,C. Ollis
R. Anderson,Sheffield Arrows Senior Men,12/14/25,R. Anderson
K. Hypolite-Sealy,Richmond Knights Senior Men,14,K. Hypolite-Sealy
C. Reid,Richmond Knights Senior Men,10/7,C. Reid
T. Johnson,London Stars Senior Men,83,T. Johnson
E. Yeboah,Worcester Wolves Senior Men,1/10/9,E. Yeboah
S. Laditan-Adebigi,Myerscough Basketball Academy Senior Men I,10/15,S. Laditan-Adebigi
B. Isaac,Oxford Hoops Senior Men,1/9,B. Isaac
J. Irving,Liverpool Senior Men,15,J. Irving
U. Unekwe,Greenwich Titans Senior Men,14,U. Unekwe
J. Parma,Greenwich Titans Senior Men,1,J. Parma
N. Cassel,London Stars Senior Men,53/6/83,N. Cassel
R. Mccowan,Barnet Bulldogs Senior Men,22,R. Mccowan
K. Akinmoyo,Barnet Bulldogs Senior Men,28,K. Akinmoyo
R. Cyer,CoLA Southwark Pride Senior Men,4,R. Cyer
D. Patel,CoLA Southwark Pride Senior Men,12/4/5,D. Patel
U. Busair,London Lions Senior Men II,3,U. Busair
M. Mafezzoli,Teesside Lions Senior Men,14,M. Mafezzoli
R. Radchenko,Teesside Lions Senior Men,16,R. Radchenko
R. Faure,Birmingham City University Senior Men,11,R. Faure
J. Murray White,Richmond Knights Senior Men,3,J. Murray White
P. Onubogu,Richmond Knights Senior Men,0,P. Onubogu
H. Camara,St Helens Saints Senior Men,11/13/4/6/8/9,H. Camara
M. Alechicus Legania,Leicester Warriors Senior Men,5,M. Alechicus Legania; M. Legania
L. Hewson,Leicester Warriors Senior Men,6,L. Hewson
L. Francis,Barnet Bulldogs Senior Men,32,L. Francis
V. Ferreira,Birmingham City University Senior Men,10/14/8,V. Ferreira
A. Oladipupo,Cobham Cobras Senior Men,11/12,A. Oladipupo
J. Osei,Cobham Cobras Senior Men,41/42,J. Osei
A. Zakay,Cobham Cobras Senior Men,1/50/97,A. Zakay
M. Rangeley,Myerscough Basketball Academy Senior Men I,12,M. Rangeley
F. Banire,Sheffield Arrows Senior Men,12/13,F. Banire
Z. Patterson,Oxford Hoops Senior Men,20/4/91,Z. Patterson
H. Edwards Meade,London Lions Senior Men II,0/5,H. Edwards Meade
M. Edwards Meade,London Lions Senior Men II,2,M. Edwards Meade
T. Mbye,London Lions Senior Men II,10/11,T. Mbye
J. Maccarthy,Richmond Knights Senior Men,13/17/19/22/5,J. Maccarthy
A. Martinez De Morentin,CoLA Southwark Pride Senior Men,7/9,A. Martinez De Morentin; A. Morentin
R. Tesfay,CoLA Southwark Pride Senior Men,12/4/7,R. Tesfay
P. Mcintosh,Worcester Wolves Senior Men,15/4,P. Mcintosh
A. Harris-Gilbert,Teesside Lions Senior Men,3/42,A. Harris-Gilbert
M. Maffezzoli,Teesside Lions Senior Men,14,M. Maffezzoli
K. N'gabala,Barking Abbey Senior Men I,8,K. Ngabala; K. N'gabala
M. Nyamutenha,Barking Abbey Senior Men I,11/4/7,M. Nyamutenha
O. Visockas,Barking Abbey Senior Men I,14/25/9,O. Visockas
T. Olaseinde,London Elite Senior Men I,0/10/50/52,T. Olaseinde
U. Umekwe,Greenwich Titans Senior Men,14,U. Umekwe
J. Palmer,Greenwich Titans Senior Men,1/13/2/7/8,J. Palmer
R. Allicock,Greenwich Titans Senior Men,12,R. Allicock
J. Mcpherson,CoLA Southwark Pride Senior Men,12,J. Mcpherson
T. Wulff,London Stars Senior Men,0/88,T. Wulff
G. Lazarre,Richmond Knights Senior Men,1,G. Lazarre
S. Barnaby,Birmingham City University Senior Men,12/2/5/8,S. Barnaby
M. Stanisavljevic,Cobham Cobras Senior Men,1,M. Stanisavljevic
P. Gordon,Manchester Magic Senior Men I,10,P. Gordon
M. Cooper,St Helens Saints Senior Men,6/9,M. Cooper
O. Irvine,St Helens Saints Senior Men,10/9,O. Irvine
E. Thomas,London Elite Senior Men I,6,E. Thomas
R. Quidam,London Elite Senior Men I,10,R. Quidam
N. Binun,London Elite Senior Men I,18,N. Binun
M. Felletti-O'donnell,Teesside Lions Senior Men,48,M. Felletti-O'donnell
K. Bagga,Sheffield Arrows Senior Men,12/2/8,K. Bagga
C. Martin,Leicester Warriors Senior Men,13/6,C. Martin
N. Byfield,Myerscough Basketball Academy Senior Men I,4/6,N. Byfield
Z. Sinkala,Birmingham City University Senior Men,12/2/5/8,Z. Sinkala
B. Manfo-Marc,CoLA Southwark Pride Senior Men,11,B. Manfo-Marc
A. Morenti,CoLA Southwark Pride Senior Men,12,A. Morenti
C. Wong,Oxford Hoops Senior Men,2,C. Wong
M. Felletti-O’Donnell,Teesside Lions Senior Men,23/34/48,M. Felletti-O’Donnell
D. Okereke,Oxford Hoops Senior Men,1,D. Okereke
7. Temilola,Greenwich Titans Senior Men,13,7. Temilola
G. Vasiliausuas,Greenwich Titans Senior Men,7,G. Vasiliausuas
R. Nunn,CoLA Southwark Pride Senior Men,7/8,R. Nunn
J. Alimi,London Elite Senior Men I,0,J. Alimi
T. Agbede,London Elite Senior Men I,11/12,T. Agbede
J. Amui,Richmond Knights Senior Men,17,J. Amui
A. A,Barnet Bulldogs Senior Men,9,A. A
M. Sung,Worcester Wolves Senior Men,7,M. Sung
E. Ndaw,Teesside Lions Senior Men,31/77,E. Ndaw
C. Thomas,London Elite Senior Men I,6/8,C. Thomas
N. Saa,London Lions Senior Men II,21,N. Saa
A. Brooks,London Lions Senior Men II,2,A. Brooks
L. Williams,London Lions Senior Men II,5,L. Williams
K. Steadman,Worcester Wolves Senior Men,25,K. Steadman
R. Hageith,St Helens Saints Senior Men,7,R. Hageith
G. Vasiliauskas,Greenwich Titans Senior Men,7,G. Vasiliauskas
B. Read Strahan,Oxford Hoops Senior Men,9,B. Read Strahan
J. Cummins,Oxford Hoops Senior Men,23,J. Cummins
L. Morris,Manchester Magic Senior Men I,9,L. Morris
S. Rosier,Cardiff Met Archers Senior Men I,7,S. Rosier
H. Handuleh,Sheffield Arrows Senior Men,15/25/30,H. Handuleh
J. Granam,Birmingham City University Senior Men,8,J. Granam
K. Miller,Leicester Warriors Senior Men,11/12/14/15/7,K. Miller
R. Radu,Solent Kestrels Senior Men,11/4,R. Radu
J. Osei-Owusu,Solent Kestrels Senior Men,7,J. Osei-Owusu
M. Edwards,Solent Kestrels Senior Men,12,M. Edwards
H. Kmitas,London Stars Senior Men,0,H. Kmitas
R. Griffiths,Liverpool Senior Men,4,R. Griffiths
S. Sebastian,Greenwich Titans Senior Men,6,S. Sebastian
A. Orlu,Cobham Cobras Senior Men,0,A. Orlu
