Canonical,Team,Numbers,Variations
Haukur Davidsson,UNBC,11/12,Haukur Davidsson
Wesley Ainu'u,UNBC,15,Wesley Ainu'u
Isaiah Graham-Roache,Dalhousie,2,Isaiah Graham-Roache
Junior Tshienda Kazadi,Dalhousie,3,Junior Tshienda Kazadi
Spencer Riar,Dalhousie,4,Spencer Riar
Lydell Husbands-Browne,Dalhousie,8,Lydell Husbands-Browne
Riley Stewart,Dalhousie,12,Riley Stewart
RaShawn Ferguson,Dalhousie,23/5,RaShawn Ferguson
Jacob Christie,Dalhousie,6,Jacob Christie
Ukiah Best,Dalhousie,7,Ukiah Best
Giovanni Ajiamah,Dalhousie,10,Giovanni Ajiamah
Jayden Parker,Dalhousie,11,Jayden Parker
Dimitrios Georgoulias,Dalhousie,15,Dimitrios Georgoulias
Samuel Olugu,Dalhousie,22,Samuel Olugu
Samuel Moore,Dalhousie,20/23/5,Samuel Moore
James Murphy,Dalhousie,24,James Murphy
Player None,UNBC,None,Player None
Steve Stinson,Thompson Rivers,4,Steve Stinson
Dami Farinloye,Thompson Rivers,5,Dami Farinloye
Reuben Wright,Thompson Rivers,7,Reuben Wright
Jayden Green,Thompson Rivers,8,Jayden Green
Jayden Stephens,Thompson Rivers,10,Jayden Stephens
Chris Piotrowski,Thompson Rivers,3,Chris Piotrowski
Jaeden Bynoe,Thompson Rivers,6,Jaeden Bynoe
Cason Scott,Thompson Rivers,11,Cason Scott
Gavin Reis,Thompson Rivers,12,Gavin Reis
Jack Clayton,Thompson Rivers,13,Jack Clayton
Thomas Olsen,Thompson Rivers,15,Thomas Olsen
Quinn Doray,Thompson Rivers,22,Quinn Doray
Anthony Heyes,Brock,0,Anthony Heyes
Andrew McKenna,Brock,10,Andrew McKenna
Birch Pockar,Brock,13,Birch Pockar
Ben Herbert,Brock,22,Ben Herbert
Micheal Okeke,Brock,23,Micheal Okeke
Magnus Carlos,Brock,1,Magnus Carlos
Jalen Janes,Brock,2,Jalen Janes
Nemanja Sarkanovic,Brock,8,Nemanja Sarkanovic
Xavier Fearon,Brock,12,Xavier Fearon
Emmanuel Oko-Oboh,Brock,21,Emmanuel Oko-Oboh
Afam Agbatekwe,Brock,25,Afam Agbatekwe
Travis Hamburger,Brandon,1,Travis Hamburger
Youri Cange,Brandon,2,Youri Cange
Sultan Haider-Bhatti,Brandon,9,Sultan Haider-Bhatti
Max Winters,Brandon,10,Max Winters
Darko Karac,Brandon,11,Darko Karac
Issac Brown,Brandon,0,Issac Brown
Malik Brown,Brandon,3,Malik Brown
Liam McArthur,Brandon,4,Liam McArthur
Pablo Carvajal,Brandon,5,Pablo Carvajal
Arjun Hehar,Brandon,6,Arjun Hehar
Noah Mulaw,Brandon,7,Noah Mulaw
Jerry Ige,Brandon,8,Jerry Ige
Munroop Gill,Brandon,13,Munroop Gill
DeMarco Duncan,Brandon,14,DeMarco Duncan
Bennett O'Connor,UFV,0,Bennett O'Connor
Ismael Hernandez,UFV,1,Ismael Hernandez
Marcus Flores,UFV,12,Marcus Flores
Matthias Klim,UFV,15,Matthias Klim
Dilveer Randhawa,UFV,24,Dilveer Randhawa
Micah Della Foresta,UFV,4,Micah Della Foresta
Amari Jones,UFV,5,Amari Jones
Jaylen Lee,UFV,7,Jaylen Lee
Hayden Sansalone,UFV,8,Hayden Sansalone
Matteo Kells,UFV,11,Matteo Kells
Isaak Moore,UBCO,3,Isaak Moore
Wisdom Sunday,UBCO,6,Wisdom Sunday
Jalen Shirley,UBCO,10,Jalen Shirley
Lamine Conde,UBCO,12,Lamine Conde
Mathias Schertzer,UBCO,24,Mathias Schertzer
Toby Adese,UBCO,4,Toby Adese
Gudmund Rothing,UBCO,5,Gudmund Rothing
Mike Adarkwah-Nti,UBCO,8,Mike Adarkwah-Nti
Ariel Tsaiger,UBCO,9,Ariel Tsaiger
David Usuomon,UBCO,14,David Usuomon
Larry Shyaka Gisa,UBCO,22,Larry Shyaka Gisa
Julien Malfair,UBCO,23,Julien Malfair
Jonathan Rivera,York,7,Jonathan Rivera
Jackson Mackinnon-Metcalf,York,5/9,Jackson Mackinnon-Metcalf
Remil Tissington,York,10,Remil Tissington
Christopher Williams,York,22,Chris Williams; Christopher Williams
Aaron Cunningham,Cape Breton,0,Aaron Cunningham
Sacade Kasamba,Cape Breton,2,Sacade Kasamba
Justus Peuser,Cape Breton,5,Justus Peuser
Liai Tong,Cape Breton,9,Liai Tong
Cardy Jean,Cape Breton,3,Cardy Jean
Adam Goulding,Cape Breton,6,Adam Goulding
Josiah McKnight,Cape Breton,10,Josiah McKnight
Tafarian Black,Cape Breton,14/8,Tafarian Black
Steeven Beljour-Diaz,UQAM,0,Steeven Beljour-Diaz
Karl-Tommy Laforest,UQAM,1,Karl-Tommy Laforest
Leo Verville,UQAM,11,Leo Verville
Ambs Mathe,UQAM,13,Ambs Mathe
Yiacovakis Hilaire,UQAM,14/24,Yiacovakis Hilaire
McFadden Jean,UQAM,2,McFadden Jean
Ousmane Diawara,UQAM,3,Ousmane Diawara
Milan Robichaud,UQAM,4,Milan Robichaud
Arnaud Caillaud,UQAM,6,Arnaud Caillaud
Rodando Lamothe,UQAM,7,Rodando Lamothe
Jean Guerdy,UQAM,9,Jean Guerdy
David Williams,UQAM,15,David Williams
Julian Morris,Dalhousie,13,Julian Morris
Jeremy Rudnick,Laurier,33,Jeremy Rudnick
Michael Matas,Brock,20,Michael Matas
James Lawton,Brock,30,James Lawton
Kuach Gajak,Mount Royal,0,Kuach Gajak
Kole Scott,Mount Royal,1,Kole Scott
Jacob McLellan,Mount Royal,10/3,Jacob McLellan
Sam Barnie,Mount Royal,8,Sam Barnie
Jean Pigoue,Mount Royal,13,Jean Pigoue
Avnoor Bhullar,Mount Royal,4,Avnoor Bhullar
Tag Layton,Mount Royal,6,Tag Layton
Jose Alba,Mount Royal,9,Jose Alba
Daniel Owoeye,Mount Royal,12/14,Daniel Owoeye
Faruq Balarabe,Mount Royal,14/15,Faruq Balarabe
DJ Roberts,Mount Royal,17/7,DJ Roberts; Dj Roberts
Anthony Brady,UBCO,13,Anthony Brady
Brandt Lenz,Manitoba,5,Brandt Lenz
Tito Obasoto,Manitoba,7,Tito Obasoto
Daren Watts,Manitoba,9,Daren Watts
Cieran O'Hara,Manitoba,11,Cieran O'Hara
Ramogi Nyagudi,Manitoba,14,Ramogi Nyagudi
Dante Dyck,Manitoba,2,Dante Dyck
Miguel Nitro,Manitoba,4,Miguel Nitro
Manyang Tong,Manitoba,6,Manyang Tong
Samuel Jensen,Manitoba,10,Samuel Jensen
Taven Vigilance,Manitoba,12,Taven Vigilance
Jonam Kazadi,Manitoba,13,Jonam Kazadi
Ethan Wiebe,Manitoba,15,Ethan Wiebe
Chris Sagl,Lakehead,1,Chris Sagl
Harold Santacruz,Lakehead,9,Harold Santacruz
Adrian Nowak,Lakehead,18,Adrian Nowak
Carsen Unrau,Lakehead,21,Carsen Unrau
Jorge Alonso Hernandez,Lakehead,74,Jorge Alonso Hernandez
Daveh Rose,Lakehead,3,Daveh Rose
Marcus Johnson,Lakehead,5,Marcus Johnson
Marcos Alonso Hernandez,Lakehead,8,Marcos Alonso Hernandez
Nishaan Singh,Lakehead,11,Nishaan Singh
Gavin Ashworth,Lakehead,14,Gavin Ashworth
Keylian Coulibaly,Lakehead,15/22/24,Keylian Coulibaly
Jaden Campbell,Lakehead,17,Jaden Campbell
Nate Smith,Lakehead,23,Nate Smith
Harvir Hothi,Lakehead,33,Harvir Hothi
Hudson Wollf,Manitoba,3,Hudson Wollf
