Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Bora,"A. Mekic, C. Payton, G. Zeqiri, J. Zeqiri, T. Cheese",1,25,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,92.2,92.2,92.2,26.0,26.0,0,0,0,0,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO+Peja,"A. Hajdari, A. Herndon, C. Edwards, J. Johnson, S. Nila",1,60,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,38.4,38.4,38.4,62.5,62.5,0,0,0,0,0,100,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,50,100,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Golden Eagle Ylli,"A. Scott, A. Çallakaj, G. Morina, J. Reece, L. Thomas",1,60,0.0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,38.4,38.4,38.4,62.5,62.5,0,0,0,100,0,50,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Golden Eagle Ylli,"A. Çallakaj, E. Kastrati, L. Shoshi, L. Thomas, T. Allen",1,44,0.0,4,1,1,100,1,1,100,1,1,100,0,0,0,0,0,0,0,0,1,63.9,75.4,52.4,31.8,45.8,150,138.9,0,0,0,0,100,100,289.4,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,100,100,0,0,0,208.3,0,0,0,0,0,0,1,1,100,0,0,0,0,81,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Eagle Ylli,"A. Gashi, A. Scott, A. Shala, A. Çallakaj, T. Allen",1,36,0.0,2,1,1,100,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,96,64,128,37.5,18.8,100,100,0,0,100,0,0,0,208.3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,50,0,100,0,1,1,100,0,0,0,0,0,0,0,0,0,0,208.3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0
GO+Peja,"E. Hasanaj, O. Sallabegolli, S. Flatten, S. Llapi, S. Nila",1,12,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,180.5,192,169,12.5,14.2,0,0,0,0,0,0,0,100,0,2,0,0,0,0,0,0,2,2,100,0,1,1,0,0,0,0,0,1,0,113.6,0,0,0,236.7,0,0,0,0,0,0,1,0,0,0,0,0,0,-236.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Eagle Ylli,"A. Gashi, A. Scott, A. Shala, A. Çallakaj, S. Ahmeti",1,12,0.0,2,0,0,0,0,0,0,2,2,100,0,1,1,0,0,0,0,0,1,180.5,169,192,14.2,12.5,0,113.6,0,0,100,0,0,0,236.7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Trepça,"A. Arslanagic, D. Hajrizi, M. Amzil, M. Tmusic, S. Henry",1,3,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,424,768,80,3.1,30.0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Eagle Ylli,"A. Gashi, A. Çallakaj, E. Kastrati, G. Morina, L. Shoshi",1,3,0.0,2,1,1,100,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,768,768,768,3.1,3.1,100,100,100,0,100,0,0,0,208.3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100,0,1,1,100,0,0,0,0,0,0,0,0,0,0,208.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
Bora,"A. Hot, A. Hunter, A. Mekic, C. Payton Jr, G. Zeqiri",1,50,0.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,69.1,46.1,92.2,52.1,26.0,0,0,0,0,0,0,0,100,0,3,1,1,100,1,1,100,0,0,0,0,1,1,0,0,0,1,0,2,150,150,50,0,100,156.2,0,0,0,0,0,0,1,0,0,0,0,0,0,-156.2,0,0,0,0,0,0,1,1,100,0,1,0,0,0,0,0,0,0,0
