Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
BMA365 Bamberg Baskets,"Balint R., Crowley A., Demonia D., Onu E., Watson I., Williams C.",4,356,0.0,16,4,9,44.4,2,4,50,6,7,85.7,1,5,6,1,4,2,2,2,13,91.2,88.9,93.6,27.0,25.6,55.6,66.2,25,16.7,100,13.3,77.8,44.4,121.3,13,5,9,55.6,3,4,75,0,2,0,0,5,5,3,0,0,4,4,14,72.2,65.8,28.8,0,44.4,93.7,4,2,50,1,0,0,4,2,50,0,1,0,1,27.7,5,2,40,0,0,0,4,3,75,2,2,0,0,2,6,7,0,4,0
Fitness First Würzburg Baskets,"Herzog L., Petric M., Saffer L., Skladanowski C.",1,163,0.0,9,3,11,27.3,1,6,16.7,2,3,66.7,4,5,9,1,0,0,4,5,13,192.9,184.3,201.5,13.0,11.9,31.8,36.5,33.3,44.4,71.4,23.1,27.3,54.5,71.9,18,5,11,45.5,2,6,33.3,6,8,75,2,5,7,4,3,1,1,2,14,54.5,62,6.4,28.6,54.5,131.5,5,2,40,0,0,0,6,1,16.7,3,1,0,0,-59.6,2,1,50,3,2,66.7,6,2,33.3,0,0,0,1,2,4,2,0,5,10
ALBA BERLIN,"Delow M., Griesel S., Kayil J., Roberts J., Wood M.",2,140,0.0,19,8,18,44.4,3,7,42.9,0,0,0,5,6,11,4,0,0,0,4,13,242.3,216.9,267.8,11.1,9.0,52.8,52.8,50,50,75,0,0,38.9,150.2,21,7,15,46.7,4,10,40,3,4,75,2,5,7,2,0,0,1,5,16,60,62.6,5.6,25,66.7,134.4,4,4,100,7,1,14.3,7,3,42.9,0,0,0,0,15.8,4,2,50,1,1,100,10,4,40,0,0,0,1,11,0,0,6,3,0
NINERS Chemnitz,"Brewer T., Davis C., Minchev Y., Newman III J., Yebo K.",1,30,0.0,13,5,12,41.7,3,7,42.9,0,0,0,0,5,5,1,2,1,1,4,13,1012.3,1040,984.7,2.3,2.4,54.2,54.2,20,0,83.3,7.1,0,58.3,100,9,2,7,28.6,1,2,50,4,5,80,1,7,8,2,0,1,4,0,12,35.7,48.9,30.3,16.7,28.6,73.1,3,2,66.7,2,0,0,7,3,42.9,0,0,0,1,26.9,4,1,25,1,0,0,2,1,50,1,3,0,0,0,0,0,0,4,0
MHP RIESEN Ludwigsburg,"Buchanan T., Dongmo Temoka M., Hughes E., Polas Bartolo Y., Skuja T.",1,144,0.0,14,2,6,33.3,2,2,100,8,8,100,2,4,6,0,0,2,6,2,13,191.7,223,160.3,10.8,15.0,50,73.5,0,50,66.7,38.7,133.3,33.3,104.6,10,4,10,40,0,2,0,2,4,50,2,2,4,2,0,0,0,4,10,40,42.5,0,33.3,20,104,0,0,0,4,0,0,2,2,100,0,2,0,4,0.7,6,4,66.7,2,0,0,2,0,0,0,0,0,0,0,4,0,4,0,4
EWE Baskets Oldenburg,"Fobbs B., Hinrichs S., Kyser M., Tucker D.",1,7,0.0,13,5,11,45.5,1,7,14.3,2,2,100,0,5,5,5,1,1,1,3,13,4071.1,4416,3726.3,0.5,0.6,50,54.7,100,0,83.3,5.6,18.2,63.6,100.9,8,3,8,37.5,1,3,33.3,1,4,25,1,5,6,2,0,0,2,2,11,43.8,41,17,16.7,37.5,73.6,3,3,100,1,1,100,7,1,14.3,0,0,0,1,27.3,5,2,40,0,0,0,3,1,33.3,2,0,0,0,0,2,2,2,2,0
NINERS Chemnitz,"Brewer T., Davis C., Kajami-Keane K., Minchev Y., Sibande N.",1,59,0.0,14,5,11,45.5,0,5,0,4,6,66.7,3,4,7,3,0,0,3,1,13,540.4,546.3,534.6,4.4,4.5,45.5,51.3,60,50,80,15.3,54.5,45.5,104.2,12,3,10,30,0,6,0,6,6,100,1,3,4,0,2,0,2,2,13,30,47.5,13.7,20,60,91.3,6,5,83.3,0,0,0,5,0,0,1,2,0,0,12.9,4,3,75,0,0,0,6,0,0,0,0,0,2,6,4,2,2,4,4
Basketball Löwen Braunschweig,"Braun E., NGuessan D., Sherfield G., Tomic N., Worthy A.",1,74,0.0,12,3,5,60,0,1,0,6,10,60,1,7,8,4,0,2,4,3,13,431.8,417.2,446.3,5.8,5.4,60,63.8,133.3,25,100,23,200,20,93.3,14,5,12,41.7,2,5,40,2,4,50,0,3,3,3,2,0,0,6,14,50,50.9,0,0,41.7,101.7,3,3,100,1,0,0,1,0,0,2,0,0,2,-8.5,6,3,50,1,0,0,5,2,40,0,0,0,0,0,8,0,0,2,12
BMA365 Bamberg Baskets,"Balint R., Döntgens F., Ensminger Z., Heckmann P., Höllerl N., Petkovic A.",1,58,0.0,18,6,10,60,3,5,60,3,3,100,0,6,6,5,4,3,2,4,13,557.4,551.2,563.6,4.4,4.3,75,79.5,83.3,0,75,10.9,30,50,135.1,6,2,10,20,0,2,0,2,4,50,2,4,6,2,0,0,4,4,14,20,25.5,25.4,25,20,44.1,5,3,60,0,0,0,5,3,60,1,1,0,0,91.1,8,2,25,0,0,0,2,0,0,2,2,0,0,0,9,7,2,2,0
EWE Baskets Oldenburg,"Clemons C., Fobbs B., Hinrichs S., Stanic F., Woodard J.",3,5837,97.3,9,3,10,30,0,3,0,3,4,75,2,4,6,1,0,0,3,3,13,5.1,5.3,4.9,452.9,487.4,30,38.3,33.3,25,66.7,19,40,30,69.8,20,6,11,54.5,5,10,50,3,4,75,2,6,8,6,1,1,1,6,12,77.3,78.4,7.3,33.3,90.9,167,4,2,50,3,1,33.3,3,0,0,1,1,0,1,-97.2,1,1,100,0,0,0,10,5,50,0,1,0,0,2,0,0,0,5,6
