Canonical,Team,Numbers,Variations
Christen R.,Science City Jena,8,Christen R.
Krause K.,Science City Jena,36,Krause K.
Carter C.,Science City Jena,5/6,Carter C.
Herrera A.,Science City Jena,41,Herrera A.
Bank L.,Science City Jena,25,Bank L.
Bohannon N.,Science City Jena,15,Bohannon N.
Braxton JR K.,Science City Jena,13,Braxton JR K.
Wieskamp J.,Science City Jena,10,Wieskamp J.
Iroegbu U.,Science City Jena,1,Iroegbu U.
Franklin J.,Science City Jena,22,Franklin J.
McNair Jr W.,Science City Jena,3,McNair Jr W.
Jovic S.,FC Bayern München Basketball,16,Jovic S.
Gabriel W.,FC Bayern München Basketball,32,Gabriel W.
Foster M.,SYNTAINICS MBC,5,Foster M.
Bennefeld N.,ALBA BERLIN,22,Bennefeld N.
Schroeder C.,EWE Baskets Oldenburg,29,Schroeder C.
Patrick J.,MHP RIESEN Ludwigsburg,6,Patrick J.
Buchanan T.,MHP RIESEN Ludwigsburg,2,Buchanan T.
Aminu J.,Telekom Baskets Bonn,21,Aminu J.
Jostmann M.,Telekom Baskets Bonn,12,Jostmann M.
Ferner J.,RASTA Vechta,9,Ferner J.
Hartwich P.,Basketball Löwen Braunschweig,15,Hartwich P.
Holloway R.,Basketball Löwen Braunschweig,11,Holloway R.
Scheffs J.,Fitness First Würzburg Baskets,2,Scheffs J.
Perrin Z.,Veolia Towers Hamburg,52,Perrin Z.
Schröder B.,Basketball Löwen Braunschweig,2,Schröder B.
Cwik J.,ratiopharm ulm,3,Cwik J.
Coplin B.,RASTA Vechta,30/9,Coplin B.
Hermannsson M.,ALBA BERLIN,15,Hermannsson M.
Milicic T.,ratiopharm ulm,44,Milicic T.
Diakite M.,ratiopharm ulm,5,Diakite M.
Edigin E.,Basketball Löwen Braunschweig,41,Edigin E.
Weathers M.,MLP Academics Heidelberg,0/20,Weathers M.
Dandridge M.,RASTA Vechta,23,Dandridge M.
Birts T.,Telekom Baskets Bonn,5,Birts T.
Stanic F.,EWE Baskets Oldenburg,65,Stanic F.
Lang J.,Science City Jena,9,Lang J.
Steinfeld J.,NINERS Chemnitz,21,Steinfeld J.
Brenneke L.,SKYLINERS,21,Brenneke L.
Njie B.,Basketball Löwen Braunschweig,13,Njie B.
Kunzewitsch L.,ratiopharm ulm,9,Kunzewitsch L.
Bowden J.,ROSTOCK SEAWOLVES,2,Bowden J.
Jelks S.,SYNTAINICS MBC,30,Jelks S.
Sow A.,NINERS Chemnitz,12,Sow A.
Faye M.,ratiopharm ulm,11,Faye M.
Kemmer A.,ALBA BERLIN,79,Kemmer A.
Sermpezis N.,FC Bayern München Basketball,30,Sermpezis N.
Krupnikas R.,RASTA Vechta,24,Krupnikas R.
Pjanic A.,Fitness First Würzburg Baskets,35,Pjanic A.
Schwieger R.,Fitness First Würzburg Baskets,15,Schwieger R.
Bryant J.,SYNTAINICS MBC,54,Bryant J.
Edge D.,MHP RIESEN Ludwigsburg,1,Edge D.
Gürbüzer C.,Basketball Löwen Braunschweig,4,Gürbüzer C.
Omog N.,ratiopharm ulm,8,Omog N.
Kohlhoff S.,EWE Baskets Oldenburg,31,Kohlhoff S.
Kellman K.,MHP RIESEN Ludwigsburg,32,Kellman K.
Gentischer J.,MLP Academics Heidelberg,4,Gentischer J.
Thomas K.,SYNTAINICS MBC,0,Thomas K.
Dunn-Martin T.,Science City Jena,0,Dunn-Martin T.
Biel D.,Science City Jena,77,Biel D.
Pisic D.,Fitness First Würzburg Baskets,8,Pisic D.
Wulff L.,ROSTOCK SEAWOLVES,6,Wulff L.
Williamson S.,MLP Academics Heidelberg,10,Williamson S.
Edoka J.,SKYLINERS,5,Edoka J.
Brewer T.,NINERS Chemnitz,15,Brewer T.
Aav J.,VET-CONCEPT Gladiators Trier,3,Aav J.
Steger Y.,VET-CONCEPT Gladiators Trier,11,Steger Y.
Dolic D.,RASTA Vechta,8,Dolic D.
Damariae Horne,MLP Academics Heidelberg,100/200,Damariae Horne
Player None,MLP Academics Heidelberg,None,Player None
Crnjac I.,SKYLINERS,14,Crnjac I.
Sekunden-Regel,SYNTAINICS MBC,100,Sekunden-Regel
Dinwiddie S.,FC Bayern München Basketball,26,Dinwiddie S.
Loll B.,ROSTOCK SEAWOLVES,20,Loll B.
Nikolic D.,SKYLINERS,7,Nikolic D.
Radanov A.,FC Bayern München Basketball,12,Radanov A.
Brooks E.,VET-CONCEPT Gladiators Trier,55,Brooks E.
Hawley J.,Basketball Löwen Braunschweig,3,Hawley J.
Modic L.,MHP RIESEN Ludwigsburg,38,Modic L.
Beran Jr R.,NINERS Chemnitz,31,Beran Jr R.
Bader M.,Science City Jena,44,Bader M.
Schoormann L.,ratiopharm ulm,1,Schoormann L.
Aiyamenkhue E.,ratiopharm ulm,14,Aiyamenkhue E.
Braun E.,Basketball Löwen Braunschweig,12,Braun E.
Dujmovic D.,Telekom Baskets Bonn,22,Dujmovic D.
Fugett J.,EWE Baskets Oldenburg,19,Fugett J.
Edler Davis J.,Veolia Towers Hamburg,19,Edler Davis J.
Tokoto II J.,Veolia Towers Hamburg,7,Tokoto II J.
Osobor G.,Science City Jena,1,Osobor G.
Koch N.,MLP Academics Heidelberg,1,Koch N.
Gerhard D.,Fitness First Würzburg Baskets,31,Gerhard D.
Baldwin K.,FC Bayern München Basketball,44,Baldwin K.
Penn E.,EWE Baskets Oldenburg,22,Penn E.
Stewart Jr. C.,Veolia Towers Hamburg,1,Stewart Jr. C.
Brown B.,ratiopharm ulm,2,Brown B.
Ellis R.,ALBA BERLIN,8,Ellis R.
Bähre J.,Telekom Baskets Bonn,1,Bähre J.
Flowers M.,MLP Academics Heidelberg,6,Flowers M.
Drews O.,ROSTOCK SEAWOLVES,11,Drews O.
Amaize R.,ROSTOCK SEAWOLVES,15,Amaize R.
Mejias Sanchez J.,Telekom Baskets Bonn,10,Mejias Sanchez J.
Harris J.,Telekom Baskets Bonn,11,Harris J.
Fischer K.,FC Bayern München Basketball,17,Fischer K.
Breitlauch A.,Eisbären Bremerhaven,7,Breitlauch A.
Isemann T.,Eisbären Bremerhaven,21,Isemann T.
Samare J.,Eisbären Bremerhaven,4,Samare J.
Warner H.,Eisbären Bremerhaven,31,Warner H.
von Seckendorff J.,Eisbären Bremerhaven,90,von Seckendorff J.
Falkenthal R.,Eisbären Bremerhaven,2,Falkenthal R.
Meyer A.,Eisbären Bremerhaven,9,Meyer A.
Biss J.,Eisbären Bremerhaven,3,Biss J.
Miller E.,Eisbären Bremerhaven,0,Miller E.
Almarante D.,Eisbären Bremerhaven,13,Almarante D.
Zintz B.,Eisbären Bremerhaven,5,Zintz B.
Otto G.,HAKRO Merlins Crailsheim,10,Otto G.
de Oliveira Neto J.,HAKRO Merlins Crailsheim,1,de Oliveira Neto J.
Ogunsipe M.,HAKRO Merlins Crailsheim,26,Ogunsipe M.
Santana Mojica N.,HAKRO Merlins Crailsheim,7,Santana Mojica N.
Blunt T.,HAKRO Merlins Crailsheim,0,Blunt T.
Gaines A.,HAKRO Merlins Crailsheim,9,Gaines A.
Gardner B.,HAKRO Merlins Crailsheim,4,Gardner B.
Langley K.,HAKRO Merlins Crailsheim,2,Langley K.
Welp N.,HAKRO Merlins Crailsheim,20,Welp N.
Harris Jr. C.,HAKRO Merlins Crailsheim,11,Harris Jr. C.
Mönninghoff M.,BG Göttingen,17,Mönninghoff M.
Lodders R.,BG Göttingen,11,Lodders R.
Drescher H.,BG Göttingen,10,Drescher H.
Böhmer J.,BG Göttingen,44,Böhmer J.
Jünemann J.,BG Göttingen,20,Jünemann J.
Kirchner D.,BG Göttingen,4,Kirchner D.
Schmitz N.,BG Göttingen,0,Schmitz N.
Haase J.,BG Göttingen,7,Haase J.
Ramstedt A.,BG Göttingen,1,Ramstedt A.
Buckingham K.,BG Göttingen,9,Buckingham K.
Jackson Z.,BG Göttingen,21,Jackson Z.
Sears J.,BG Göttingen,3,Sears J.
Nawrocki D.,Phoenix Hagen,2,Nawrocki D.
Bleck F.,Phoenix Hagen,10,Bleck F.
Kraushaar B.,Phoenix Hagen,4,Kraushaar B.
Uhlemann T.,Phoenix Hagen,21,Uhlemann T.
Carroll J.,Phoenix Hagen,30,Carroll J.
von Waaden D.,Phoenix Hagen,13,von Waaden D.
Graves M.,Phoenix Hagen,0,Graves M.
Schultze N.,Phoenix Hagen,33,Schultze N.
Rissetto A.,Phoenix Hagen,77,Rissetto A.
Schmidt D.,Phoenix Hagen,8,Schmidt D.
Razdevsek J.,Phoenix Hagen,44,Razdevsek J.
Nunez Rivera R.,Phoenix Hagen,1,Nunez Rivera R.
Jönke T.,Tigers Tübingen,26,Jönke T.
Edwardsson F.,Tigers Tübingen,8,Edwardsson F.
Bayram K.,Tigers Tübingen,5,Bayram K.
Moreaux M.,Tigers Tübingen,23,Moreaux M.
Sanders I.,Tigers Tübingen,10,Sanders I.
Oriane S.,Tigers Tübingen,7,Oriane S.
Tention M.,Tigers Tübingen,3,Tention M.
Milner L.,Tigers Tübingen,17,Milner L.
Wood J.,Tigers Tübingen,24,Wood J.
Pelote III B.,Tigers Tübingen,1,Pelote III B.
Ogunjobi A.,Tigers Tübingen,25,Ogunjobi A.
Benzing R.,GIESSEN 46ers,12,Benzing R.
Nyama R.,GIESSEN 46ers,24,Nyama R.
Maier J.,GIESSEN 46ers,13,Maier J.
König Figge L.,GIESSEN 46ers,14,König Figge L.
Norl D.,GIESSEN 46ers,1,Norl D.
Castlin K.,GIESSEN 46ers,7,Castlin K.
Krajcovic S.,GIESSEN 46ers,55,Krajcovic S.
Warnholtz A.,GIESSEN 46ers,3,Warnholtz A.
Müsse K.,GIESSEN 46ers,15,Müsse K.
Vukovic D.,GIESSEN 46ers,17,Vukovic D.
Junakovic M.,GIESSEN 46ers,22,Junakovic M.
