Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Worthing Thunder,"D. Evans, T. Mcindoe, B. Adeluola, E. Dadds, B. Lomeka",1,35,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,127.7,131.7,123.8,18.2,19.4,0,0,0,0,100,50,0,100,0,2,0,1,0,0,1,0,2,2,100,0,1,1,0,1,0,0,0,1,0,53.2,0,0,100,110.8,-110.8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Worthing Thunder,"C. Mcavoy-Smith, E. Maynard, A. Scarborough, A. Price, B. Lomeka",1,34,2,1,1,100,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,165.3,135.5,195.2,17.7,12.3,100,100,0,0,100,50,0,0,104.2,4,1,2,50,1,1,100,1,2,50,0,0,0,1,0,0,0,0,2,75,69.4,0,0,50,144.7,-40.5,1,1,100,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,100,0,0,0,0
Worthing Thunder,"M. Bryan-Amaning, J. Hopkins, E. Maynard, E. Dadds, B. Lomeka",1,30,3,1,2,50,1,2,50,0,0,0,0,0,0,1,0,0,0,0,1,115.2,153.6,76.8,15.6,31.2,75,75,100,0,0,0,0,100,156.2,2,1,2,50,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,50,50,0,100,50,208.3,-52.1,0,0,0,0,0,0,2,1,50,0,0,0,0,0,0,0,1,1,100,1,0,0,0,0,0,0
Worthing Thunder,"M. Bryan-Amaning, J. Hopkins, B. Adeluola, E. Dadds, B. Lomeka",1,56,0,0,2,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,1,91.3,82.3,100.4,29.2,23.9,0,0,0,0,66.7,0,0,50,0,2,1,3,33.3,0,1,0,0,1,0,1,2,3,0,0,0,0,0,2,33.3,29.1,0,33.3,33.3,85.4,-85.4,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,50,0,0,0,1,0,0,0,0,0,0
Worthing Thunder,"M. Bryan-Amaning, T. Dejesus, B. Adeluola, E. Dadds, B. Lomeka",1,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,148.6,148.6,148.6,16.1,16.1,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,0,100,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Yorkshire Dragons,"R. Ani, D. Ulph, B. Tew, J. Whelan, J. Mielke",1,60,2,1,2,50,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,76.8,76.8,76.8,31.2,31.2,50,50,0,100,100,33.3,0,0,104.2,2,1,2,50,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,50,50,0,0,50,104.2,0,2,1,50,0,0,0,0,0,0,1,0,0,0,1,1,100,0,0,0,1,0,0,0,0,0,0
Yorkshire Dragons,"R. Ani, E. Brownell, L. Rooney, J. Mielke, A. Lycoudis",1,45,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,99.3,102.4,96.3,23.4,24.9,0,0,0,0,0,50,0,100,0,3,1,1,100,0,0,0,1,2,50,0,1,1,0,1,0,0,0,1,100,79.8,0,0,0,166.2,-166.2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0
Yorkshire Dragons,"D. Ulph, A. Lycoudis, B. Tew, L. Rooney, C. Johnson",1,29,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,158.9,158.9,158.9,15.1,15.1,0,0,0,0,50,100,0,0,0,2,1,3,33.3,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,33.3,33.3,0,50,0,104.2,-104.2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,100,2,0,0,0,0,0,0,0,0,0
Yorkshire Dragons,"D. Ulph, A. Lycoudis, L. Rooney, J. Mielke, C. Johnson",1,52,3,1,2,50,1,2,50,0,0,0,0,0,0,1,0,0,0,0,1,86,88.6,83.3,27.1,28.8,75,75,100,0,0,0,0,100,156.2,2,0,0,0,0,0,0,2,2,100,0,1,1,0,0,0,1,1,1,0,113.6,53.2,0,0,110.8,45.4,0,0,0,0,0,0,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Yorkshire Dragons,"D. Ulph, B. Tew, J. Mielke, A. Lycoudis, C. Johnson",1,32,2,0,1,0,0,1,0,2,2,100,0,2,2,0,0,1,0,1,1,171.4,135.4,207.4,17.7,11.6,0,53.2,0,0,66.7,0,200,100,110.8,2,0,3,0,0,2,0,2,2,100,1,1,2,0,0,0,0,2,2,0,25.8,0,33.3,66.7,72.3,38.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
Yorkshire Dragons,"D. Ulph, E. Brownell, J. Mielke, C. Johnson, N. Lewis",1,61,0,0,3,0,0,3,0,0,0,0,1,1,2,0,0,0,0,0,1,75.5,75.5,75.5,31.8,31.8,0,0,0,33.3,100,0,0,100,0,3,1,2,50,1,2,50,0,0,0,0,2,2,0,0,0,0,0,1,75,75,0,0,100,156.2,-156.2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50,0,0,0,0
Yorkshire Dragons,"E. Brownell, J. Whelan, L. Rooney, J. Mielke, A. Lycoudis",1,36,2,1,2,50,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,92.2,128,56.3,18.8,42.6,50,50,100,0,0,0,0,50,104.2,1,0,0,0,0,0,0,1,2,50,0,1,1,0,0,0,0,0,0,0,56.8,0,0,0,118.4,-14.2,1,1,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birmingham Rockets,"R. Blain, P. Basioudis, Z. Powell, L. Duru, E. Donaldson",1,8,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,207.4,126.7,288,18.9,8.3,0,0,0,0,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Birmingham Rockets,"R. Blain, T. Grayling, O. Jackman, Z. Powell, F. Mughaal",1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,50.8,33.9,67.8,70.8,35.4,0,0,0,0,0,100,0,0,0,2,1,1,100,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,100,100,50,0,0,104.2,-104.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,100,0,0,0,1,0,0,0
Birmingham Rockets,"R. Blain, O. Jackman, L. Okosieme, E. Donaldson, F. Mughaal",1,37,3,1,1,100,1,1,100,0,0,0,0,0,0,1,0,0,0,0,0,58.5,62.3,54.8,38.5,43.8,150,150,100,0,0,0,0,100,312.5,1,0,0,0,0,0,0,1,2,50,0,0,0,0,0,0,0,0,0,0,56.8,0,0,0,118.4,194.1,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birmingham Rockets,"R. Blain, O. Jackman, E. Donaldson, A. Mutothori, M. Gayle",1,8,2,1,1,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,270.7,288,253.4,8.3,9.5,100,100,100,0,0,0,0,0,208.3,2,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,0,0,0,0,113.6,0,0,0,236.7,-28.4,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birmingham Rockets,"R. Blain, E. Donaldson, L. Mcgregor, F. Mughaal, M. Gayle",1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.4,48,460.8,50.0,5.2,0,0,0,0,0,0,0,0,0,2,1,2,50,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,50,50,0,100,0,208.3,-208.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50,0,0,0,0,0,0,0,0,0,0
Birmingham Rockets,"T. Grayling, L. Okosieme, E. Donaldson, A. Mutothori, F. Mughaal",1,38,2,1,1,100,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,60.6,60.6,60.6,39.6,39.6,100,100,0,0,100,0,0,0,208.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.3,1,1,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Birmingham Rockets,"Z. Powell, L. Duru, L. Mcgregor, F. Mughaal, M. Gayle",1,19,2,1,1,100,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,66.9,121.3,12.6,19.8,190.0,100,100,100,0,0,0,0,0,208.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.3,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birmingham Rockets,"Z. Powell, E. Donaldson, L. Mcgregor, F. Mughaal, M. Gayle",1,6,1,0,0,0,0,0,0,1,2,50,1,1,2,0,0,0,0,0,0,189,40,337.9,60.0,7.1,0,56.8,0,100,100,0,0,0,1000,1,0,0,0,0,0,0,1,2,50,0,0,0,0,0,0,0,1,0,0,56.8,0,0,0,118.4,881.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol Flyers II,"Y. Hafid, L. Ayinla, J. Craggs, L. Matthews, R. Bawden",1,22,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,57.8,104.7,10.9,22.9,220.0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol Flyers II,"Y. Hafid, L. Ayinla, R. Eigbe, N. Sagkovits, R. Bawden",1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,79.5,144,15,16.7,160.0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol Flyers II,"Y. Hafid, L. Ayinla, L. Ayinla, N. Ladjimi, W. Simba",1,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,74.7,79.4,69.9,30.2,34.3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,100,0,1,1,0,0,0,0,0,0,0,113.6,0,0,0,236.7,-236.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol Flyers II,"Y. Hafid, L. Ayinla, L. Ayinla, W. Simba, E. Ekwegh",1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.9,15,126.7,160.0,18.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,50,0,0,0,0,0,0,0,0,0,0,56.8,0,0,0,118.4,-118.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol Flyers II,"Y. Hafid, D. Rowaiye, J. Craggs, N. Ladjimi, T. Browne",1,29,3,1,1,100,1,1,100,0,0,0,0,0,0,1,0,0,0,1,0,43.9,79.4,8.3,30.2,290.0,150,150,100,0,0,0,0,100,312.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.5,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol Flyers II,"Y. Hafid, D. Rowaiye, J. Craggs, L. Matthews, E. Ekwegh",1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,80.0,80.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,50,1,0,1,0,0,0,0,1,0,0,56.8,0,100,0,1000,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol Flyers II,"Y. Hafid, D. Rowaiye, J. Craggs, E. Ekwegh, R. Bawden",1,38,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,60.6,60.6,60.6,39.6,39.6,0,0,0,0,50,0,0,100,0,0,0,2,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Bristol Flyers II,"Y. Hafid, D. Rowaiye, R. Eigbe, N. Ladjimi, A. Bhebhe",1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,135.5,135.5,135.5,17.7,17.7,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
