Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Bristol Hurricanes,"D. Edozie, D. Ubiaro, C. Samuels, V. Dilys, C. Taylor","Bristol Hurricanes|1,31,4,55,9",2,6.4,386.0,16,6,14,42.9,1,3,33.3,3,4,75.0,0,0,0,6,0,0,3,0,19,18.0,88.8,116.4,-27.6,2.49,-3
London Cavaliers,"J. Manning, M. Collins, D. Braster, D. Ainembabazi, A. Roberts","London Cavaliers|10,13,23,3,4",2,6.3,381.0,11,5,11,45.5,1,4,25.0,0,2,0.0,0,0,0,2,0,0,0,0,7,11.4,96.5,56.6,39.8,1.73,4
Worthing Thunder,"D. Evans, J. Hopkins, E. Maynard, A. Scarborough, B. Adeluola","Worthing Thunder|0,15,22,4,5",2,6.3,381.0,12,4,9,44.4,1,2,50.0,3,6,50.0,0,0,0,2,0,0,0,0,12,11.2,107.4,97.0,10.3,1.89,0
Derby Trailblazers,"C. Washington, J. Pathmarajah, S. Walker, C. Brown, R. May-Thompson","Derby Trailblazers|13,22,3,4,7",2,6.0,363.0,18,6,11,54.5,0,2,0.0,6,7,85.7,0,0,0,3,0,0,2,0,6,15.4,116.6,58.1,58.5,2.98,12
Bristol Hurricanes,"E. Dusha, K. Hill, D. Ubiaro, V. Dilys","Bristol Hurricanes|12,2,31,55",1,6.0,359.0,18,7,11,63.6,4,6,66.7,0,0,0,0,0,0,5,0,0,3,0,13,13.4,133.9,97.6,36.4,3.01,5
London Cavaliers,"J. Manning, M. Collins, M. Beasley, D. Braster, D. Ainembabazi","London Cavaliers|10,13,15,23,3",2,5.8,348.0,7,3,8,37.5,1,4,25.0,0,1,0.0,0,0,0,2,0,0,3,0,16,11.0,63.7,124.0,-60.3,1.21,-9
Reading Rockets,"M. Bryant, C. Creek, J. Bouknight, M. Allman, V. Olarerin","Reading Rockets|10,14,4,5,8",1,5.8,350.0,15,4,10,40.0,1,6,16.7,6,8,75.0,0,0,0,2,0,0,0,0,16,13.0,115.6,106.6,9.0,2.57,-1
Bristol Hurricanes,"A. Pearce, D. Edozie, D. Ubiaro, C. Samuels, V. Dilys","Bristol Hurricanes|0,1,31,4,55",1,5.7,340.0,6,3,7,42.9,0,0,0,0,1,0.0,0,0,0,0,0,0,2,0,6,9.1,66.2,79.3,-13.1,1.06,0
Milton Keynes Breakers,"D. Jackson, J. Dietrich, M. New Jr., J. Spencer, C. Thompson","Milton Keynes Breakers|1,12,15,23,8",2,5.2,309.0,9,2,7,28.6,1,5,20.0,4,4,100.0,0,0,0,1,0,0,4,0,16,12.2,73.5,118.4,-44.9,1.75,-7
Milton Keynes Breakers,"D. Jackson, B. Baker-Mccann, J. Dietrich, X. Wilson, C. Thompson","Milton Keynes Breakers|1,11,12,21,8",1,5.2,310.0,2,1,9,11.1,0,4,0.0,0,0,0,0,0,0,0,0,0,2,0,6,10.6,18.9,52.1,-33.1,0.39,-4
Reading Rockets,"M. Bryant, T. Nsangu, Y. Salih, E. Poorman, V. Olarerin","Reading Rockets|10,12,5,6,8",2,4.9,296.0,8,3,5,60.0,0,2,0.0,2,3,66.7,0,0,0,2,0,0,2,0,6,8.0,100.2,69.4,30.7,1.62,2
Loughborough Riders,"J. Campbell, P. Karras, M. Gordon, J. Cook, T. Akinsuku","Loughborough Riders|0,15,22,31,36",1,4.8,287.0,4,2,5,40.0,0,2,0.0,0,2,0.0,0,0,0,0,0,0,3,0,5,8.5,46.9,43.4,3.5,0.84,-1
Birmingham Rockets,"O. Jackman, E. Donaldson, L. Mcgregor, F. Mughaal, M. Gayle","Birmingham Rockets|13,3,6,7,8",1,4.8,290.0,8,3,6,50.0,1,3,33.3,1,1,100.0,0,0,0,3,0,0,1,0,7,7.1,112.0,81.0,31.0,1.66,1
