Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Hemel Storm,"D. Nelson-Henry, T. Johnson, M. Norman, D. Parkinson, B. Inger","Hemel Storm|10,12,2,23,3",1,0.5,28.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.0,0.0,208.3,-208.3,0.0,-4
Yorkshire Dragons,"D. Ulph, L. Rooney, J. Melke, A. Lycoudis, C. Johnson","Yorkshire Dragons|10,14,5,7,9",1,0.5,32.0,2,0,1,0.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,0,0,2,1.8,110.8,53.7,57.1,3.75,0
Worthing Thunder,"D. Evans, M. Bryan-Amaning, J. Hopkins, A. Scarborough, B. Adeluola","Worthing Thunder|0,11,15,4,5",1,0.5,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0
Essex Rebels,"K. Martin, R. Udeh, M. Brown, T. Child, H. Gent","Essex Rebels|10,14,2,22,36",1,0.5,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0
Milton Keynes Breakers,"J. Dietrich, X. Wilson, J. Spencer, B. Freckleton, C. Thompson","Milton Keynes Breakers|12,21,23,7,8",1,0.5,29.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,208.3,0.0,208.3,4.14,2
Hemel Storm,"M. Sokoli, V. Eze, B. Inger, S. Newman, J. Rai","Hemel Storm|0,21,3,4,5",1,0.5,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.1,0.0,208.3,-208.3,0.0,-2
Birmingham Rockets,"O. Jackman, Z. Powell, L. Mcgregor, F. Mughaal, M. Gayle","Birmingham Rockets|13,14,6,7,8",1,0.5,28.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,208.3,0.0,208.3,4.29,2
Hemel Storm,"D. Nelson-Henry, M. Norman, D. Parkinson, B. Inger, S. Newman","Hemel Storm|10,2,23,3,4",1,0.4,22.0,0,0,3,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0.0,0.0,0.0,0.0,0
Bristol Hurricanes,"D. Edozie, J. Claar, D. Ubiaro, C. Samuels, V. Dilys","Bristol Hurricanes|1,24,31,4,55",1,0.4,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0.1,0.0,312.5,-312.5,0.0,-3
Reading Rockets,"M. Bryant, T. Nsangu, C. Creek, E. Poorman, L. Champion","Reading Rockets|10,12,14,6,7",1,0.4,23.0,4,0,0,0,0,0,0,4,5,80.0,0,0,0,0,0,0,1,0,2,3.1,130.2,42.7,87.5,10.43,2
Yorkshire Dragons,"D. Ulph, L. Rooney, J. Whelan, J. Melke, C. Johnson","Yorkshire Dragons|10,14,23,5,9",1,0.4,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0
Essex Rebels,"K. Martin, R. Udeh, M. Brown, A. Idiata-Mendez, H. Gent","Essex Rebels|10,14,2,20,36",1,0.4,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1.0,0.0,208.3,-208.3,0.0,-4
Nottingham Hoods,"T. Williams, B. Johnson, T. Walker, E. Bailey, S. Akano","Nottingham Hoods|0,25,4,6,7",1,0.4,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0.1,0.0,312.5,-312.5,0.0,-3
Hemel Storm,"D. Nelson-Henry, T. Johnson, M. Norman, V. Eze, S. Newman","Hemel Storm|10,12,2,21,4",1,0.4,23.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.9,0.0,118.4,-118.4,0.0,-1
Loughborough Riders,"J. Campbell, B. Woog, M. Joiner, C. Nyarko, D. Hadley","Loughborough Riders|0,10,11,3,5",1,0.4,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.1,0.0,208.3,-208.3,0.0,-2
Reading Rockets,"C. Creek, J. Bouknight, Y. Salih, E. Poorman, V. Olarerin","Reading Rockets|14,4,5,6,8",1,0.4,26.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,208.3,0.0,208.3,4.62,2
Yorkshire Dragons,"R. Ani, D. Ulph, E. Brownell, J. Melke, C. Johnson","Yorkshire Dragons|1,10,2,5,9",1,0.4,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.1,0.0,208.3,-208.3,0.0,-2
Milton Keynes Breakers,"D. Jackson, L. Gregory, M. New Jr., J. Spencer, B. Freckleton","Milton Keynes Breakers|1,13,15,23,7",1,0.4,22.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,208.3,0.0,208.3,5.45,2
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, M. Jones, R. Reed, S. Angus","Newcastle Knights|1,10,11,5,6,7",1,0.4,23.0,2,0,0,0,0,0,0,2,2,100.0,0,0,0,0,0,0,0,0,0,0.8,236.7,0.0,236.7,5.22,2
Reading Rockets,"M. Bryant, M. Allman, L. Champion, V. Olarerin, S. Chamberlain","Reading Rockets|10,5,7,8,9",1,0.3,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0.0,208.3,-208.3,0.0,-2
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, J. Soodeen, M. Jones","Newcastle Knights|1,10,11,12,5",1,0.3,20.0,3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,312.5,36.2,276.3,9.0,2
Hemel Storm,"D. Nelson-Henry, T. Johnson, M. Norman, V. Eze, D. Parkinson","Hemel Storm|10,12,2,21,23",1,0.3,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.1,0.0,208.3,-208.3,0.0,-2
Essex Rebels,"M. Wol-Cummings, M. Amako, K. Martin, T. Child, T. Hudson","Essex Rebels|0,1,10,22,9",1,0.3,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
Milton Keynes Breakers,"D. Jackson, J. Dietrich, L. Gregory, J. Spencer, C. Thompson","Milton Keynes Breakers|1,12,13,23,8",1,0.3,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.0,118.4,-118.4,0.0,-1
Loughborough Riders,"J. Campbell, B. Woog, P. Karras, M. Gordon, J. Cook","Loughborough Riders|0,10,15,22,31",1,0.3,21.0,1,0,0,0,0,0,0,1,2,50.0,0,0,0,1,0,0,0,0,0,0.8,118.4,0.0,118.4,2.86,1
Birmingham Rockets,"Z. Powell, L. Okosieme, E. Donaldson, L. Mcgregor, M. Gayle","Birmingham Rockets|14,21,3,6,8",1,0.3,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
Hemel Storm,"K. Walker, S. Lewis, B. Inger, S. Newman, J. Burnell","Hemel Storm|11,24,3,4,7",1,0.3,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0.1,0.0,312.5,-312.5,0.0,-3
Milton Keynes Breakers,"B. Baker-Mccann, L. Gregory, M. New Jr., J. Spencer, B. Freckleton","Milton Keynes Breakers|11,13,15,23,7",1,0.3,19.0,3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,312.5,0.0,312.5,9.47,3
Loughborough Riders,"V. Ndukou, T. Akinsuku, L. Campbell, S. Wylie, C. Keys","Loughborough Riders|21,36,4,43,8",1,0.3,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,0.0,312.5,-312.5,0.0,-3
Loughborough Riders,"J. Campbell, V. Ndukou, J. Cook, T. Akinsuku, C. Keys","Loughborough Riders|0,21,31,36,8",1,0.3,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.1,0.0,208.3,-208.3,0.0,-2
Yorkshire Dragons,"D. Ulph, J. Whelan, J. Mielke, C. Johnson, N. Lewis","Yorkshire Dragons|10,23,5,9,93",1,0.3,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,0.0,312.5,-312.5,0.0,-3
Birmingham Rockets,"O. Jackman, Z. Powell, E. Donaldson, L. Mcgregor, F. Mughaal","Birmingham Rockets|13,14,3,6,7",1,0.3,20.0,3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,312.5,0.0,312.5,9.0,3
Birmingham Rockets,"O. Jackman, Z. Powell, E. Donaldson, F. Mughal, M. Gayle","Birmingham Rockets|13,14,3,7,8",1,0.2,10.0,0,0,2,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1.9,0.0,118.4,-118.4,0.0,-1
Essex Rebels,"M. Amako, K. Martin, M. Brown, A. Idiata-Mendez, H. Gent","Essex Rebels|1,10,2,20,36",1,0.2,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.1,0.0,208.3,-208.3,0.0,-2
Worthing Thunder,"D. Evans, J. Hopkins, T. Mcindoe, A. Scarborough, B. Adeluola","Worthing Thunder|0,15,23,4,5",1,0.2,10.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,208.3,0.0,208.3,12.0,2
Bristol Flyers II,"Y. Hafid, N. Sagkovits, N. Ladjimi, W. Simba, G. Landolfi","Bristol Flyers II|0,21,24,6,7",1,0.2,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0.1,0.0,217.0,-217.0,0.0,-3
Milton Keynes Breakers,"B. Baker-Mccann, J. Dietrich, M. New Jr., J. Spencer, C. Thompson","Milton Keynes Breakers|11,12,15,23,8",1,0.2,15.0,1,0,0,0,0,0,0,1,1,100.0,0,0,0,0,0,0,0,0,0,0.4,236.7,0.0,236.7,4.0,1
Essex Rebels,"M. Wol-Cummings, M. Amako, K. Martin, M. Brown, T. Hudson","Essex Rebels|0,1,10,2,9",1,0.2,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1.0,0.0,110.8,-110.8,0.0,-2
Derby Trailblazers,"C. Washington, R. Marsden, C. Brown, R. May-Thompson, M. Smith","Derby Trailblazers|13,30,4,7,9",1,0.2,10.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
Bristol Hurricanes,"E. Dusha, D. Ubiaro, V. Dilys","Bristol Hurricanes|12,31,55",1,0.2,10.0,1,0,0,0,0,0,0,1,2,50.0,0,0,0,0,0,0,0,0,0,0.8,118.4,0.0,118.4,6.0,1
London Cavaliers,"J. Manning, J. Richards, M. Beasley, D. Braster, O. Pond-Mckenzie","London Cavaliers|10,11,15,23,5",1,0.2,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
Loughborough Riders,"J. Campbell, J. Cook, M. Gordon, B. Woog, C. Keys","Loughborough Riders|0,12,22,7,8",1,0.2,15.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,4,1.0,0.0,221.6,-221.6,0.0,-4
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, W. Neighbour, M. Matthews","Newcastle Knights|1,10,11,15,8",1,0.2,13.0,2,0,2,0.0,0,0,0,2,2,100.0,0,0,0,0,0,0,0,0,0,2.8,72.3,0.0,72.3,9.23,2
Essex Rebels,"M. Amako, K. Martin, D. Johnson-Thompson, M. Brown, T. Child","Essex Rebels|1,10,13,2,22",1,0.2,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0.0,72.3,-72.3,0.0,-2
London Cavaliers,"M. Collins, M. Beasley, D. Braster, A. Roberts, O. Pond-Mckenzie","London Cavaliers|13,15,23,4,5",1,0.1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0
Birmingham Rockets,"Z. Powell, E. Donaldson, L. Mcgregor, F. Mughal, M. Gayle","Birmingham Rockets|14,3,6,7,8",1,0.1,6.0,1,0,0,0,0,0,0,1,2,50.0,0,0,0,0,0,0,0,0,1,0.8,118.4,118.4,0.0,10.0,0
Milton Keynes Breakers,"J. Dietrich, M. New Jr., J. Spencer, B. Freckleton, C. Thompson","Milton Keynes Breakers|12,15,23,7,8",1,0.1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
Nottingham Hoods,"B. Johnson, A. Sandu-Nelson, L. Maitland, S. Akano, M. Savery-Richards","Nottingham Hoods|25,5,55,7,8",1,0.1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
Nottingham Hoods,"D. Nixon Ii, L. Maitland, E. Bailey, S. Akano, M. Savery-Richards","Nottingham Hoods|12,55,6,7,8",1,0.1,4.0,0,0,0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,1,0.8,0.0,118.4,-118.4,0.0,-1
Loughborough Riders,"J. Campbell, M. Joiner, J. Cook, T. Akinsuku, S. Wylie","Loughborough Riders|0,11,31,36,43",1,0.1,8.0,0,0,2,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,2,1.9,0.0,236.7,-236.7,0.0,-2
Nottingham Hoods,"M. Sokoli, T. Williams, B. Johnson, L. Maitland, S. Akano","Nottingham Hoods|0,1,25,55,7",1,0.1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0.0,236.7,-236.7,0.0,-2
Nottingham Hoods,"M. Sokoli, T. Williams, L. Maitland, E. Bailey, S. Akano","Nottingham Hoods|0,1,55,6,7",1,0.1,9.0,0,0,2,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0,0.0,0.0,0.0,0
Birmingham Rockets,"R. Blain, E. Donaldson, L. Mcgregor, F. Mughaal, M. Gayle","Birmingham Rockets|0,3,6,7,8",1,0.1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0.0,104.2,-104.2,0.0,-2
Essex Rebels,"K. Martin, M. Brown, T. Child, H. Gent, T. Hudson","Essex Rebels|10,2,22,36,9",1,0.1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0.0,236.7,-236.7,0.0,-2
Worthing Thunder,"D. Evans, M. Bryan-Amaning, J. Hopkins, E. Maynard, E. Dadds","Worthing Thunder|0,11,15,22,7",1,0.1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1.0,0.0,236.7,-236.7,0.0,-2
Loughborough Riders,"J. Campbell, M. Joiner, T. Akinsuku, S. Wylie, C. Keys","Loughborough Riders|0,11,36,43,8",1,0.1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
Nottingham Hoods,"T. Williams, J. Griffith, B. Johnson, S. Akano, M. Savery-Richards","Nottingham Hoods|0,15,25,7,8",1,0.1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.1,0.0,236.7,-236.7,0.0,-2
Essex Rebels,"K. Martin, D. Johnson-Thompson, R. Udeh, M. Brown, T. Child","Essex Rebels|10,13,14,2,22",1,0.1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
Newcastle Knights,"B. Dean, J. Thames, H. Abdul, M. Jones, M. Matthews","Newcastle Knights|1,11,3,5,8",1,0.1,8.0,1,0,0,0,0,0,0,1,2,50.0,0,0,0,0,0,0,0,0,0,0.8,118.4,0.0,118.4,7.5,1
Essex Rebels,"M. Amako, R. Udeh, A. Idiata-Mendez, T. Child, T. Hudson","Essex Rebels|1,14,20,22,9",1,0.1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
Nottingham Hoods,"T. Williams, A. Thomson, M. Savery-Richards, B. Johnson, S. Akano","Nottingham Hoods|1,11,14,21,7",1,0.1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
Yorkshire Dragons,"R. Ani, P. Tew, J. Whelan, J. Melke, C. Johnson","Yorkshire Dragons|1,14,23,5,9",1,0.1,3.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,118.4,-118.4,0.0,-1
Milton Keynes Breakers,"D. Jackson, J. Dietrich, X. Wilson, B. Freckleton, C. Thompson","Milton Keynes Breakers|1,12,21,7,8",1,0.1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.1,0.0,236.7,-236.7,0.0,-2
Reading Rockets,"M. Bryant, T. Nsangu, C. Creek, Y. Salih, V. Olarerin","Reading Rockets|10,12,14,5,8",1,0.1,3.0,1,0,1,0.0,0,1,0.0,1,2,50.0,0,0,0,0,0,0,0,0,3,1.8,55.4,177.6,-122.1,20.0,-2
Milton Keynes Breakers,"C. Thompson, M. New Jr, X. Wilson, J. Spencer, B. Freckleton","Milton Keynes Breakers|10,15,21,23,7",1,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
Loughborough Riders,"M. Joiner, P. Karras, M. Gordon, L. Campbell, D. Hadley","Loughborough Riders|11,15,22,4,5",1,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
Milton Keynes Breakers,"D. Jackson, J. Dietrich, M. New Jr., X. Wilson, J. Spencer","Milton Keynes Breakers|1,12,15,21,23",1,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
Bristol Flyers II,"J. Craggs, R. Eigbe, N. Ladjimi, A. Bhebhe, G. Landolfi","Bristol Flyers II|12,13,24,4,7",1,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
Reading Rockets,"M. Bryant, T. Nsangu, C. Creek, E. Poorman, V. Olarerin","Reading Rockets|10,12,14,6,8",1,0.0,2.0,2,0,0,0,0,0,0,2,2,100.0,0,0,0,0,0,0,0,0,0,0.8,236.7,0.0,236.7,60.0,2
Hemel Storm,"D. Nelson-Henry, V. Eze, D. Parkinson, B. Inger, S. Newman","Hemel Storm|10,21,23,3,4",1,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
