Team Name,Play Type,Player,POSS,%TIME,%TIME RANK,PTS,PPP,PPP RANK,PPP RATING,FG ATT,FG MADE,FG MISS,FG%,EFG%,SSQ,PPS,SSM,TS%,TSA,TO%,%FT,FTA/FGA,%SF,SCORE%,2 FG ATT,2 FG MADE,2 FG MISS,2 FG%,3FG ATT,3 FG MADE,3 FG MISS,3 FG%,3PA/FGA
Sheffield Sharks,Miscellaneous Plays,#2Prentiss Nixon,6,7.9%,-,3,0.500,-,-,2,1,1,50.0%,75.0%,0.05,1.50,+1.45,75.0%,2,66.7%,0.0%,0.00,0.0%,16.7%,0,0,0,-,2,1,1,50.0%,1.00
Sheffield Sharks,Miscellaneous Plays,#11Rodney Glasgow,6,7.9%,-,2,0.333,-,-,0,0,0,-,-,-,-,-,113.6%,1,83.3%,16.7%,-,0.0%,16.7%,0,0,0,-,0,0,0,-,-
Sheffield Sharks,Miscellaneous Plays,#1Dirk Williams,5,6.6%,-,3,0.600,-,-,3,1,2,33.3%,50.0%,0.27,1.00,+0.73,50.0%,3,40.0%,0.0%,0.00,0.0%,20.0%,0,0,0,-,3,1,2,33.3%,1.00
Sheffield Sharks,Miscellaneous Plays,#4William Lee,4,5.3%,-,1,0.250,-,-,0,0,0,-,-,-,-,-,56.8%,1,75.0%,25.0%,-,25.0%,25.0%,0,0,0,-,0,0,0,-,-
Sheffield Sharks,Post-Up,#24Nick Kern,22,32.4%,25%,23,1.045,70%,Very Good,17,11,6,64.7%,64.7%,0.86,1.29,+0.43,65.9%,17,22.7%,4.5%,0.06,4.5%,50.0%,17,11,6,64.7%,0,0,0,-,0.00
Sheffield Sharks,Post-Up,#23Jalen Deloach,22,32.4%,65%,16,0.727,35%,Average,13,6,7,46.2%,46.2%,0.87,0.92,+0.05,49.8%,16,27.3%,18.2%,0.54,18.2%,36.4%,13,6,7,46.2%,0,0,0,-,0.00
Sheffield Sharks,Post-Up,#15Mike Ochereobia,19,27.9%,95%,13,0.684,20%,Below Average,11,6,5,54.5%,54.5%,1.03,1.09,+0.06,50.9%,13,31.6%,10.5%,0.36,5.3%,36.8%,11,6,5,54.5%,0,0,0,-,0.00
Sheffield Sharks,Post-Up,#5Mervin James,3,4.4%,-,0,0.000,-,-,3,0,3,0.0%,0.0%,0.94,0.00,-0.94,0.0%,3,0.0%,0.0%,0.00,0.0%,0.0%,3,0,3,0.0%,0,0,0,-,0.00
Sheffield Sharks,Post-Up,#2Prentiss Nixon,1,1.5%,-,3,3.000,-,-,1,1,0,100.0%,100.0%,0.73,2.00,+1.27,104.2%,1,0.0%,100.0%,1.00,100.0%,100.0%,1,1,0,100.0%,0,0,0,-,0.00
Sheffield Sharks,Post-Up,#4William Lee,1,1.5%,-,0,0.000,-,-,1,0,1,0.0%,0.0%,0.59,0.00,-0.59,0.0%,1,0.0%,0.0%,0.00,0.0%,0.0%,1,0,1,0.0%,0,0,0,-,0.00
Sheffield Sharks,Isolation,#1Dirk Williams,16,25.4%,50%,19,1.188,88%,Excellent,14,7,7,50.0%,53.6%,0.86,1.07,+0.21,58.6%,16,0.0%,18.8%,0.36,18.8%,56.3%,10,6,4,60.0%,4,1,3,25.0%,0.29
Sheffield Sharks,Isolation,#24Nick Kern,13,20.6%,31%,8,0.615,31%,Average,9,3,6,33.3%,33.3%,0.82,0.67,-0.15,40.5%,10,23.1%,7.7%,0.22,7.7%,30.8%,9,3,6,33.3%,0,0,0,-,0.00
