Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Solent Kestrels Senior Men,L. Busumbru,11,L. Busumbru,11,29.1,320.1,122.0,11.1,44.0,84.0,52.4,7.0,22.0,31.8,27.0,46.0,58.7,15.0,56.0,71.0,58.0,15.0,7.0,21.0,12.0,105.8,16.2,10.7,5.1,6.2,132,254.0,23.1,22.2,4,4.0,3,3,46.3,7.3,1,10.17,0.75,9.42,2.7,2.0,42.0,28.0,66.7,16.0,7.0,43.8,19.0,6.0,31.6,19.0,0.0,15.0,5.0,0.0,1.0,18.0,50.0,43.0
London Stars Senior Men,N. Cassel,53/6/83,N. Cassel,11,18.1,199.2,104.0,9.5,31.0,78.0,39.7,17.0,41.0,41.5,25.0,30.0,83.3,1.0,20.0,21.0,23.0,10.0,1.0,21.0,15.0,106.8,24.8,8.6,1.9,1.7,68,172.0,15.6,14.2,11,2.8,6,2,79.9,7.9,4,2.26,-1.17,3.43,2.1,2.0,18.0,7.0,38.9,19.0,7.0,36.8,41.0,17.0,41.5,4.0,4.0,10.0,7.0,0.0,4.0,12.0,33.0,26.0
CoLA Southwark Pride Senior Men,K. Capanzana,11,K. Capanzana,11,23.6,260.1,93.0,8.5,27.0,88.0,30.7,14.0,50.0,28,25.0,32.0,78.1,7.0,29.0,36.0,34.0,14.0,1.0,26.0,14.0,116.2,21.6,7.4,2.7,2.9,79,172.0,15.6,13.7,24,3.0,21,3,53.8,27.3,8,0.4,-3.09,3.5,2.0,2.1,26.0,10.0,38.5,12.0,3.0,25,50.0,14.0,28,8.0,2.0,14.0,9.0,0.0,3.0,32.0,27.0,38.0
CoLA Southwark Pride Senior Men,A. Nwokolo,15,A. Nwokolo,11,18.7,205.7,90.0,8.2,28.0,72.0,38.9,2.0,18.0,11.1,32.0,54.0,59.3,15.0,22.0,37.0,6.0,16.0,4.0,27.0,19.0,103.4,24.3,7.2,0.5,3.0,19,109.0,9.9,8.7,18,6.0,13,12,49.2,19.3,3,-1.62,-5.73,4.1,3.5,3.4,47.0,25.0,53.2,7.0,1.0,14.3,18.0,2.0,11.1,14.0,1.0,7.0,9.0,0.0,11.0,30.0,33.0,40.0
Solent Kestrels Senior Men,G. Durand,10,G. Durand,11,25.1,276.1,83.0,7.5,32.0,96.0,33.3,3.0,26.0,11.5,16.0,34.0,47.1,17.0,53.0,70.0,33.0,16.0,2.0,14.0,19.0,103.6,18.4,7.3,2.9,6.1,74,157.0,14.3,13.7,0,0.0,3,2,0.0,3.9,2,3.38,-4.48,7.85,3.0,4.0,17.0,10.0,58.8,50.0,18.0,36,22.0,2.0,9.1,5.0,0.0,5.0,7.0,0.0,2.0,13.0,20.0,23.0
Richmond Knights Senior Men,K. Hypolite-Sealy,14,K. Hypolite-Sealy,11,24.6,270.9,78.0,7.1,28.0,85.0,32.9,4.0,16.0,25,18.0,27.0,66.7,21.0,53.0,74.0,23.0,7.0,5.0,29.0,27.0,100.7,17.3,6.0,1.8,5.7,58,136.0,12.4,10.5,15,3.0,11,7,53.3,16.1,5,-3.6,-7.01,3.41,3.9,3.5,35.0,15.0,42.9,34.0,9.0,26.5,16.0,4.0,25,6.0,0.0,9.0,12.0,2.0,6.0,13.0,35.0,22.0
Sheffield Sharks Senior Men,N. Montgomery,2/4,N. Montgomery,11,21.7,239.0,73.0,6.6,23.0,85.0,27.1,14.0,54.0,25.9,13.0,17.0,76.5,4.0,14.0,18.0,26.0,8.0,0.0,22.0,19.0,106.1,21.7,4.5,1.6,1.1,142,215.0,19.5,13.1,5,1.2,5,3,39.6,7.3,4,-5.99,-5.55,-0.44,1.7,3.0,13.0,6.0,46.2,18.0,3.0,16.7,54.0,14.0,25.9,5.0,5.0,16.0,5.0,0.0,1.0,7.0,20.0,12.0
London Stars Senior Men,S. Pleszak,5,S. Pleszak,11,12.1,132.6,48.0,4.4,19.0,48.0,39.6,9.0,25.0,36,1.0,2.0,50,3.0,15.0,18.0,7.0,6.0,6.0,7.0,13.0,50.8,17.7,4.0,0.6,1.5,18,66.0,6.0,5.5,6,2.0,4,0,75.0,4.0,3,1.12,-3.35,4.47,3.4,3.8,19.0,7.0,36.8,4.0,3.0,75,25.0,9.0,36,2.0,2.0,2.0,3.0,0.0,2.0,9.0,16.0,22.0
Greenwich Titans Senior Men,H. Yusuf,2/6,H. Yusuf,11,18.8,206.4,46.0,4.2,18.0,47.0,38.3,1.0,13.0,7.7,9.0,18.0,50,10.0,23.0,33.0,14.0,11.0,5.0,15.0,17.0,57.5,12.4,3.6,1.1,2.6,71,117.0,10.6,9.3,0,0.0,1,0,0.0,1.0,1,-4.45,-6.61,2.16,3.2,4.0,30.0,16.0,53.3,4.0,1.0,25,13.0,1.0,7.7,10.0,0.0,5.0,7.0,0.0,3.0,5.0,5.0,13.0
Birmingham City University Senior Men,M. Mahamoud,14/2,M. Mahamoud,11,15.7,172.5,42.0,3.8,17.0,43.0,39.5,4.0,17.0,23.5,4.0,6.0,66.7,12.0,14.0,26.0,16.0,11.0,3.0,22.0,33.0,53.4,14.0,2.4,0.9,1.5,58,100.0,9.1,5.7,0,0.0,1,0,0.0,1.0,1,-2.56,-8.04,5.48,3.0,3.9,19.0,11.0,57.9,6.0,2.0,33.3,17.0,4.0,23.5,9.0,1.0,10.0,6.0,0.0,6.0,8.0,13.0,20.0
