Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Högsbo Basket,"Charles Barton, Tony Vitali, Jonathan Peleg, Anes Zekovic, Alexander Karras","Högsbo Basket|0,22,26,6,7",0,Charles Barton,22,Tony Vitali,7,14,0,7,4,1.75,3.5
BC Luleå,"Daniel Hansson, Tobias Sjöberg, Felix Broström, Caleb McGill, Gustav Hansson","BC Luleå|0,15,17,24,7",0,Daniel Hansson,15,Tobias Sjöberg,7,14,0,7,7,1.0,2.0
Nässjö Basket,"Mirko Djeric, Steven Strong Jr, Anton Lindqvist, Dartaye Ruffin, Anton Johansson","Nässjö Basket|1,2,20,21,4",1,Mirko Djeric,21,Dartaye Ruffin,7,14,0,7,6,1.17,2.33
Norrköping Dolphins,"Pierre Hampton, Hugo Bergström, Benjamin Middlebrooks, Zachary Harvey, Nathan Dawit","Norrköping Dolphins|15,21,34,88,94",21,Hugo Bergström,94,Nathan Dawit,5,14,4,1,5,1.0,2.8
Jämtland Basket,"Keaston Willis, Denzel George, Michael Christmas, Adam Johansson, Brayden Parker","Jämtland Basket|0,22,25,3,7",3,Adam Johansson,25,Michael Christmas,5,14,4,1,3,1.67,4.67
Borås Basket,"Ali Sow, Oskar Palmquist, AJ Clayton, John Brändmark, Fredrik Andersson","Borås Basket|1,2,23,66,8",1,Ali Sow,2,Oskar Palmquist,7,14,0,7,6,1.17,2.33
Köping Stars,"Romello White, Marreon Jamar Jackson, Dragos Andrei Diculescu, Sekou Sylla, Romeo Myrthil","Köping Stars|0,3,31,5,7",3,Marreon Jamar Jackson,5,Sekou Sylla,6,14,2,4,5,1.2,2.8
Köping Stars,"Romello White, Marreon Jamar Jackson, Dragos Andrei Diculescu, Sekou Sylla, Romeo Myrthil","Köping Stars|0,3,31,5,7",7,Romeo Myrthil,31,Dragos Andrei Diculescu,7,14,0,7,6,1.17,2.33
BC Luleå,"Daniel Hansson, Tobias Sjöberg, Felix Broström, Caleb McGill, Gustav Hansson","BC Luleå|0,15,17,24,7",15,Tobias Sjöberg,24,Caleb McGill,6,13,1,5,5,1.2,2.6
Jämtland Basket,"Keaston Willis, Denzel George, Michael Christmas, Adam Johansson, Michael Marsh","Jämtland Basket|0,22,25,3,5",3,Adam Johansson,25,Michael Christmas,5,13,3,2,5,1.0,2.6
BC Luleå,"Harry Hassler, Robert Carpenter, Sergey Sepman, Daniel Hansson, Antonio Daye","BC Luleå|13,21,3,6,67",67,Antonio Daye,21,Robert Carpenter,5,13,3,2,3,1.67,4.33
Norrköping Dolphins,"Tim Schüberg, Pierre Hampton, Benjamin Middlebrooks, Zachary Harvey, Nathan Dawit","Norrköping Dolphins|0,15,34,88,94",94,Nathan Dawit,88,Zachary Harvey,5,13,3,2,4,1.25,3.25
Sloga Uppsala,"Jonathan Ninkingira, Richie Springs, Marko Dujkovic, Milutin Vujicic, Markeith Browning II","Sloga Uppsala|12,2,22,27,3",3,Markeith Browning II,2,Richie Springs,5,13,3,2,3,1.67,4.33
Södertälje BBK,"Mason Daniel Madsen, Ayanfeoluwa Amoran, Carren Deroyce Wilson JR, Nicholas Spires, Oliver Gehrke","Södertälje BBK|10,11,2,30,31",2,Carren Deroyce Wilson JR,10,Mason Daniel Madsen,5,13,3,2,2,2.5,6.5
Borås Basket,"Ali Sow, Justin Vander Baan, Oskar Palmquist, AJ Clayton, John Brändmark","Borås Basket|1,18,2,23,66",1,Ali Sow,18,Justin Vander Baan,6,12,0,6,6,1.0,2.0
Jämtland Basket,"André Jonsson Lorentsson, Denzel George, Michael Christmas, Adam Johansson, Samari Curtis","Jämtland Basket|13,22,25,3,41",22,Denzel George,25,Michael Christmas,4,12,4,0,2,2.0,6.0
Högsbo Basket,"Charles Barton, Isaiah Hill, Tony Vitali, Jonathan Peleg, Anes Zekovic","Högsbo Basket|0,1,22,26,6",0,Charles Barton,6,Anes Zekovic,4,12,4,0,3,1.33,4.0
Umeå Basket,"Isac Åhnstrand, Adam Rask, William Christopher Dunston Jr, Duko Bos, Glenn Stuart Morison, Emanuel Lundmark","Umeå Basket|1,11,12,22,62,7",12,William Christopher Dunston Jr,62,Glenn Stuart Morison,4,12,4,0,1,4.0,12.0
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Abdou Medjedoub, Steven Strong Jr, Anton Lindqvist","Nässjö Basket|1,11,17,2,20",2,Steven Strong Jr,20,Anton Lindqvist,5,12,2,3,4,1.25,3.0
Nässjö Basket,"Mirko Djeric, Dartaye Ruffin, Mio Hjalmarsson, Anton Johansson, Emmanuel Kuac","Nässjö Basket|1,21,3,4,6",1,Mirko Djeric,4,Anton Johansson,4,12,4,0,3,1.33,4.0
Högsbo Basket,"Charles Barton, Tony Vitali, Jonathan Peleg, Anes Zekovic, Alexander Karras","Högsbo Basket|0,22,26,6,7",0,Charles Barton,7,Alexander Karras,4,12,4,0,2,2.0,6.0
Borås Basket,"KJ Jenkins, Ali Sow, Oskar Palmquist, AJ Clayton, John Brändmark","Borås Basket|0,1,2,23,66",1,Ali Sow,23,AJ Clayton,5,12,2,3,3,1.67,4.0
Borås Basket,"Ali Sow, Justin Vander Baan, Oskar Palmquist, AJ Clayton, John Brändmark","Borås Basket|1,18,2,23,66",23,AJ Clayton,1,Ali Sow,5,12,2,3,4,1.25,3.0
Borås Basket,"Ali Sow, Justin Vander Baan, Oskar Palmquist, AJ Clayton, Fredrik Andersson","Borås Basket|1,18,2,23,8",2,Oskar Palmquist,8,Fredrik Andersson,4,12,4,0,3,1.33,4.0
Borås Basket,"Ali Sow, Justin Vander Baan, Oskar Palmquist, AJ Clayton, Fredrik Andersson","Borås Basket|1,18,2,23,8",1,Ali Sow,18,Justin Vander Baan,6,12,0,6,5,1.2,2.4
Norrköping Dolphins,"Tim Schüberg, Pierre Hampton, Benjamin Middlebrooks, Zachary Harvey, Nathan Dawit","Norrköping Dolphins|0,15,34,88,94",94,Nathan Dawit,34,Benjamin Middlebrooks,5,12,2,3,4,1.25,3.0
Sloga Uppsala,"Jonathan Ninkingira, Richie Springs, Marko Dujkovic, Milutin Vujicic, Markeith Browning II","Sloga Uppsala|12,2,22,27,3",2,Richie Springs,22,Marko Dujkovic,6,12,0,6,4,1.5,3.0
Norrköping Dolphins,"Tim Schüberg, Pierre Hampton, Benjamin Middlebrooks, Zachary Harvey, Nathan Dawit","Norrköping Dolphins|0,15,34,88,94",15,Pierre Hampton,34,Benjamin Middlebrooks,5,12,2,3,3,1.67,4.0
Norrköping Dolphins,"Tim Schüberg, Pierre Hampton, Benjamin Middlebrooks, Zachary Harvey, Nathan Dawit","Norrköping Dolphins|0,15,34,88,94",0,Tim Schüberg,15,Pierre Hampton,5,12,2,3,3,1.67,4.0
Jämtland Basket,"Keaston Willis, Denzel George, Michael Christmas, Adam Johansson, Brayden Parker","Jämtland Basket|0,22,25,3,7",7,Brayden Parker,3,Adam Johansson,4,12,4,0,4,1.0,3.0
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Steven Strong Jr, Dartaye Ruffin, Josef Fahrenholtz","Nässjö Basket|1,11,2,21,24",1,Mirko Djeric,21,Dartaye Ruffin,6,12,0,6,3,2.0,4.0
Jämtland Basket,"Keaston Willis, Denzel George, Michael Christmas, Adam Johansson, Brayden Parker","Jämtland Basket|0,22,25,3,7",7,Brayden Parker,0,Keaston Willis,5,12,2,3,3,1.67,4.0
Köping Stars,"Romello White, Marreon Jamar Jackson, Dragos Andrei Diculescu, Sekou Sylla, Romeo Myrthil","Köping Stars|0,3,31,5,7",31,Dragos Andrei Diculescu,0,Romello White,6,12,0,6,5,1.2,2.4
Köping Stars,"Romello White, Marreon Jamar Jackson, Dragos Andrei Diculescu, Sekou Sylla, Romeo Myrthil","Köping Stars|0,3,31,5,7",7,Romeo Myrthil,5,Sekou Sylla,6,12,0,6,5,1.2,2.4
Norrköping Dolphins,"Pierre Hampton, Hugo Bergström, Benjamin Middlebrooks, Zachary Harvey, Nathan Dawit","Norrköping Dolphins|15,21,34,88,94",21,Hugo Bergström,88,Zachary Harvey,5,12,2,3,4,1.25,3.0
Högsbo Basket,"Charles Barton, Isaiah Hill, Tony Vitali, Jonathan Peleg, Anes Zekovic","Högsbo Basket|0,1,22,26,6",0,Charles Barton,26,Jonathan Peleg,4,11,3,1,3,1.33,3.67
BC Luleå,"Tobias Sjöberg, Felix Broström, Caleb McGill, Daniel Hansson, Gustav Hansson","BC Luleå|15,17,24,6,7",7,Gustav Hansson,17,Felix Broström,4,11,3,1,3,1.33,3.67
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Steven Strong Jr, Dartaye Ruffin, Anton Johansson","Nässjö Basket|1,11,2,21,4",1,Mirko Djeric,11,Tyler Patterson,4,11,3,1,4,1.0,2.75
Uppsala Basket,"Niklas Larsson, Max Andersson, Henrik Jädersten, Peter Stümer, Melker Delryd","Uppsala Basket|13,2,3,4,8",2,Max Andersson,3,Henrik Jädersten,4,11,3,1,4,1.0,2.75
Norrköping Dolphins,"Tim Schüberg, Sebastian Forsling, Ryker Cisarik, Zachary Harvey, Nathan Dawit","Norrköping Dolphins|0,25,5,88,94",0,Tim Schüberg,94,Nathan Dawit,4,11,3,1,3,1.33,3.67
Borås Basket,"KJ Jenkins, AJ Clayton, William Guténius, John Brändmark, Andreas Person","Borås Basket|0,23,6,66,9",0,KJ Jenkins,23,AJ Clayton,4,11,3,1,3,1.33,3.67
Köping Stars,"Adam Tafra, Dragos Andrei Diculescu, Lawrence Townsend III, Sekou Sylla, Romeo Myrthil","Köping Stars|1,31,4,5,7",4,Lawrence Townsend III,5,Sekou Sylla,4,11,3,1,3,1.33,3.67
Nässjö Basket,"Mirko Djeric, Abdou Medjedoub, Steven Strong Jr, Anton Lindqvist, Anton Johansson","Nässjö Basket|1,17,2,20,4",1,Mirko Djeric,20,Anton Lindqvist,5,11,1,4,3,1.67,3.67
BC Luleå,"Tobias Sjöberg, Felix Broström, Caleb McGill, Daniel Hansson, Gustav Hansson","BC Luleå|15,17,24,6,7",15,Tobias Sjöberg,17,Felix Broström,5,11,1,4,5,1.0,2.2
Uppsala Basket,"Niklas Larsson, Max Andersson, Olle Stümer, Henrik Jädersten, Peter Stümer","Uppsala Basket|13,2,27,3,4",2,Max Andersson,13,Niklas Larsson,4,11,3,1,4,1.0,2.75
Borås Basket,"Ali Sow, Oskar Palmquist, AJ Clayton, John Brändmark, Fredrik Andersson","Borås Basket|1,2,23,66,8",1,Ali Sow,8,Fredrik Andersson,4,11,3,1,4,1.0,2.75
Köping Stars,"Romello White, Marreon Jamar Jackson, Dragos Andrei Diculescu, Sekou Sylla, Romeo Myrthil","Köping Stars|0,3,31,5,7",5,Sekou Sylla,3,Marreon Jamar Jackson,4,11,3,1,3,1.33,3.67
Nässjö Basket,"Mirko Djeric, Steven Strong Jr, Dartaye Ruffin, Josef Fahrenholtz, Anton Johansson","Nässjö Basket|1,2,21,24,4",1,Mirko Djeric,21,Dartaye Ruffin,5,11,1,4,2,2.5,5.5
Nässjö Basket,"Mirko Djeric, Abdou Medjedoub, Steven Strong Jr, Josef Fahrenholtz, Anton Johansson","Nässjö Basket|1,17,2,24,4",1,Mirko Djeric,4,Anton Johansson,4,11,3,1,2,2.0,5.5
Högsbo Basket,"Charles Barton, Isaiah Hill, Tony Vitali, Jonathan Peleg, Anes Zekovic","Högsbo Basket|0,1,22,26,6",0,Charles Barton,22,Tony Vitali,5,10,0,5,3,1.67,3.33
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Abdou Medjedoub, Steven Strong Jr, Anton Lindqvist","Nässjö Basket|1,11,17,2,20",1,Mirko Djeric,2,Steven Strong Jr,4,10,2,2,3,1.33,3.33
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Abdou Medjedoub, Steven Strong Jr, Anton Lindqvist","Nässjö Basket|1,11,17,2,20",1,Mirko Djeric,11,Tyler Patterson,4,10,2,2,3,1.33,3.33
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Steven Strong Jr, Dartaye Ruffin, Anton Johansson","Nässjö Basket|1,11,2,21,4",1,Mirko Djeric,21,Dartaye Ruffin,5,10,0,5,4,1.25,2.5
Södertälje BBK,"Zaccharie Mortant, Jake O´Neil, Ayanfeoluwa Amoran, Ibrahim Magassa, Nicholas Spires","Södertälje BBK|1,10,11,3,30",None,Player None,3,Ibrahim Magassa,4,10,2,2,4,1.0,2.5
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Dartaye Ruffin, Mio Hjalmarsson, Anton Johansson","Nässjö Basket|1,11,21,3,4",1,Mirko Djeric,21,Dartaye Ruffin,5,10,0,5,5,1.0,2.0
Borås Basket,"Ali Sow, Justin Vander Baan, Oskar Palmquist, AJ Clayton, Fredrik Andersson","Borås Basket|1,18,2,23,8",1,Ali Sow,23,AJ Clayton,4,10,2,2,4,1.0,2.5
Nässjö Basket,"Mirko Djeric, Abdou Medjedoub, Steven Strong Jr, Anton Lindqvist, Anton Johansson","Nässjö Basket|1,17,2,20,4",1,Mirko Djeric,17,Abdou Medjedoub,5,10,0,5,4,1.25,2.5
Borås Basket,"Ali Sow, Justin Vander Baan, Oskar Palmquist, AJ Clayton, John Brändmark","Borås Basket|1,18,2,23,66",66,John Brändmark,2,Oskar Palmquist,4,10,2,2,4,1.0,2.5
BC Luleå,"Harry Hassler, Felix Broström, Robert Carpenter, Daniel Hansson, Gustav Hansson","BC Luleå|13,17,21,6,7",7,Gustav Hansson,21,Robert Carpenter,4,10,2,2,3,1.33,3.33
Sloga Uppsala,"Jonathan Ninkingira, Richie Springs, Marko Dujkovic, Milutin Vujicic, Markeith Browning II","Sloga Uppsala|12,2,22,27,3",2,Richie Springs,12,Jonathan Ninkingira,4,10,2,2,3,1.33,3.33
Sloga Uppsala,"Jonathan Ninkingira, Richie Springs, Marko Dujkovic, Milutin Vujicic, Markeith Browning II","Sloga Uppsala|12,2,22,27,3",27,Milutin Vujicic,22,Marko Dujkovic,5,10,0,5,4,1.25,2.5
Uppsala Basket,"Niklas Larsson, Henrik Jädersten, Peter Stümer, Lukas Friberg, Melker Delryd","Uppsala Basket|13,3,4,5,8",5,Lukas Friberg,4,Peter Stümer,3,9,3,0,3,1.0,3.0
Umeå Basket,"Isac Åhnstrand, Adam Rask, William Christopher Dunston Jr, Emanuel Lundmark, Isak Andersson","Umeå Basket|1,11,12,7,9",1,Isac Åhnstrand,9,Isak Andersson,4,9,1,3,4,1.0,2.25
