Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Uppsala Basket,Åke Swahn,17,Åke Swahn,27,7.8,210.9,101.0,3.7,40.0,68.0,58.8,1.0,3.0,33.3,20.0,34.0,58.8,30.0,18.0,48.0,6.0,7.0,3.0,14.0,0.0,64.3,16.2,4.6,0.3,2.2,15,116.0,4.3,5.2,0,0,0,0,0,0.0,0,-0.75,-2.85,2.09,4.1,3.5,47.0,30.0,63.8,8.0,2.0,25,2.0,1.0,50,6.0,0.0,4.0,3.0,0.0,1.0,39.0,10.0,21.0
Borås Basket,Andreas Person,9,Andreas Person,27,14.9,401.3,93.0,3.4,30.0,90.0,33.3,20.0,71.0,28.2,13.0,17.0,76.5,6.0,43.0,49.0,21.0,14.0,2.0,16.0,0.0,103.2,13.4,4.3,1.0,2.2,49,142.0,5.3,6.5,3,1.0,3,0,50.0,3.0,3,-2.16,-6.37,4.21,2.4,4.9,8.0,6.0,75,10.0,3.0,30,64.0,19.0,29.7,5.0,4.0,8.0,2.0,0.0,1.0,14.0,31.0,27.0
BC Luleå,Harry Hassler,13,Harry Hassler,27,11.8,319.6,82.0,3.0,26.0,61.0,42.6,15.0,35.0,42.9,15.0,21.0,71.4,14.0,29.0,43.0,13.0,11.0,1.0,10.0,0.0,63.6,10.5,3.9,0.6,2.0,20,102.0,3.8,4.8,13,4.3,4,4,112.8,7.8,3,0.18,-3.75,3.93,2.8,4.4,18.0,8.0,44.4,6.0,2.0,33.3,31.0,13.0,41.9,5.0,1.0,6.0,3.0,0.0,1.0,24.0,6.0,9.0
Borås Basket,John Brändmark,66,John Brändmark,27,20.6,555.4,81.0,3.0,26.0,77.0,33.8,10.0,52.0,19.2,19.0,26.0,73.1,27.0,65.0,92.0,35.0,19.0,8.0,22.0,0.0,80.1,7.5,3.7,1.6,4.2,75,156.0,5.8,7.1,1,0.3,4,2,10.2,5.9,3,-0.59,-5.77,5.18,2.9,5.0,7.0,5.0,71.4,13.0,8.0,61.5,47.0,11.0,23.4,4.0,1.0,7.0,8.0,0.0,3.0,22.0,9.0,10.0
Södertälje BBK,Noel Karlsson Rask,5,Noel Karlsson Rask,27,2.8,74.3,30.0,1.1,11.0,19.0,57.9,4.0,10.0,40,4.0,5.0,80,3.0,5.0,8.0,1.0,0.0,5.0,3.0,0.0,20.4,15.6,1.6,0.1,0.4,2,32.0,1.2,1.7,0,0,0,0,0,0.0,0,2.1,-2.08,4.18,5.0,3.5,7.0,6.0,85.7,1.0,0.0,0,8.0,4.0,50,3.0,0.0,0.0,1.0,0.0,2.0,15.0,8.0,6.0
Uppsala Basket,Marcus Stålberg,32,Marcus Stålberg,27,2.7,71.8,9.0,0.3,3.0,14.0,21.4,2.0,8.0,25,1.0,8.0,12.5,3.0,6.0,9.0,9.0,1.0,0.0,7.0,0.0,20.7,15.2,0.4,0.4,0.4,22,31.0,1.1,1.4,0,0,0,0,0,0.0,0,-10.46,-11.03,0.57,2.6,4.1,3.0,1.0,33.3,2.0,0.0,0,6.0,1.0,16.7,1.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0
Borås Basket,KJ Jenkins,0,KJ Jenkins,26,23.0,598.8,428.0,16.5,141.0,350.0,40.3,75.0,208.0,36.1,71.0,82.0,86.6,16.0,58.0,74.0,76.0,24.0,1.0,42.0,0.0,395.6,34.3,19.6,3.5,3.4,165,593.0,22.8,27.2,29,4.8,21,11,56.1,26.8,6,3.22,0.41,2.8,1.8,2.4,27.0,15.0,55.6,102.0,45.0,44.1,181.0,63.0,34.8,13.0,21.0,16.0,14.0,0.0,6.0,46.0,84.0,58.0
Jämtland Basket,Samari Curtis,41,Samari Curtis,26,20.9,544.5,298.0,11.5,92.0,171.0,53.8,23.0,60.0,38.3,91.0,116.0,78.4,22.0,65.0,87.0,122.0,31.0,28.0,55.0,0.0,244.8,23.3,14.9,6.1,4.3,262,560.0,21.5,28.0,29,2.9,17,15,61.4,29.6,10,8.88,2.79,6.09,2.1,1.0,85.0,56.0,65.9,17.0,10.0,58.8,59.0,21.0,35.6,49.0,11.0,20.0,20.0,0.0,10.0,51.0,103.0,64.0
Borås Basket,William Guténius,6,William Guténius,26,19.1,495.5,283.0,10.9,95.0,198.0,48,39.0,96.0,40.6,54.0,69.0,78.3,19.0,75.0,94.0,25.0,6.0,4.0,22.0,0.0,222.1,23.3,13.0,1.1,4.3,47,330.0,12.7,15.1,25,5.0,13,10,71.8,17.4,5,2.05,-1.15,3.2,3.5,3.2,40.0,26.0,65,46.0,23.0,50,90.0,38.0,42.2,11.0,3.0,2.0,8.0,0.0,0.0,47.0,43.0,34.0
Nässjö Basket,Abdou Medjedoub,17,Abdou Medjedoub,26,21.5,557.9,251.0,9.7,91.0,143.0,63.6,1.0,3.0,33.3,68.0,86.0,79.1,52.0,98.0,150.0,17.0,24.0,4.0,28.0,0.0,150.6,14.1,11.5,0.8,6.9,41,292.0,11.2,13.4,15,2.1,6,6,86.8,10.6,7,0.5,-1.41,1.9,4.3,3.3,95.0,69.0,72.6,30.0,12.0,40,3.0,1.0,33.3,13.0,1.0,3.0,24.0,0.0,0.0,49.0,38.0,44.0
