Team,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Manchester Basketball,7,Zak Irvin,2,Max Jones,3,8,2,1,3,1.0,2.67
B. Braun Sheffield Sharks,2,Prentiss Nixon,9,Jordan Ratinho,3,8,2,1,3,1.0,2.67
Newcastle Eagles,24,Brett Reed,25,Marco Anthony,4,8,0,4,2,2.0,4.0
Manchester Basketball,2,Max Jones,1,Kyle Carey,3,8,2,1,3,1.0,2.67
Surrey 89ers,4,Andrew Lawrence,11,Kareem Queeley,4,8,0,4,2,2.0,4.0
Surrey 89ers,21,Michael Graham,7,Ronald Polite Iii,4,8,0,4,4,1.0,2.0
B. Braun Sheffield Sharks,23,Jalen Deloach,24,Nick Kern Jr,4,8,0,4,3,1.33,2.67
Leicester Riders,20,Spencer Johnson,41,Nathaniel Martin,4,8,0,4,3,1.33,2.67
Bristol Flyers,9,Jonathan Brown,3,William Yoakum,4,8,0,4,4,1.0,2.0
Caledonia Gladiators,15,Daylen Williams,40,Ethan Wright,3,8,2,1,2,1.5,4.0
Caledonia Gladiators,22,Charles Jet Speelman,0,Kevin Allen,4,8,0,4,3,1.33,2.67
Caledonia Gladiators,0,Kevin Allen,7,Fraser Malcolm,4,8,0,4,4,1.0,2.0
Leicester Riders,10,Olutomiwa Sulaiman,21,Raequan Battle,4,8,0,4,3,1.33,2.67
Manchester Basketball,22,Oluwaseyi Adetukasi,34,Matthew Nicholson,4,8,0,4,3,1.33,2.67
Caledonia Gladiators,6,Kyle Jimenez,14,Daniel Carr,4,8,0,4,3,1.33,2.67
London Lions,10,Ethan Price,5,Mohammad Al-Amin Abdul Adamu,4,8,0,4,3,1.33,2.67
Leicester Riders,21,Raequan Battle,20,Spencer Johnson,4,8,0,4,3,1.33,2.67
Leicester Riders,13,Donald Carey Jr,9,Emmanuel Akot,3,8,2,1,3,1.0,2.67
Bristol Flyers,51,Darnell Brodie,7,Cameron Holden,3,8,2,1,3,1.0,2.67
Bristol Flyers,25,Milos Dugalic,9,Jonathan Brown,3,8,2,1,3,1.0,2.67
Caledonia Gladiators,7,Fraser Malcolm,10,Ria'n Holland,4,8,0,4,4,1.0,2.0
Newcastle Eagles,14,Maceo Jack,41,Mitch Clarke,3,8,2,1,3,1.0,2.67
London Lions,23,Kameron Mcgusty,10,Ethan Price,4,8,0,4,3,1.33,2.67
London Lions,31,Deane Williams,13,Jonathan Williams,4,8,0,4,3,1.33,2.67
Caledonia Gladiators,0,Kevin Allen,10,Ria'n Holland,4,8,0,4,3,1.33,2.67
Leicester Riders,3,Travis Evee,12,Aaron Menzies,4,8,0,4,4,1.0,2.0
Surrey 89ers,12,Kino Lily Jr,21,Michael Graham,4,8,0,4,3,1.33,2.67
Manchester Basketball,7,Zak Irvin,1,Kyle Carey,3,8,2,1,2,1.5,4.0
Manchester Basketball,22,Oluwaseyi Adetukasi,2,Max Jones,3,8,2,1,2,1.5,4.0
Leicester Riders,20,Spencer Johnson,10,Olutomiwa Sulaiman,3,8,2,1,3,1.0,2.67
Leicester Riders,13,Donald Carey Jr,3,Travis Evee,3,8,2,1,3,1.0,2.67
London Lions,5,Mohammad Al-Amin Abdul Adamu,10,Ethan Price,4,8,0,4,3,1.33,2.67
Newcastle Eagles,8,Deion Hammond,99,Gus Okafor,3,8,2,1,3,1.0,2.67
Bristol Flyers,4,Zachary Anderson,25,Milos Dugalic,3,8,2,1,3,1.0,2.67
Surrey 89ers,1,Owen Koonce,21,Michael Graham,4,8,0,4,4,1.0,2.0
Surrey 89ers,7,Ronald Polite Iii,55,Haydn Ling,4,8,0,4,3,1.33,2.67
Manchester Basketball,2,Max Jones,34,Matthew Nicholson,4,8,0,4,4,1.0,2.0
London Lions,22,Tarik Phillip,55,Matthew Goodwin,3,8,2,1,3,1.0,2.67
Caledonia Gladiators,5,Dwaine Jones Jr,15,Malcolm Delpeche,4,8,0,4,3,1.33,2.67
Newcastle Eagles,15,Cole Long,1,Terrell Burden Jr,3,8,2,1,2,1.5,4.0
Newcastle Eagles,99,Gus Okafor,14,Maceo Jack,3,8,2,1,3,1.0,2.67
Newcastle Eagles,1,Terrell Burden Jr,21,Emmanuel Kanwei,4,8,0,4,3,1.33,2.67
Newcastle Eagles,8,Deion Hammond,14,Maceo Jack,3,8,2,1,1,3.0,8.0
Bristol Flyers,13,Owen Mccormack,51,Darnell Brodie,3,7,1,2,2,1.5,3.5
Bristol Flyers,25,Milos Dugalic,3,William Yoakum,3,7,1,2,3,1.0,2.33
Cheshire Phoenix,23,Jaxon Brenchley,24,Matthew Zona,3,7,1,2,3,1.0,2.33
B. Braun Sheffield Sharks,23,Jalen Deloach,2,Prentiss Nixon,3,7,1,2,2,1.5,3.5
Surrey 89ers,11,Kareem Queeley,0,Isiah Small,3,7,1,2,3,1.0,2.33
London Lions,31,Deane Williams,10,Ethan Price,3,7,1,2,3,1.0,2.33
Caledonia Gladiators,24,Matthew Ragsdale,40,Ethan Wright,3,7,1,2,3,1.0,2.33
Caledonia Gladiators,7,Fraser Malcolm,22,Charles Jet Speelman,3,7,1,2,3,1.0,2.33
Cheshire Phoenix,9,Damiri Lindo,24,Matthew Zona,3,7,1,2,3,1.0,2.33
Leicester Riders,21,Raequan Battle,10,Olutomiwa Sulaiman,3,7,1,2,3,1.0,2.33
London Lions,2,Chasson Jermar Randle,31,Deane Williams,3,7,1,2,3,1.0,2.33
Surrey 89ers,17,Nedas Cholevinskas,12,Kino Lily Jr,3,7,1,2,3,1.0,2.33
London Lions,31,Deane Williams,21,Aaryndeep Rai,3,7,1,2,2,1.5,3.5
Leicester Riders,13,Donald Carey Jr,25,Victor Ndoukou,3,7,1,2,2,1.5,3.5
Leicester Riders,77,Flynn Boardman-Raffet,10,Olutomiwa Sulaiman,3,7,1,2,3,1.0,2.33
Manchester Basketball,11,Jordan Johnson,13,Kayne Henry,3,7,1,2,3,1.0,2.33
B. Braun Sheffield Sharks,1,Dirk Williams,11,Rodney Glasgow Jr,3,7,1,2,2,1.5,3.5
Bristol Flyers,9,Jonathan Brown,25,Milos Dugalic,3,7,1,2,3,1.0,2.33
Newcastle Eagles,99,Gus Okafor,15,Cole Long,3,7,1,2,3,1.0,2.33
B. Braun Sheffield Sharks,3,Rodney Chatman Iii,11,Rodney Glasgow Jr,3,7,1,2,2,1.5,3.5
London Lions,5,Mohammad Al-Amin Abdul Adamu,3,Ciaran Sandy,3,7,1,2,3,1.0,2.33
London Lions,11,Ryan Mikesell,10,Ethan Price,3,7,1,2,3,1.0,2.33
Newcastle Eagles,8,Deion Hammond,15,Cole Long,3,7,1,2,3,1.0,2.33
Caledonia Gladiators,5,Dwaine Jones Jr,24,Matthew Ragsdale,3,7,1,2,2,1.5,3.5
Surrey 89ers,12,Kino Lily Jr,4,Andrew Lawrence,3,7,1,2,2,1.5,3.5
B. Braun Sheffield Sharks,5,Mervin James,1,Dirk Williams,3,7,1,2,2,1.5,3.5
Newcastle Eagles,1,Terrell Burden,21,Emmanuel Kanwei,3,7,1,2,1,3.0,7.0
B. Braun Sheffield Sharks,24,Nick Kern Jr,15,Mike Ochereobia,3,6,0,3,3,1.0,2.0
B. Braun Sheffield Sharks,11,Rodney Glasgow Jr,2,Prentiss Nixon,2,6,2,0,2,1.0,3.0
Leicester Riders,20,Spencer Johnson,9,Emmanuel Akot,3,6,0,3,2,1.5,3.0
London Lions,22,Tarik Phillip,23,Kameron Mcgusty,3,6,0,3,2,1.5,3.0
Manchester Basketball,9,Kaiyem Cleary,7,Zak Irvin,3,6,0,3,3,1.0,2.0
Caledonia Gladiators,11,Totonitoluwa Fagbenle,0,Kevin Allen,3,6,0,3,3,1.0,2.0
Newcastle Eagles,15,Cole Long,14,Maceo Jack,3,6,0,3,3,1.0,2.0
Cheshire Phoenix,11,Tobias Cameron,13,Patrick Robinson,3,6,0,3,3,1.0,2.0
London Lions,22,Tarik Phillip,0,Ovie Soko,3,6,0,3,2,1.5,3.0
B. Braun Sheffield Sharks,3,Rodney Chatman Iii,15,Mike Ochereobia,3,6,0,3,3,1.0,2.0
B. Braun Sheffield Sharks,9,Jordan Ratinho,11,Rodney Glasgow Jr,3,6,0,3,3,1.0,2.0
Bristol Flyers,3,William Yoakum,51,Darnell Brodie,3,6,0,3,3,1.0,2.0
London Lions,23,Kameron Mcgusty,6,Morayo Soluade,2,6,2,0,2,1.0,3.0
Newcastle Eagles,24,Brett Reed,41,Mitch Clarke,2,6,2,0,1,2.0,6.0
Newcastle Eagles,3,Ray'sean Taylor,45,Malcolm Smith,3,6,0,3,2,1.5,3.0
Surrey 89ers,55,Haydn Ling,7,Ronald Polite Iii,3,6,0,3,3,1.0,2.0
B. Braun Sheffield Sharks,4,William Lee,3,Rodney Chatman Iii,2,6,2,0,2,1.0,3.0
Caledonia Gladiators,24,Matthew Ragsdale,0,Kevin Allen,3,6,0,3,2,1.5,3.0
Caledonia Gladiators,7,Fraser Malcolm,40,Ethan Wright,2,6,2,0,2,1.0,3.0
Bristol Flyers,3,William Yoakum,4,Zachary Anderson,3,6,0,3,3,1.0,2.0
Caledonia Gladiators,40,Ethan Wright,10,Ria'n Holland,2,6,2,0,1,2.0,6.0
Surrey 89ers,4,Andrew Lawrence,21,Michael Graham,3,6,0,3,3,1.0,2.0
Caledonia Gladiators,7,Fraser Malcolm,0,Kevin Allen,3,6,0,3,3,1.0,2.0
B. Braun Sheffield Sharks,2,Prentiss Nixon,24,Nick Kern Jr,3,6,0,3,3,1.0,2.0
Leicester Riders,77,Flynn Boardman-Raffet,20,Spencer Johnson,3,6,0,3,3,1.0,2.0
Caledonia Gladiators,15,Daylen Williams,0,Kevin Allen,3,6,0,3,2,1.5,3.0
Newcastle Eagles,21,Emmanuel Kanwei,8,Deion Hammond,2,6,2,0,2,1.0,3.0
London Lions,3,Ciaran Sandy,2,Chasson Jermar Randle,2,6,2,0,2,1.0,3.0
Surrey 89ers,15,Tayo Ogedengbe,0,Isiah Small,3,6,0,3,3,1.0,2.0
London Lions,21,Aaryndeep Rai,13,Jonathan Williams,3,6,0,3,3,1.0,2.0
Cheshire Phoenix,2,Michael Diggins,5,Frankie Policelli,2,6,2,0,2,1.0,3.0
Cheshire Phoenix,3,Laquincy Rideau,3,Laquincy Rideau,2,6,2,0,2,1.0,3.0
Bristol Flyers,9,Jonathan Brown,22,Joseph Anderson,2,6,2,0,2,1.0,3.0
Newcastle Eagles,99,Gus Okafor,3,Ray'sean Taylor,2,6,2,0,2,1.0,3.0
Manchester Basketball,34,Matthew Nicholson,2,Max Jones,2,6,2,0,2,1.0,3.0
Surrey 89ers,15,Tayo Ogedengbe,55,Haydn Ling,3,6,0,3,3,1.0,2.0
Surrey 89ers,0,Isiah Small,4,Andrew Lawrence,2,6,2,0,2,1.0,3.0
Surrey 89ers,7,Ronald Polite Iii,19,Timothy Nwanko,3,6,0,3,2,1.5,3.0
London Lions,21,Aaryndeep Rai,2,Chasson Jermar Randle,2,6,2,0,2,1.0,3.0
Bristol Flyers,4,Zachary Anderson,7,Cameron Holden,3,6,0,3,3,1.0,2.0
Newcastle Eagles,21,Emmanuel Kanwei,9,Sauveur Kande,2,6,2,0,2,1.0,3.0
Bristol Flyers,25,Milos Dugalic,13,Owen Mccormack,2,6,2,0,2,1.0,3.0
Caledonia Gladiators,5,Dwaine Jones Jr,22,Charles Jet Speelman,2,6,2,0,2,1.0,3.0
London Lions,5,Mohammad Al-Amin Abdul Adamu,2,Chasson Jermar Randle,2,6,2,0,2,1.0,3.0
Cheshire Phoenix,9,Damiri Lindo,99,Skyler White,2,6,2,0,1,2.0,6.0
Caledonia Gladiators,22,Charles Jet Speelman,56,Lloyd Alvin Bryan Jr,3,6,0,3,1,3.0,6.0
London Lions,33,Shavar Reynolds Jr,16,Karolis Lukosiunas,2,6,2,0,2,1.0,3.0
London Lions,33,Shavar Reynolds Jr,5,Mohammad Al-Amin Abdul Adamu,3,6,0,3,2,1.5,3.0
London Lions,33,Shavar Reynolds Jr,10,Ethan Price,3,6,0,3,2,1.5,3.0
London Lions,10,Ethan Price,33,Shavar Reynolds Jr,2,6,2,0,2,1.0,3.0
Caledonia Gladiators,40,Ethan Wright,56,Lloyd Alvin Bryan Jr,3,6,0,3,3,1.0,2.0
Manchester Basketball,7,Zak Irvin,11,Jordan Johnson,2,6,2,0,2,1.0,3.0
Newcastle Eagles,41,Mitch Clarke,1,Terrell Burden Jr,3,6,0,3,2,1.5,3.0
London Lions,31,Deane Williams,3,Ciaran Sandy,2,6,2,0,1,2.0,6.0
Bristol Flyers,77,Evan Walshe,51,Darnell Brodie,3,6,0,3,3,1.0,2.0
Leicester Riders,12,Aaron Menzies,20,Spencer Johnson,2,6,2,0,2,1.0,3.0
Leicester Riders,12,Aaron Menzies,3,Travis Evee,2,6,2,0,2,1.0,3.0
Newcastle Eagles,13,Darius Defoe,9,Sauveur Kande,2,6,2,0,2,1.0,3.0
London Lions,21,Aaryndeep Rai,33,Shavar Reynolds Jr,2,6,2,0,2,1.0,3.0
London Lions,5,Mohammad Al-Amin Abdul Adamu,16,Karolis Lukosiunas,2,6,2,0,1,2.0,6.0
London Lions,31,Deane Williams,2,Chasson Jermar Randle,2,6,2,0,1,2.0,6.0
London Lions,33,Shavar Reynolds Jr,13,Johnathan Williams,3,6,0,3,1,3.0,6.0
B. Braun Sheffield Sharks,24,Nick Kern Jr,11,Rodney Glasgow Jr,2,5,1,1,2,1.0,2.5
London Lions,23,Kameron Mcgusty,3,Ciaran Sandy,2,5,1,1,2,1.0,2.5
Leicester Riders,41,Nathaniel Martin,9,Emmanuel Akot,2,5,1,1,2,1.0,2.5
Leicester Riders,1,Michael Mitchell Jr,77,Flynn Boardman-Raffet,2,5,1,1,2,1.0,2.5
London Lions,22,Tarik Phillip,6,Morayo Soluade,2,5,1,1,2,1.0,2.5
Manchester Basketball,22,Oluwaseyi Adetukasi,9,Kaiyem Cleary,2,5,1,1,2,1.0,2.5
Newcastle Eagles,14,Maceo Jack,25,Marco Anthony,2,5,1,1,2,1.0,2.5
Caledonia Gladiators,22,Charles Jet Speelman,11,Totonitoluwa Fagbenle,2,5,1,1,2,1.0,2.5
Newcastle Eagles,45,Malcolm Smith,3,Ray'sean Taylor,2,5,1,1,2,1.0,2.5
B. Braun Sheffield Sharks,11,Rodney Glasgow Jr,9,Jordan Ratinho,2,5,1,1,2,1.0,2.5
London Lions,23,Kameron Mcgusty,21,Aaryndeep Rai,2,5,1,1,2,1.0,2.5
London Lions,3,Ciaran Sandy,23,Kameron Mcgusty,2,5,1,1,2,1.0,2.5
B. Braun Sheffield Sharks,9,Jordan Ratinho,2,Prentiss Nixon,2,5,1,1,2,1.0,2.5
Leicester Riders,9,Emmanuel Akot,20,Spencer Johnson,2,5,1,1,2,1.0,2.5
Caledonia Gladiators,15,Daylen Williams,22,Charles Jet Speelman,2,5,1,1,2,1.0,2.5
Bristol Flyers,22,Joseph Anderson,25,Milos Dugalic,2,5,1,1,2,1.0,2.5
Manchester Basketball,34,Matthew Nicholson,9,Kaiyem Cleary,2,5,1,1,2,1.0,2.5
London Lions,5,Mohammad Al-Amin Abdul Adamu,6,Morayo Soluade,2,5,1,1,2,1.0,2.5
Caledonia Gladiators,11,Totonitoluwa Fagbenle,24,Matthew Ragsdale,2,5,1,1,2,1.0,2.5
Caledonia Gladiators,0,Kevin Allen,22,Charles Jet Speelman,2,5,1,1,2,1.0,2.5
Cheshire Phoenix,24,Matthew Zona,13,Patrick Robinson,2,5,1,1,2,1.0,2.5
Leicester Riders,9,Emmanuel Akot,13,Donald Carey Jr,2,5,1,1,2,1.0,2.5
Leicester Riders,10,Olutomiwa Sulaiman,20,Spencer Johnson,2,5,1,1,2,1.0,2.5
Newcastle Eagles,15,Cole Long,41,Mitch Clarke,2,5,1,1,2,1.0,2.5
Bristol Flyers,13,Owen Mccormack,25,Milos Dugalic,2,5,1,1,2,1.0,2.5
London Lions,2,Chasson Jermar Randle,1,Joel Scott,2,5,1,1,2,1.0,2.5
Cheshire Phoenix,5,Frankie Policelli,9,Damiri Lindo,2,5,1,1,2,1.0,2.5
Cheshire Phoenix,23,Jaxon Brenchley,9,Damiri Lindo,2,5,1,1,2,1.0,2.5
Surrey 89ers,55,Haydn Ling,11,Kareem Queeley,2,5,1,1,2,1.0,2.5
Manchester Basketball,3,Gabriel Osbuhein,13,Kayne Henry,2,5,1,1,2,1.0,2.5
Manchester Basketball,13,Kayne Henry,2,Max Jones,2,5,1,1,2,1.0,2.5
London Lions,3,Ciaran Sandy,10,Ethan Price,2,5,1,1,2,1.0,2.5
Leicester Riders,25,Victor Ndoukou,21,Raequan Battle,2,5,1,1,2,1.0,2.5
Caledonia Gladiators,14,Daniel Carr,24,Matthew Ragsdale,2,5,1,1,2,1.0,2.5
Manchester Basketball,13,Kayne Henry,0,Patrick Smith Jr,2,5,1,1,2,1.0,2.5
Newcastle Eagles,8,Deion Hammond,3,Ray'sean Taylor,2,5,1,1,2,1.0,2.5
Surrey 89ers,12,Kino Lily Jr,11,Kareem Queeley,2,5,1,1,1,2.0,5.0
Newcastle Eagles,13,Darius Defoe,15,Cole Long,2,5,1,1,2,1.0,2.5
London Lions,11,Ryan Mikesell,31,Deane Williams,2,5,1,1,1,2.0,5.0
London Lions,13,Jonathan Williams,11,Ryan Mikesell,2,5,1,1,2,1.0,2.5
London Lions,31,Deane Williams,11,Ryan Mikesell,2,5,1,1,2,1.0,2.5
Cheshire Phoenix,24,Matthew Zona,5,Frankie Policelli,2,5,1,1,2,1.0,2.5
Bristol Flyers,3,William Yoakum,22,Joseph Anderson,2,5,1,1,2,1.0,2.5
London Lions,13,Jonathan Williams,33,Shavar Reynolds Jr,2,5,1,1,1,2.0,5.0
London Lions,22,Tarik Phillip,11,Ryan Mikesell,2,5,1,1,2,1.0,2.5
Caledonia Gladiators,15,Malcolm Delpeche,5,Dwaine Jones Jr,2,5,1,1,2,1.0,2.5
B. Braun Sheffield Sharks,23,Jalen Deloach,4,William Lee,2,5,1,1,1,2.0,5.0
Surrey 89ers,12,Kino Lily Jr,1,Owen Koonce,2,5,1,1,2,1.0,2.5
B. Braun Sheffield Sharks,1,Dirk Williams,24,Nick Kern Jr,2,5,1,1,2,1.0,2.5
Manchester Basketball,34,Matthew Nicholson,0,Patrick Smith Jr,2,5,1,1,2,1.0,2.5
Leicester Riders,41,Nathaniel Martin,2,Marc Loving,2,5,1,1,2,1.0,2.5
Surrey 89ers,12,Kino Lily Jr,10,Tyrin Lawrence,2,5,1,1,2,1.0,2.5
Newcastle Eagles,15,Cole Long,99,Gus Okafor,2,5,1,1,2,1.0,2.5
Bristol Flyers,77,Evan Walshe,22,Joseph Anderson,2,5,1,1,2,1.0,2.5
Newcastle Eagles,99,Gus Okafor,41,Mitch Clarke,2,5,1,1,2,1.0,2.5
London Lions,21,Aaryndeep Rai,31,Deane Williams,2,5,1,1,2,1.0,2.5
B. Braun Sheffield Sharks,4,William Lee,2,Prentiss Nixon,2,5,1,1,2,1.0,2.5
London Lions,15,Chaundee Brown Jr,31,Deane Williams,2,5,1,1,2,1.0,2.5
Leicester Riders,20,Spencer Johnson,13,Donald Carey Jr,2,5,1,1,2,1.0,2.5
B. Braun Sheffield Sharks,23,Jalen Deloach,9,Jordan Ratinho,2,4,0,2,2,1.0,2.0
Bristol Flyers,21,Marcus Delpeche,25,Milos Dugalic,2,4,0,2,1,2.0,4.0
London Lions,21,Aaryndeep Rai,3,Ciaran Sandy,2,4,0,2,2,1.0,2.0
London Lions,33,Shavar Reynolds Jr,13,Jonathan Williams,2,4,0,2,2,1.0,2.0
Cheshire Phoenix,5,Frankie Policelli,13,Patrick Robinson,2,4,0,2,2,1.0,2.0
Newcastle Eagles,3,Ray'sean Taylor,24,Brett Reed,2,4,0,2,2,1.0,2.0
Caledonia Gladiators,10,Rian Holland,40,Ethan Wright,2,4,0,2,1,2.0,4.0
Caledonia Gladiators,40,Ethan Wright,11,Totonitoluwa Fagbenle,2,4,0,2,2,1.0,2.0
London Lions,1,Joel Scott,13,Jonathan Williams,2,4,0,2,2,1.0,2.0
Leicester Riders,3,Travis Evee,2,Duke Shelton,2,4,0,2,1,2.0,4.0
B. Braun Sheffield Sharks,9,Jordan Ratinho,23,Jalen Deloach,2,4,0,2,2,1.0,2.0
London Lions,6,Morayo Soluade,23,Kameron Mcgusty,2,4,0,2,1,2.0,4.0
Newcastle Eagles,2,Josh Ward-Hibbert,24,Brett Reed,2,4,0,2,1,2.0,4.0
Newcastle Eagles,15,Cole Long,24,Brett Reed,2,4,0,2,1,2.0,4.0
Cheshire Phoenix,2,Michael Diggins,3,Laquincy Rideau,2,4,0,2,2,1.0,2.0
Surrey 89ers,11,Kareem Queeley,55,Haydn Ling,2,4,0,2,2,1.0,2.0
B. Braun Sheffield Sharks,4,William Lee,15,Mike Ochereobia,2,4,0,2,2,1.0,2.0
Leicester Riders,3,Travis Evee,41,Nathaniel Martin,2,4,0,2,1,2.0,4.0
Bristol Flyers,25,Milos Dugalic,7,Cameron Holden,2,4,0,2,2,1.0,2.0
London Lions,23,Kameron Mcgusty,31,Deane Williams,2,4,0,2,2,1.0,2.0
London Lions,5,Mohammad Al-Amin Abdul Adamu,1,Joel Scott,2,4,0,2,2,1.0,2.0
Newcastle Eagles,25,Marco Anthony,41,Mitch Clarke,2,4,0,2,2,1.0,2.0
Newcastle Eagles,15,Cole Long,45,Malcolm Smith,2,4,0,2,2,1.0,2.0
Caledonia Gladiators,15,Daylen Williams,7,Fraser Malcolm,2,4,0,2,2,1.0,2.0
Caledonia Gladiators,6,Kyle Jimenez,11,Totonitoluwa Fagbenle,2,4,0,2,2,1.0,2.0
Caledonia Gladiators,10,Ria'n Holland,15,Daylen Williams,2,4,0,2,2,1.0,2.0
Surrey 89ers,4,Andrew Lawrence,7,Ronald Polite Iii,2,4,0,2,2,1.0,2.0
B. Braun Sheffield Sharks,15,Mike Ochereobia,11,Rodney Glasgow Jr,2,4,0,2,2,1.0,2.0
Leicester Riders,10,Olutomiwa Sulaiman,3,Travis Evee,2,4,0,2,2,1.0,2.0
Bristol Flyers,4,Zachary Anderson,51,Darnell Brodie,2,4,0,2,2,1.0,2.0
London Lions,5,Mohammad Al-Amin Abdul Adamu,21,Aaryndeep Rai,2,4,0,2,2,1.0,2.0
London Lions,23,Kameron Mcgusty,13,Jonathan Williams,2,4,0,2,2,1.0,2.0
Cheshire Phoenix,2,Michael Diggins,13,Patrick Robinson,2,4,0,2,2,1.0,2.0
Bristol Flyers,3,William Yoakum,21,Marcus Delpeche,2,4,0,2,2,1.0,2.0
Surrey 89ers,1,Owen Koonce,0,Isiah Small,2,4,0,2,2,1.0,2.0
Bristol Flyers,3,William Yoakum,9,Jonathan Brown,2,4,0,2,2,1.0,2.0
B. Braun Sheffield Sharks,24,Nick Kern Jr,9,Jordan Ratinho,2,4,0,2,2,1.0,2.0
Manchester Basketball,0,Patrick Smith Jr,3,Gabriel Osbuhein,2,4,0,2,2,1.0,2.0
Caledonia Gladiators,0,Kevin Allen,40,Ethan Wright,2,4,0,2,2,1.0,2.0
B. Braun Sheffield Sharks,11,Rodney Glasgow Jr,15,Mike Ochereobia,2,4,0,2,2,1.0,2.0
Bristol Flyers,13,Owen Mccormack,21,Marcus Delpeche,2,4,0,2,2,1.0,2.0
Newcastle Eagles,99,Gus Okafor,13,Darius Defoe,2,4,0,2,2,1.0,2.0
Surrey 89ers,17,Nedas Cholevinskas,21,Michael Graham,2,4,0,2,2,1.0,2.0
Surrey 89ers,4,Andrew Lawrence,55,Haydn Ling,2,4,0,2,2,1.0,2.0
Caledonia Gladiators,38,Andrew Michael Gordon,24,Matthew Ragsdale,2,4,0,2,1,2.0,4.0
Surrey 89ers,7,Ronald Polite Iii,7,Ronald Polite Iii,2,4,0,2,2,1.0,2.0
London Lions,11,Ryan Mikesell,13,Jonathan Williams,2,4,0,2,2,1.0,2.0
London Lions,5,Mohammad Al-Amin Abdul Adamu,22,Tarik Phillip,2,4,0,2,2,1.0,2.0
London Lions,31,Deane Williams,23,Kameron Mcgusty,2,4,0,2,2,1.0,2.0
Surrey 89ers,0,Isiah Small,1,Owen Koonce,2,4,0,2,2,1.0,2.0
Caledonia Gladiators,24,Matthew Ragsdale,5,Dwaine Jones Jr,2,4,0,2,2,1.0,2.0
London Lions,2,Chasson Jermar Randle,13,Jonathan Williams,2,4,0,2,2,1.0,2.0
Cheshire Phoenix,9,Damiri Lindo,2,Michael Diggins,2,4,0,2,2,1.0,2.0
London Lions,16,Karolis Lukosiunas,13,Jonathan Williams,2,4,0,2,1,2.0,4.0
London Lions,2,Chasson Jermar Randle,21,Aaryndeep Rai,2,4,0,2,2,1.0,2.0
London Lions,2,Chasson Jermar Randle,22,Tarik Phillip,2,4,0,2,2,1.0,2.0
London Lions,16,Karolis Lukosiunas,10,Ethan Price,2,4,0,2,2,1.0,2.0
Bristol Flyers,21,Marcus Delpeche,22,Joseph Anderson,2,4,0,2,2,1.0,2.0
Caledonia Gladiators,40,Ethan Wright,15,Malcolm Delpeche,2,4,0,2,2,1.0,2.0
Manchester Basketball,34,Matthew Nicholson,22,Oluwaseyi Adetukasi,2,4,0,2,1,2.0,4.0
B. Braun Sheffield Sharks,23,Jalen Deloach,5,Mervin James,2,4,0,2,2,1.0,2.0
B. Braun Sheffield Sharks,9,Jordan Ratinho,5,Mervin James,2,4,0,2,2,1.0,2.0
Surrey 89ers,10,Tyrin Lawrence,21,Michael Graham,2,4,0,2,2,1.0,2.0
B. Braun Sheffield Sharks,5,Mervin James,24,Nick Kern Jr,2,4,0,2,2,1.0,2.0
B. Braun Sheffield Sharks,9,Jordan Ratinho,24,Nick Kern Jr,2,4,0,2,2,1.0,2.0
Surrey 89ers,4,Andrew Lawrence,10,Tyrin Lawrence,2,4,0,2,2,1.0,2.0
Manchester Basketball,0,Patrick Smith Jr,30,Duke Shelton,2,4,0,2,1,2.0,4.0
Bristol Flyers,3,William Yoakum,13,Owen Mccormack,1,3,1,0,1,1.0,3.0
B. Braun Sheffield Sharks,2,Prentiss Nixon,2,Prentiss Nixon,1,3,1,0,1,1.0,3.0
Leicester Riders,2,Duke Shelton,77,Flynn Boardman-Raffet,1,3,1,0,1,1.0,3.0
London Lions,1,Joel Scott,21,Aaryndeep Rai,1,3,1,0,1,1.0,3.0
Newcastle Eagles,3,Ray'sean Taylor,2,Josh Ward-Hibbert,1,3,1,0,1,1.0,3.0
Caledonia Gladiators,7,Fraser Malcolm,10,Rian Holland,1,3,1,0,1,1.0,3.0
Caledonia Gladiators,10,Rian Holland,11,Totonitoluwa Fagbenle,1,3,1,0,1,1.0,3.0
Caledonia Gladiators,15,Daylen Williams,10,Rian Holland,1,3,1,0,1,1.0,3.0
Caledonia Gladiators,10,Rian Holland,22,Charles Jet Speelman,1,3,1,0,1,1.0,3.0
Newcastle Eagles,41,Mitch Clarke,2,Josh Ward-Hibbert,1,3,1,0,1,1.0,3.0
Leicester Riders,77,Flynn Boardman-Raffet,1,Michael Mitchell Jr,1,3,1,0,1,1.0,3.0
Leicester Riders,20,Spencer Johnson,3,Travis Evee,1,3,1,0,1,1.0,3.0
Leicester Riders,10,Olutomiwa Sulaiman,1,Michael Mitchell Jr,1,3,1,0,1,1.0,3.0
Leicester Riders,41,Nathaniel Martin,25,Victor Ndoukou,1,3,1,0,1,1.0,3.0
Bristol Flyers,13,Owen Mccormack,7,Cameron Holden,1,3,1,0,1,1.0,3.0
London Lions,3,Ciaran Sandy,33,Shavar Reynolds Jr,1,3,1,0,1,1.0,3.0
Newcastle Eagles,45,Malcolm Smith,14,Maceo Jack,1,3,1,0,1,1.0,3.0
