country,league,season,scraped_at,Player,player_url,player_name,height,position,age,GP,EFF,MPG,PPG,RPG,ORB,DRB,APG,BPG,SPG,PF,FTA,FTM,FT_pct,2PA,2PM,2P_pct,3PA,3PM,3P_pct,TO,team,team_abbrev,team_url
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:02.930805,Lopez Pablo 182-PG-25,https://basketball.eurobasket.com/player/Lopez-Pablo/492947,Pablo Lopez,182,PG,25,2,-2.5,10.5,1.0,0.0,0.0,0.0,0.5,0.0,0.5,1.5,1.5,0.0,0.0,1.0,0.5,50.0,2.0,0.0,0.0,0.5,Coria,CORI,https://basketball.eurobasket.com/team/Atica-Sevilla-CB-Coria/15837
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:03.324323,Lopez Pablo 193-F-23,https://basketball.eurobasket.com/player/Lopez-Pablo/514793,Pablo Lopez,193,F,23,9,7.8,23.0,6.6,4.7,1.0,3.7,2.3,0.0,1.0,1.7,2.1,1.1,52.4,4.2,1.6,38.1,3.2,0.8,25.0,0.8,Coria,CORI,https://basketball.eurobasket.com/team/Atica-Sevilla-CB-Coria/15837
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:03.617225,Lopez Pedro 193-F-26,https://basketball.eurobasket.com/player/Lopez-Pedro/448549,Pedro Lopez,193,F,26,12,9.5,25.3,8.4,2.9,0.8,2.1,1.7,0.5,0.7,1.7,0.8,0.7,87.5,2.2,1.5,68.2,3.6,1.6,44.4,0.8,Marbella,MARB,https://basketball.eurobasket.com/team/Hospital-Ochoa-CB-Marbella/1314
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:03.906269,Lopez Pedro 187-G-26,https://basketball.eurobasket.com/player/Lopez-Pedro/529903,Pedro Lopez,187,G,26,12,11.8,27.3,11.9,4.1,0.9,3.2,2.3,0.1,1.0,2.3,4.1,2.8,68.3,5.9,2.9,49.2,4.3,1.1,25.6,1.3,Marbella,MARB,https://basketball.eurobasket.com/team/Hospital-Ochoa-CB-Marbella/1314
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:04.194414,Lopez Raul,https://basketball.eurobasket.com/player/Lopez-Raul/696538,Raul Lopez,,,,6,0.3,9.0,1.8,0.0,0.0,0.0,0.7,0.0,0.5,1.2,0.0,0.0,0.0,0.7,0.2,28.6,1.5,0.5,33.3,0.5,Boadilla,BOAD,https://basketball.eurobasket.com/team/ADC-Boadilla-Del-Monte/61027
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:04.518249,Lopez Samuel,https://basketball.eurobasket.com/player/Lopez-Samuel/784568,Samuel Lopez,,,,8,0.8,6.6,0.6,1.0,0.3,0.8,0.3,0.0,0.1,0.8,0.3,0.3,100.0,0.3,0.0,0.0,0.6,0.1,16.7,0.1,Carbajosa,CARB,https://basketball.eurobasket.com/team/Recoletas-Salud-Carbajosa/21993
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:04.833042,Lopez Burrero David,https://basketball.eurobasket.com/player/Lopez-Burrero-David/815949,David Lopez Burrero,,,,2,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,,,
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:05.148016,Lopez-Valverde Pablo 198-C-26,https://basketball.eurobasket.com/player/Lopez-Valverde-Pablo/665237,Pablo Lopez-Valverde,198,C,26,11,15.4,36.3,12.2,8.2,2.2,6.0,2.5,0.2,1.2,2.5,2.6,1.5,57.7,4.9,2.4,49.0,5.7,2.0,35.1,1.5,Adesavi,ADES,https://basketball.eurobasket.com/team/Adesavi-San-Vicente/4411
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:05.440324,Loras David 204-F-23,https://basketball.eurobasket.com/player/Loras-David/490734,David Loras,204,F,23,12,17.7,28.0,11.3,10.6,3.3,7.3,2.1,0.5,0.6,2.8,2.9,1.8,62.1,7.1,3.8,53.5,2.2,0.7,31.8,2.1,,,
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:05.727577,Lorenzo Daniel 181-PG-33,https://basketball.eurobasket.com/player/Lorenzo-Daniel/273729,Daniel Lorenzo,181,PG,33,11,9.7,23.0,8.1,4.0,0.8,3.2,3.0,0.1,1.1,3.0,3.7,3.2,86.5,3.5,1.1,31.4,3.0,0.9,30.0,2.2,,,
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:06.012997,Lorenzo Jeremy 210-C-30,https://basketball.eurobasket.com/player/Lorenzo-Jeremy/548929,Jeremy Lorenzo,210,C,30,7,0.9,3.4,0.9,0.6,0.4,0.1,0.0,0.3,0.1,0.6,0.0,0.0,0.0,0.6,0.4,66.7,0.0,0.0,0.0,0.3,,,
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:06.299373,Lorenzo Mario,https://basketball.eurobasket.com/player/Lorenzo-Mario/797317,Mario Lorenzo,,,,4,3.0,10.0,2.3,1.5,0.0,1.5,1.0,0.0,0.8,0.5,1.0,0.5,50.0,1.0,0.5,50.0,1.8,0.3,16.7,0.5,Estudiantes B,ESTU,https://basketball.eurobasket.com/team/Movistar-Estudiantes-Madrid-2nd-team/4500
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:06.664894,Lorenzo Sanchez,https://basketball.eurobasket.com/player/Lorenzo-Sanchez/722115,Sanchez Lorenzo,,,,11,0.3,6.5,1.2,0.7,0.3,0.5,0.5,0.3,0.4,1.1,0.0,0.0,0.0,0.5,0.2,40.0,1.1,0.3,27.3,0.5,,,
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:07.012473,Lozano Diego,https://basketball.eurobasket.com/player/Lozano-Diego/797334,Diego Lozano,,,,2,-2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,Dist.Olimpico,DIST,https://basketball.eurobasket.com/team/Cesur-Distrito-Olimpico-Madrid/13365
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:07.329616,Lozano Guillem 189-F/G-22,https://basketball.eurobasket.com/player/Lozano-Guillem/623410,Guillem Lozano,189,F/G,22,11,2.6,18.1,6.5,0.7,0.2,0.5,2.0,0.0,1.1,1.3,1.3,0.8,61.5,2.7,0.6,22.2,5.1,1.5,29.4,1.1,,,
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:07.617822,Lozano Pablo 198-C-35,https://basketball.eurobasket.com/player/Lozano-Pablo/535183,Pablo Lozano,198,C,35,5,-1.2,4.8,0.8,0.4,0.2,0.2,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.6,0.4,66.7,0.0,0.0,0.0,0.8,La Zubia,LA Z,https://basketball.eurobasket.com/team/Tu-Super-CB-La-Zubia/15836
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:07.901224,Lozano Sergio -22,https://basketball.eurobasket.com/player/Lozano-Sergio/623523,Sergio Lozano,,,,5,0.8,7.4,0.0,0.8,0.0,0.8,1.4,0.0,0.2,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.6,,,
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:08.219415,Luaces Ignacio -20,https://basketball.eurobasket.com/player/Luaces-Ignacio/727718,Ignacio Luaces,,,,9,0.4,6.1,1.1,0.4,0.0,0.4,0.2,0.0,0.4,1.0,0.2,0.2,100.0,0.2,0.1,50.0,0.8,0.2,25.0,0.3,,,
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:08.550912,Lucas Jose,https://basketball.eurobasket.com/player/Lucas-Jose/812040,Jose Lucas,,,,1,1.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,50.0,0.0,0.0,0.0,0.0,Almeria,ALME,https://basketball.eurobasket.com/team/Ecoculture-CB-Almeria/10248
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:08.862557,Lucente Ivan 203-F-23,https://basketball.eurobasket.com/player/Lucente-Ivan/621611,Ivan Lucente,203,F,23,12,14.3,21.2,9.7,7.2,2.4,4.8,1.5,1.3,0.6,2.0,4.0,2.2,55.0,6.0,3.5,58.3,0.6,0.2,33.3,2.1,Navia,NAVI,https://basketball.eurobasket.com/team/CB-Navia-La-Magaya/73088
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:09.177675,Lucero Tomas 181-PG-27,https://basketball.eurobasket.com/player/Lucero-Tomas/386517,Tomas Lucero,181,PG,27,8,5.8,19.5,8.8,1.4,0.4,1.0,1.0,0.0,0.3,1.9,1.0,0.5,50.0,2.3,1.1,47.8,5.3,2.0,37.7,0.6,Coria,CORI,https://basketball.eurobasket.com/team/Atica-Sevilla-CB-Coria/15837
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:09.468508,Luengo Carlos,https://basketball.eurobasket.com/player/Luengo-Carlos/735313,Carlos Luengo,,,,8,5.4,13.3,5.8,3.8,1.5,2.3,0.4,0.1,0.1,2.5,1.4,0.5,35.7,4.4,2.6,59.1,0.1,0.0,0.0,0.5,Dist.Olimpico,DIST,https://basketball.eurobasket.com/team/Cesur-Distrito-Olimpico-Madrid/13365
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:09.788306,Luengo Pablo 193-G/F-22,https://basketball.eurobasket.com/player/Luengo-Pablo/648067,Pablo Luengo,193,G/F,22,10,16.1,27.0,18.0,2.3,0.3,2.0,3.6,0.1,1.6,1.5,3.7,2.4,64.9,4.8,3.0,62.5,9.8,3.2,32.7,1.2,,,
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:10.078125,Luis Carlos 203-F/C-21,https://basketball.eurobasket.com/player/Luis-Carlos/700967,Carlos Luis,203,F/C,21,11,15.3,30.6,16.0,9.2,1.5,7.7,1.1,0.2,1.7,2.8,4.0,3.0,75.0,8.2,3.6,43.9,6.6,1.9,28.8,2.8,La Matanza,LA M,https://basketball.eurobasket.com/team/CB-La-Matanza-CBA/15447
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:10.362635,Luis Nestor -22,https://basketball.eurobasket.com/player/Luis-Nestor/797984,Nestor Luis,,,,9,5.1,14.1,4.0,4.8,1.4,3.3,0.7,0.1,0.6,2.4,0.0,0.0,0.0,3.9,2.0,51.3,0.0,0.0,0.0,1.2,,,
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:10.673379,Lujan Jose,https://basketball.eurobasket.com/player/Lujan-Jose/784532,Jose Lujan,,,,1,2.0,7.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:10.971397,Luque Javier 183-G-22,https://basketball.eurobasket.com/player/Luque-Javier/514762,Javier Luque,183,G,22,12,7.1,24.0,9.4,1.9,0.3,1.7,2.5,0.1,1.1,2.2,1.8,1.3,72.2,4.3,1.8,41.9,4.1,1.5,36.6,2.1,Fuengirola,FUEN,https://basketball.eurobasket.com/team/CB-Salliver-Fuengirola-Higueron/59036
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:11.269442,Macias Ivan,https://basketball.eurobasket.com/player/Macias-Ivan/812072,Ivan Macias,,,,3,-2.0,9.3,2.0,0.3,0.0,0.3,0.3,0.0,0.7,2.0,1.3,1.0,76.9,1.0,0.0,0.0,2.7,0.3,11.1,0.3,,,
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:11.573634,Madinabeitia Ekaitz 183-SG-22,https://basketball.eurobasket.com/player/Madinabeitia-Ekaitz/621479,Ekaitz Madinabeitia,183,SG,22,12,12.2,31.2,9.9,2.8,0.6,2.3,3.7,0.1,1.0,1.1,3.4,2.7,79.4,3.9,2.0,51.3,3.3,1.1,33.3,2.1,Carbajosa,CARB,https://basketball.eurobasket.com/team/Recoletas-Salud-Carbajosa/21993
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:11.859825,Maerien Lowie,https://basketball.eurobasket.com/player/Maerien-Lowie/810185,Lowie Maerien,,,,1,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,Andujar SKA,ANDU,https://basketball.eurobasket.com/team/SKA-Logistik-CB-Andujar/1281
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:12.195123,Maganto Diego 190-F-23,https://basketball.eurobasket.com/player/Maganto-Diego/514736,Diego Maganto,190,F,23,8,5.6,17.9,5.3,2.8,0.8,2.0,0.5,0.0,0.6,1.1,1.0,0.6,60.0,0.9,0.6,66.7,2.9,1.1,37.9,1.1,,,
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:12.487333,Maiga Amadou -19,https://basketball.eurobasket.com/player/Maiga-Amadou/755510,Amadou Maiga,,,,2,-2.0,6.0,1.0,0.5,0.0,0.5,0.5,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.5,25.0,0.0,0.0,0.0,0.5,,,
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:12.810883,Maiga Guigui -24,https://basketball.eurobasket.com/player/Maiga-Guigui/751943,Guigui Maiga,,,,12,12.1,28.7,9.5,6.5,3.1,3.4,0.8,0.7,0.6,2.2,3.3,2.0,60.6,5.5,3.3,60.0,0.8,0.3,37.5,1.9,,,
Spain,Tercera FEB,2025-2026,2026-01-10T22:54:13.135026,Maiga Nouhou,https://basketball.eurobasket.com/player/Maiga-Nouhou/752501,Nouhou Maiga,,,,11,13.1,23.7,10.5,5.5,1.3,4.3,0.3,1.5,1.2,1.6,2.5,1.8,72.0,4.8,2.8,58.3,3.6,1.0,27.8,1.0,,,
